happier	1	2	3	3	10	1	2	3	3	10
gorgeous	0	2	3	2	12	0	2	3	2	12
favor	9	3	4	2	0	9	3	4	2	0
team	6	4	4	2	3	10	4	4	2	3
organ	2	0	5	9	3	2	0	5	9	3
strang	2	2	7	3	5	2	2	7	4	5
para	5	1	1	2	3	9	1	2	3	6
disappear	6	2	6	3	2	7	2	8	3	2
gingerbread	1	3	3	9	3	1	3	3	10	3
irrit	4	4	6	2	3	4	4	7	3	3
natur	3	2	4	5	5	3	2	4	7	5
awkward	5	3	5	6	0	5	3	7	9	0
blurri	1	4	6	2	6	1	4	6	2	6
mediocr	2	6	5	3	3	2	6	6	4	3
difficulti	1	3	7	4	3	1	4	7	4	3
dislik	3	0	3	6	7	3	0	4	6	7
hspa	1	0	5	6	7	1	0	5	8	8
catch	3	2	1	8	5	3	2	1	8	7
launch	2	3	2	6	6	2	3	3	11	8
instagram	1	2	5	7	4	1	2	6	8	4
jelli	0	1	3	10	5	0	1	3	11	5
hello	3	2	7	2	4	5	2	7	3	4
primari	2	3	7	5	3	2	3	8	5	5
wear	5	4	3	4	4	5	5	3	6	4
es	8	2	1	1	3	26	3	5	1	6
field	4	3	3	7	3	6	3	4	7	3
breez	0	1	1	3	15	0	1	1	3	16
tag	2	0	3	7	8	3	0	3	10	9
dedic	1	1	3	6	9	1	1	3	6	9
fingerprint	6	0	4	6	4	7	0	5	7	4
typic	1	1	4	7	7	1	1	4	7	9
count	3	2	3	7	5	3	2	4	7	5
bank	1	3	8	5	3	1	3	9	6	3
shoot	2	3	2	6	6	2	3	2	9	7
sourc	3	3	6	3	4	3	3	6	3	5
max	3	4	4	5	4	3	5	4	5	4
charact	3	2	4	6	4	4	2	8	7	6
weird	4	3	4	6	3	4	3	4	8	3
event	3	3	2	9	3	3	10	2	9	4
mislead	4	7	4	1	3	4	7	4	1	3
label	8	3	2	5	2	8	5	2	6	2
worthless	9	6	2	2	1	9	6	2	2	2
verifi	5	0	7	6	2	5	0	7	6	2
metro	4	2	2	5	7	6	2	2	5	7
lousi	6	7	4	2	1	8	7	5	2	1
parent	3	3	3	5	6	6	5	3	6	8
member	3	2	1	6	7	3	2	1	6	7
status	5	6	3	4	2	5	10	4	4	3
