Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
518,2,0,"1 .after power recharge full it will black screen   2. have not chinese type keyboard input  3. ram only 1.45 gb  much more less then product to brag 4gb",0,1,23,1.000000,1.000000
518,2,1,"big screen with clear display",1,1,23,0.369029,0.063546
524,2,0,"looks new and it is a samsung galaxy s3",0,0,9,1.000000,1.000000
524,2,1,"this phone is not new  i can t perform a factory data reset of any kind  the phone will take me to an initial page that is in chinese but clearly states quens reset counter xda  chainfire   which means with absolutely no doubts this phone was rooted  custon roms were installed and was sent back after a reset of the flash counter  but they forgot to set it back to the original state and now i will have to reinstall the whole factory settings on the phone myself if i want to keep it.",1,1,15,0.525978,0.078148
530,2,0,"larger sceen  ability to download cracked apps",0,0,6,1.000000,1.000000
530,2,1,"android os apps automatically load into memory even after you  kill  them or change settings to prevent them from starting up.",1,1,15,0.278810,0.039037
530,2,2,"this causes increased battery drain and uses internal ram  with unlocked version you ll have a hard time updating firmware in android s already fragmented update process.",1,1,18,0.481718,0.112331
530,2,3,"each carrier  may  offer an update and it s usually at different times.",1,1,20,0.149212,0.070458
530,2,4,"unlike iphone  the updates are carrier specific.",1,1,20,0.042388,0.020120
530,2,5,"many people with an unbranded android have to install a non supported firmware like a cyanogenmod.",1,1,22,0.610687,0.126048
530,2,6,"anti virus apps scan after you have installed the app   after you ve been infected  not before installing.",1,1,22,0.086029,0.025332
530,2,7,"samsung kies  similar to itunes  is useless and problematic  very poor product support from samsung.",1,1,20,0.558184,0.128937
541,2,0,"decent phone  .takes",0,0,3,1.000000,1.000000
541,2,1,"decent pictures.",0,0,3,0.018561,0.016502
541,2,2,"good gps.",0,0,0,0.523852,0.116761
541,2,3,"gets phone signal where a lot of other phones don t.",0,0,0,0.531416,0.120422
541,2,4,"i am not a fan of windows os for it.",1,1,21,0.532335,0.077026
541,2,5,"lot apps that are normally free they charge you for.",1,1,15,0.541538,0.079554
541,2,6,"phone is a pain 2 update.",1,1,21,0.563865,0.077026
541,2,7,"my next phone will not be a windows phone .if",1,1,21,0.571314,0.079554
541,2,8,"i have learned anything from this .",1,1,21,0.568951,0.078281
555,2,0,"1.very nice keyboard  easy to use.",0,0,2,1.000000,1.000000
555,2,1,"2.speakers are more improved  comparing with x1a version.",0,0,4,0.514382,0.120618
555,2,2,"3.design structure is very nice.",0,1,24,0.533356,0.116952
555,2,3,"1. 1.i used this phone for less than a month and first what s happened  touch screen start making a noise like a broken peace under screen panel.",1,1,24,0.508629,0.120422
555,2,4,"i was trying to set rma for return to exchange with sonny ericsson  but they only fix phones  even if you just purchased.",1,1,19,0.539941,0.079419
555,2,5,"it means after you paid  470.00 for a brand new phone  you will be given a refurbished version.",1,1,19,0.537080,0.079554
555,2,6,"this is worst    2. panel button  under  call  button.",1,1,18,0.607318,0.180730
555,2,7,"there is no reason to place this button on the top of the phone  because you pressed all the time by mistake  and this is make you slow down on the phone call.",1,1,18,0.072718,0.037419
555,2,8,"designers did a big mistake by placing this button on the main top   3.",1,1,18,0.118527,0.028106
555,2,9,"most common bug happening at least 20 times a day   ",1,1,18,0.623478,0.125845
555,2,10,"i have to restart the phone 20 times daily because of lag with all software s loading and entire windows files.",1,1,15,0.402244,0.097231
555,2,11,"when you tab the screen 3 times  quickly   it freezes the display and you cannot do anything as just restarting the phone.",1,1,18,0.222471,0.055623
556,2,0,"  fast gps   windows mobile 6.5   spb mobile shell 3.5",0,0,2,1.000000,1.000000
556,2,1,"  unstable  locks up constantly    unreliable  corrupted memory card with all pictures and music lost    accelerometers are worthless  only work with a very few programs    lags like a an old 486 running today s software   poor reception   no assignable buttons  no ms voice command    reboots randomly for no reason.",1,1,18,0.576887,0.181004
556,2,2,"  locks up and turns off screen during call  not allowing me to hang up   speaker quality is very bad.",1,1,23,0.385179,0.043794
556,2,3,"  bugs  bugs  bugs  bugs ",1,1,18,0.570543,0.118773
560,2,0,"stylish.",0,0,8,1.000000,1.000000
560,2,1,"when it works  everything is functional.",0,0,8,0.521448,0.079554
560,2,2,"sony s us customer service   repair center is a joke.",1,1,13,0.544107,0.078281
562,2,0,"cheap  dual sim  has a heart rate sensor. . .",0,0,5,1.000000,1.000000
562,2,1,"apps crash  unable to delete some apps  not very durable  only bluetooth 2 so if you ever want to use it with modern bluetooth devices it may not be compatible  i.e.",1,1,15,0.519452,0.079419
562,2,2,"fitness trackers ",1,1,24,0.571716,0.078148
563,2,0,"was cheap  seemed higher spec for the  ",0,0,10,1.000000,1.000000
563,2,1,"buyer beware   ",1,1,17,0.528985,0.077026
563,2,2,"this phone is loaded with malware that by nature of the android os  cannot be removed   i later learned most cheapo china phones have malware from day one .",1,1,15,0.522665,0.086692
563,2,3,"thus you should avoid this one like the plague and any other no name phone from the far east.",1,1,15,0.565942,0.086546
563,2,4,"malware installed   android pup.riskpay.skymobi  android trojan.fadeb.a",1,1,15,0.562987,0.078281
564,2,0,"excellent cell phone met the needs of dual sim  was easy to use and nice design.",0,1,22,1.000000,1.000000
564,2,1,"however after 4 months the phone died  because i had some very small cracks on the screen  caused about 2 weeks after purchase  the supplier would not uphold the warranty",0,1,13,0.594001,0.185975
564,2,2,"warranty not worth anything from nlj technologies",1,0,1,0.308011,0.089574
569,2,0,"great phone   good size  comfortable to hold  fast and responsive  great battery life",0,0,10,1.000000,1.000000
569,2,1,"received a spanish la phone that is not covered under us warranty",1,1,24,0.556590,0.118579
572,2,0,"the phone is in great condition and works perfectly with gsm   lte.",0,0,8,1.000000,1.000000
572,2,1,"1 egg subtracted for the phone clearly not being new.",1,0,8,0.527251,0.120422
572,2,2,"my guess is the phone is a factory refurbished.",1,1,13,0.512534,0.076895
572,2,3,"the box was in cellophane wrapping  but it is the kind you see in the back of someone s shop and not a manufacturer wrapping.",1,1,24,0.584803,0.122041
572,2,4,"the box was dirty inside and out.",1,1,24,0.122380,0.029153
572,2,5,"this would have been acceptable if newegg indicated anywhere on the product page that this would be a refurbished product.  1 egg subtracted for false advertising.",1,1,17,0.519954,0.079554
572,2,6,"this i am most upset about and i am considering a return.",1,1,17,0.554984,0.120618
572,2,7,"this phone is not unlocked as it shows in the title.",1,1,17,0.619292,0.181004
572,2,8,"newegg even has you accept a disclaimer for buying an unlocked phone during checkout.",1,1,17,0.059626,0.023398
572,2,9,"what i received was not only a locked phone  but it has the latest updated android kit kat  with hboot 1.56 and s on.",1,1,13,0.549146,0.077026
572,2,10,"anyone that knows about what i just mentioned knows that it is extremely difficult to put a custom ruu on this phone in its current state.",1,1,17,0.564199,0.079554
572,2,11,"this may not be a deal breaker for me  but surely will be for some.",1,1,17,0.581731,0.077026
572,2,12,"i hope this review helps others to make a more informed purchase.",1,1,17,0.556491,0.078148
573,2,0,"phone is great in terms of features and build.",0,0,10,1.000000,1.000000
573,2,1,"phone arrived with one problem.",1,1,13,0.528417,0.120422
573,2,2,"the back home light stays on whether the phone is on or off.",1,1,25,0.593275,0.181004
573,2,3,"when off the lights are on and drains the batter.",1,1,25,0.060130,0.022611
573,2,4,"did a full reset on the phone and it did not solve the issue.",1,1,13,0.537648,0.079554
573,2,5,"let newegg know and wanted to send it back for a replacement  customer service said i had to call the vendor that ships it for rma.",1,1,13,0.547332,0.077026
573,2,6,"currently waiting for either vendor newegg to respond back after receiving the returned phone.",1,1,16,0.574172,0.078148
575,2,0,"crisp  bright  sharp  display  easy and stable touch response  slim and sturdy case.",0,0,10,1.000000,1.000000
575,2,1,"it is also very lightweight.",0,0,10,0.533469,0.079419
575,2,2,"powerful quad core cpu and 13 rear  5 front  megapixel cameras  16 gb internal rom .",0,0,3,0.570909,0.122240
575,2,3,"as to ram size  1.6 gb of 2 gb available are usually free.",0,0,3,0.249323,0.082128
575,2,4,"though it supports external sdhc card up to 32 gb  12 gb available is more than enough for me.",0,0,3,0.033599,0.019605
575,2,5,"only necessary applications minimum is installed  so you don t have to clean out all that garbage mobile companies ship their devices with.",0,0,6,0.534216,0.079554
575,2,6,"and it is unlocked.",0,0,6,0.566410,0.077026
575,2,7,"a system  back  button located at right from  home  button where in most android devices  menu  situated.",1,1,23,0.603651,0.126048
575,2,8,"there is no  menu  button in the device.",1,1,23,0.021624,0.015961
575,2,9,"all settings screens come with bright white background that affects battery charge negatively.",1,1,25,0.557402,0.078281
577,2,0,"great phone for the price.",0,0,8,1.000000,1.000000
577,2,1,"it runs a pretty slim version of android  not alot of bloat .",0,0,4,0.502908,0.120422
577,2,2,"works with either at t or t mobile towers.",0,0,8,0.529076,0.076895
577,2,3,"one of the biggest plus s for me was the micro sd slot..",0,0,5,0.587583,0.126048
577,2,4,"i bought a 32gb sd card and installed it before booting up the phone.",0,0,5,0.330893,0.095255
577,2,5,"so far all apps files are going directly to the sd card  which is great due to the reletively small internal storage.",0,0,5,0.228819,0.120549
577,2,6,"there is an option under storage to choose sd or internal as default storage.",0,0,5,0.060760,0.036415
577,2,7,"internal storage is listed as 16gb  but in reality it is only 12gb.",1,0,5,0.065486,0.022611
577,2,8,"if it wasn t for this i would have givin the phone 5 stars.",1,0,5,0.572831,0.079554
577,2,9,"as it is though you can store everything you want on cheap cheap sds.",1,0,8,0.551058,0.079419
577,2,10,"no software updates insight.",1,0,8,0.576824,0.078148
578,2,0,"the phone arrived quickly",0,1,13,1.000000,1.000000
578,2,1,"the phone is only showing 8gb of storage not 16 as described in listing i don t don t know if it actually supports 64gb as actually listed but i will soon find out",1,0,5,0.525322,0.078281
579,2,0,"do not buy from this seller.",0,1,13,1.000000,1.000000
579,2,1,"poor customer service.",0,1,13,0.516277,0.116952
579,2,2,"they sat on my order for 5 days at a different market place before responding to my cancellation request.",0,1,13,0.577421,0.181004
579,2,3,"i had been notified the item was shipped on the 25th  and someone they were able to cancel my order for me on the 30th.",0,1,13,0.187202,0.033555
579,2,4,"because it hadn t left the warehouse.",0,1,13,0.552183,0.077026
579,2,5,"the only positive thing i can say is that they did apologize and they did cancel my order.",0,0,9,0.533254,0.120618
579,2,6,"a lot of good that did me  while my money was tied up and i thought they gift i bought was on the way.",0,0,9,0.544107,0.076895
579,2,7,"the cons are that this should have been seller feedback for blutekusa but you can t leave seller feedback if you didn t order from them on newegg.",1,1,13,0.625257,0.181004
579,2,8,"i ordered from them at a different vendor.",1,1,13,0.271446,0.054513
580,2,0,"  holds large amounts of charge   i recharged my wife and my iphones at least 5 times  and the battery had 50  charge left.",0,1,25,1.000000,1.000000
580,2,1,"  fast charging capabilities   2.1 a charger charges iphone 5 from 10  to 80  within the hour.",0,1,25,0.061923,0.024029
580,2,2,"  has flashlight  useful when you least expect it.",0,0,3,0.535334,0.077026
580,2,3,"  has two usb charging ports  can charge two devices at once   has bright blue led gauge to show battery power levels.",0,0,3,0.510959,0.077026
580,2,4,"  bulky   this thing is fat and heavy.",1,0,3,0.549720,0.076895
580,2,5,"this battery weighs 2 3 lbs.",1,0,3,0.549568,0.079419
580,2,6,"  i keep hitting the stupid flashlight button i put this thing in my book bag or in my pocket.",1,0,3,0.594312,0.126048
580,2,7,"it is embarrassing to have the flashlight go off in your pocket during a meeting and there s this bright white light coming out from your pants pocket  making everyone around you think that you have radiation poisoning   when this battery charges  it blinks blue led light.",1,0,3,0.153095,0.030248
580,2,8,"when you charge it at overnight in the dark  your room will glow blue while this thing is charging.",1,0,3,0.297333,0.087447
580,2,9,"  1a output port charges at a snail like speed.",1,0,3,0.135364,0.042577
580,2,10,"i pretend this port doesn t exist.",1,0,5,0.136716,0.043220
581,2,0,"nice shiny design.",0,0,7,1.000000,1.000000
581,2,1,"nice little pouch that has room for the micro usb cable.",0,0,7,0.129401,0.030826
581,2,2,"it charges every device i ve thrown at it.",0,0,1,0.604800,0.181004
581,2,3,"the 2a port really does discharge at 2a since i see no difference from the charging of my galaxy note 3 from the original wall charger and this device.",0,0,1,0.047954,0.022212
581,2,4,"the same is true for the blackberry passport.",0,0,6,0.561681,0.079554
581,2,5,"it takes a long time to charge but that is expected for a 15k mah device.",1,1,13,0.545350,0.077026
581,2,6,"the case is a little slippery but usable.",1,1,23,0.574661,0.078148
582,2,0," holds a lot of charge  charges devices quickly  1a and 2a port  power level leds are nice  built in flashlight  nice rounded design...wont scratch other gear  reliable",0,0,3,1.000000,1.000000
582,2,1," recharges slowly  but then again it holds a lot of charge  flashlight can be easily turned on accidentally",1,1,25,0.117969,0.071504
583,2,0,"i can charge my sansa clip  fiio e06  and galax s3 for at least two days on this.",0,1,13,1.000000,1.000000
583,2,1,"it works perfectly.",0,1,14,0.526716,0.120618
583,2,2,"i normally leave it in my pocket and charge whichever device on the go  and it really isn t as terribly big as i thought it would be.",0,1,14,0.517170,0.120422
583,2,3,"it s surprisingly slim for what it s worth  and yet it doesn t melt through my pants with heat.",0,1,21,0.554051,0.116761
583,2,4,"i don t think i ve ever experienced it overheating yet.",0,1,14,0.567140,0.120422
583,2,5,"let s hope it doesn t explode on me  though.",1,1,13,0.565226,0.078148
584,2,0,"works great and charges my s4 really fast out in the field.",0,0,12,1.000000,1.000000
584,2,1,"easy to carry.",0,0,6,0.543345,0.116952
584,2,2,"one charge last all week.",0,0,11,0.554008,0.078281
585,2,0,"powerful.",0,1,13,1.000000,1.000000
585,2,1,"fast charging iphones and galaxy 4 comes with cable to charge unit only.",0,1,13,0.508629,0.079554
585,2,2,"fairly heavy.",1,1,13,0.556872,0.077026
