vcr	2	1	0	7	8	2	1	0	11	13
usa	6	4	3	2	4	10	7	6	2	5
chrome	2	1	2	7	7	4	1	2	7	7
endless	6	7	2	1	3	8	8	2	1	3
gimmick	2	1	4	4	8	2	1	5	5	8
bulb	1	5	1	6	6	1	5	1	11	8
freight	2	4	3	3	7	2	5	4	4	7
stretch	2	4	8	0	5	3	9	12	0	6
abc	1	2	6	5	5	1	2	7	5	5
yeah	5	6	1	2	5	5	6	1	2	5
slower	0	3	6	7	3	0	3	6	7	3
basement	2	4	3	5	4	5	5	3	5	6
hidden	1	2	8	7	1	1	2	9	7	1
realiti	3	4	4	4	4	3	4	4	4	4
hurt	4	3	5	3	4	5	3	5	3	4
encount	3	4	5	2	6	3	4	5	2	6
hdx	4	4	1	10	1	6	5	1	11	2
doa	9	3	5	2	0	10	3	5	2	0
row	6	7	1	3	3	8	10	1	3	3
saver	3	2	2	9	4	3	2	3	9	6
august	8	6	0	3	3	8	6	0	4	3
histori	2	2	4	5	6	2	3	4	6	7
wrote	2	2	7	4	5	2	2	8	5	5
qwerti	6	3	3	5	3	7	3	5	8	4
slide	2	4	5	0	8	2	5	5	0	8
fiddl	5	6	2	3	4	5	7	2	3	5
wobbl	0	4	8	2	5	0	6	10	2	6
thread	6	3	4	1	6	7	5	4	1	6
charact	2	5	7	2	4	3	6	9	2	4
mid	2	6	5	4	3	2	6	6	4	3
trumot	2	10	4	0	4	8	13	8	0	8
studi	7	0	3	2	8	7	0	3	2	9
flesh	2	4	7	2	5	2	6	7	3	8
choppi	4	4	6	6	0	4	4	8	7	0
strip	3	2	5	5	4	5	2	5	5	4
breathtak	2	0	1	5	12	2	0	1	5	12
shipper	2	3	4	4	7	2	3	4	4	7
480i	2	5	3	4	6	2	7	4	4	6
xbr	3	7	2	2	6	5	10	2	6	7
explor	1	1	4	7	7	1	1	5	7	7
platform	4	5	4	3	4	4	8	4	3	4
data	4	6	2	5	3	5	6	2	6	3
shine	4	5	4	3	4	4	5	4	3	4
weather	2	8	2	2	6	2	10	2	2	8
justifi	0	6	2	3	9	0	6	2	3	9
ident	5	4	2	3	6	5	4	2	4	6
minimum	2	5	3	9	2	2	5	3	12	2
viewer	3	2	5	8	3	3	2	5	8	4
rebat	6	1	4	2	8	9	1	11	2	10
holiday	6	6	0	6	3	6	7	0	8	3
winner	0	6	1	3	11	0	6	1	3	11
implement	5	6	5	2	3	6	7	6	2	3
tomorrow	6	7	5	1	2	6	7	6	1	2
upset	4	3	9	2	3	5	3	9	3	3
flatscreen	1	5	5	5	5	1	6	7	5	5
elit	1	2	0	7	11	1	2	0	7	16
dongl	1	4	4	6	6	3	6	8	7	8
ownership	8	2	2	3	6	8	2	2	3	6
recal	9	5	1	1	5	11	6	1	2	5
nicer	1	3	4	7	6	1	3	4	8	6
meh	2	5	11	1	2	2	5	12	1	2
weigh	1	3	3	5	9	1	3	4	5	9
subpar	4	8	3	3	3	4	8	6	3	3
compens	3	8	5	1	4	3	8	5	1	4
eagl	1	1	0	0	18	2	2	0	0	21
mobil	3	4	3	10	1	3	4	3	14	4
combo	4	2	1	4	10	5	2	1	4	10
lamp	3	7	4	2	5	3	11	6	2	5
bestbuy	4	5	2	1	9	7	5	3	1	12
accessori	5	5	4	1	6	7	5	4	1	6
surfac	1	4	4	6	6	1	4	4	6	6
array	1	3	8	4	5	1	3	12	4	5
sluggish	2	4	6	6	3	2	6	6	6	3
slowli	4	5	4	6	2	4	5	4	6	2
honor	9	7	2	1	2	10	8	2	1	2
split	2	2	4	4	9	2	2	4	5	10
consumpt	0	3	6	4	8	0	3	6	14	8
fake	2	3	3	6	6	2	3	3	7	7
inferior	6	4	5	4	2	6	4	6	4	2
unreli	6	6	6	4	0	6	7	6	4	0
transfer	8	6	5	2	1	12	6	5	2	1
god	10	3	0	5	4	11	3	0	5	4
itth	3	8	2	8	1	3	8	2	8	1
wear	3	4	7	4	4	3	4	7	5	4
pure	4	4	5	4	5	4	5	6	4	5
insist	5	6	7	2	2	5	7	7	2	2
hum	0	7	3	6	6	0	13	3	8	6
