hate	5	5	4	2	2	6	5	5	3	2
scan	2	1	4	7	4	6	1	4	10	4
consol	3	3	3	5	3	3	4	5	5	3
fall	3	3	4	4	3	3	3	4	4	3
restart	2	8	3	4	1	4	8	3	6	1
static	4	2	6	5	1	5	2	7	5	1
configur	3	1	1	5	8	3	1	1	7	8
unpack	1	0	2	6	8	1	0	2	6	9
reliabl	6	1	4	1	7	7	1	4	1	7
surf	1	2	2	6	8	1	3	3	6	9
warn	4	4	6	0	5	4	6	6	0	5
directv	3	0	6	4	6	5	0	7	4	6
coax	3	2	3	4	7	3	2	3	4	7
photo	5	2	3	5	4	6	4	4	5	10
graphic	2	3	5	4	5	4	3	7	4	5
crt	1	3	3	3	9	1	4	3	4	11
cord	3	3	2	4	7	7	4	4	4	8
avoid	7	2	1	4	5	8	2	1	5	5
format	2	3	2	5	7	4	4	2	5	10
sudden	6	5	5	1	2	6	5	5	1	2
default	2	2	2	6	7	2	4	4	13	8
schedul	5	7	1	1	5	6	11	3	1	6
manag	4	3	1	6	5	6	4	1	8	5
dynam	5	0	2	5	7	7	0	3	6	8
enter	3	1	4	8	3	3	2	4	8	5
hps4253	1	0	2	2	14	1	0	2	4	19
expir	13	2	2	0	1	13	2	2	0	1
instant	5	3	5	5	1	5	4	10	6	1
adequ	3	1	3	6	6	3	1	4	6	6
darker	3	1	5	5	5	3	1	6	5	8
promis	3	5	7	3	1	3	7	7	3	1
alot	4	2	3	1	9	4	3	4	1	9
gorgeous	1	0	4	5	10	1	0	4	5	11
disabl	3	3	3	6	5	4	3	3	6	5
hookup	1	0	5	6	8	1	0	5	7	13
enabl	2	4	4	3	7	2	4	4	3	9
ip	1	1	3	5	10	3	2	4	6	13
speak	6	4	2	5	3	8	4	2	6	3
pack	8	2	4	3	3	9	2	4	4	3
appl	5	0	3	8	4	9	0	6	13	5
sync	1	3	5	4	7	2	4	6	5	8
imposs	7	3	3	3	4	7	4	3	3	4
profil	1	0	3	11	5	1	0	3	13	5
pandora	1	4	0	5	10	2	4	0	5	11
tilt	1	1	2	8	8	1	2	3	8	8
bigger	1	1	7	4	6	1	1	10	6	9
convert	4	0	4	7	5	4	0	4	7	5
superb	1	0	3	0	16	1	0	3	0	16
ahead	2	1	3	4	10	2	1	3	4	10
activ	1	3	3	10	3	4	4	3	11	3
desir	4	3	6	1	6	4	3	7	1	6
bring	3	5	1	2	9	3	6	1	2	10
pic	2	0	4	3	11	2	0	4	3	15
accur	1	2	2	6	8	1	2	2	6	8
charg	3	5	4	3	5	4	5	5	3	5
buffer	0	8	7	1	2	0	11	9	1	2
indic	7	5	4	3	1	8	6	4	3	1
match	2	1	5	1	11	2	1	6	2	12
physic	5	0	4	5	6	7	0	5	6	6
3rd	2	3	3	5	8	2	4	3	5	8
technician	10	6	2	2	1	18	9	2	2	1
stereo	1	1	0	7	12	1	1	0	10	13
sold	3	6	3	2	7	4	6	3	2	7
2d	1	2	1	8	9	1	2	1	12	12
voic	5	2	1	10	3	5	2	1	10	3
pull	7	2	2	3	7	9	2	2	3	7
error	3	7	3	3	4	3	9	3	3	4
unabl	3	5	6	2	3	3	6	6	2	3
special	1	2	1	5	11	1	2	1	5	12
cloud	6	1	7	7	0	20	1	26	7	0
cabinet	1	2	3	3	12	1	2	3	4	16
flaw	5	3	6	5	2	5	3	6	5	2
air	1	4	1	3	12	1	4	1	4	13
locat	3	2	2	10	4	3	2	2	10	5
hang	1	1	3	6	10	1	2	3	6	10
shut	8	4	3	2	4	12	6	3	2	4
chanc	4	0	8	4	5	4	0	8	4	5
thick	4	2	2	7	6	4	3	5	7	9
tune	1	2	5	5	8	1	2	6	5	8
depth	3	1	2	5	10	6	1	2	6	10
advanc	3	4	4	7	3	3	5	4	9	3
shame	7	6	2	2	4	7	6	2	2	4
biggest	1	4	2	8	7	1	4	2	9	8
2nd	6	4	4	3	5	7	4	5	3	5
connector	5	1	1	6	9	8	1	1	12	13
messag	9	4	6	1	2	9	6	6	2	2
junk	16	2	1	0	3	18	2	1	0	3
pair	2	2	6	8	4	2	2	6	8	4
fan	2	7	2	5	6	2	7	2	5	6
visibl	5	2	2	5	8	6	3	3	6	8
wow	1	1	1	4	15	1	1	1	5	16
attract	0	3	7	3	9	0	3	7	3	9
auto	3	2	2	8	7	5	2	3	9	9
chose	2	3	4	4	9	2	3	4	4	9
dim	1	3	1	9	8	9	3	2	12	9
browser	2	3	5	6	6	4	7	7	7	8
life	2	1	4	3	12	2	1	4	3	14
resolv	7	7	3	4	1	7	8	4	4	1
commerci	2	11	4	2	3	2	14	6	2	3
intern	2	2	4	2	12	3	2	6	3	14
heard	10	5	2	0	5	11	5	2	0	6
bare	1	4	3	7	7	1	4	3	7	8
equip	4	3	1	5	9	9	3	1	5	10
share	2	1	4	4	11	2	4	4	4	11
friday	4	0	2	7	10	5	0	2	8	11
idea	3	7	3	5	4	3	7	3	5	4
lost	6	3	4	5	5	6	3	4	5	5
attach	2	4	4	8	5	2	4	7	11	5
hardwar	4	6	5	1	7	5	8	6	3	7
prime	4	6	2	8	3	5	10	2	8	3
forward	7	3	7	3	3	7	3	7	3	3
rich	1	3	1	5	13	1	3	1	5	13
code	3	3	4	3	10	4	5	4	3	11
natur	3	1	5	7	7	6	1	5	8	8
satellit	2	1	3	4	13	2	1	3	4	18
assum	6	4	2	6	5	6	4	2	8	5
flawless	1	0	2	3	17	1	0	2	3	18
ota	2	3	3	3	12	2	4	3	3	15
tube	3	2	4	4	10	3	2	5	5	12
crystal	0	3	2	2	16	0	3	2	2	17
band	4	3	6	5	5	4	4	12	7	6
automat	3	2	2	8	8	3	2	2	8	8
happier	1	1	0	1	21	1	1	0	1	21
exampl	4	4	4	9	3	5	5	5	9	3
loud	4	5	1	1	13	5	6	1	1	13
scratch	5	1	4	3	11	6	1	4	4	11
term	5	4	4	9	2	5	6	4	9	2
glad	4	1	1	6	12	4	1	1	6	12
def	2	3	0	4	15	3	3	0	5	18
polici	11	4	5	0	4	11	6	7	0	4
explain	6	7	5	4	2	6	7	6	4	2
agre	9	3	7	1	4	10	3	8	1	4
suppli	5	5	6	6	2	6	5	8	9	2
sort	3	5	2	9	6	3	8	2	9	6
step	1	0	7	8	8	1	0	8	10	8
protect	3	3	2	6	11	3	3	2	6	12
viera	4	1	1	5	14	4	1	1	11	15
negat	6	0	1	5	13	6	0	1	5	16
write	4	5	3	5	8	4	7	3	6	8
applic	1	7	3	7	7	2	12	3	8	7
pop	6	3	2	7	7	6	5	4	7	7
experienc	8	3	3	4	7	8	3	3	4	7
entertain	1	4	3	9	8	1	5	6	12	8
websit	6	7	1	5	6	6	12	1	6	6
weird	9	2	6	4	4	10	2	7	4	4
posit	5	3	7	4	6	5	3	8	4	6
