Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1542,2,0,"light weight  good response time.",0,0,8,1.000000,1.000000
1542,2,1,"so far no problems.",0,1,26,0.584665,0.147604
1542,2,2,"the proprietary usb port is a bit sketchy so if you connect it to your computer to retrieve files  best to not touch the tablet during the process or the cable might come loose.",1,1,26,0.668181,0.219573
1542,2,3,"seems to have very slow usb transfer rate too.",1,1,26,0.467890,0.166042
1542,2,4,"tablet cannot be reasonably charged off a computer usb port.",1,1,26,0.373251,0.098003
1542,2,5,"while it will charge it slowly  it is a very slow process and it ll take days to get a full charge.",1,1,26,0.237507,0.057019
1554,2,0,"the size of this tablet is perfect i think.",0,0,14,1.000000,1.000000
1554,2,1,"i installed launcher pro which allows many options.you can set backgrounds through quickpic and several other options.",0,0,11,0.594046,0.154256
1554,2,2,"i find this is perfect as a e reader and the wifi is flawless 99  of the time.",0,0,12,0.599749,0.147604
1554,2,3,"i enjoy it very much for the price.",0,0,2,0.608905,0.141410
1554,2,4,"i wish a lot more android apps worked on this.",1,1,22,0.627289,0.115625
1554,2,5,"setting a background is a pain getting the resolution right is interesting.",1,1,15,0.635715,0.112997
1567,2,0,"nice display and user friendly.",0,0,14,1.000000,1.000000
1567,2,1,"great price for this.",0,0,2,0.609898,0.103168
1569,2,0,"lightweight  big screen  really fast  except on boot   kindle apps  am azon android store capable.",0,0,9,1.000000,1.000000
1569,2,1,"doesn t recognize jumpdrives  have to use flash storage.",1,1,22,0.591556,0.100791
1569,2,2,"getting android store   different browser took awhile.",1,1,23,0.612869,0.115625
1569,2,3," see youtube ",1,1,22,0.625673,0.112997
1575,2,0,"it has a nice big display and bright backlight.",0,0,5,1.000000,1.000000
1575,2,1,"it s pretty light and sturdy feeling.",0,0,8,0.590661,0.141410
1575,2,2,"is not compatible with google play so many apps are not available for it easily.",1,1,22,0.607105,0.115625
1575,2,3,"the screen resolution is low and the touch response is spotty at times.",1,1,17,0.620762,0.100791
1575,2,4,"can not be updated to android 4.0 can t even seem to get an actual facebook app for it.",1,1,22,0.631518,0.112997
1577,2,0,"lightweight  nice feel  beautiful display  good camera  everything i wanted.",0,0,8,1.000000,1.000000
1577,2,1,"i found the ui to be a bit more sluggish than i expected  even for the low price point.",1,1,16,0.612869,0.150900
1578,2,0,"small with nice assortment of colors to choose from.",0,0,5,1.000000,1.000000
1578,2,1,"it runs most anything google play has to throw so far.",0,0,9,0.583272,0.141410
1578,2,2,"i own an older 10  asus transformer 300 with jellybean 4.2.2 on it as well and this seems to have a slightly different ui  which i like better.",0,0,0,0.594887,0.105594
1578,2,3,"this was a good gift for our 12 year old.",0,0,7,0.595904,0.135224
1578,2,4,"runs youtube without a problem and took a 32gb micro sd easily.",0,0,5,0.608893,0.154256
1578,2,5,"it s a bit thick.",1,1,17,0.607912,0.135224
1578,2,6,"one of our daughters has a 2 year old 7 inch galaxy tab 2 and this is a little thicker than that.",1,1,17,0.624483,0.100791
1578,2,7,"it s still small enough and because it does everything you want... the thickness isn t a huge deal.",1,1,15,0.625472,0.105594
1578,2,8,"the built in sound is a bit lacking but so are most tablets of this size.",1,1,17,0.634616,0.115625
1578,2,9,"get some bluetooth stereo headphones and it kicks.",1,1,20,0.639062,0.112997
1580,2,0,"asus memo pad hd 7 inch 16 gb green tablet is a great tablet for the money.",0,0,5,1.000000,1.000000
1580,2,1,"this tablet has a beautiful display  7 inches  and displays images at 1280 x 800 pixels  800p .",0,0,8,0.584146,0.141410
1580,2,2,"the tablet has 170 degree wide viewing angles.",0,0,8,0.586549,0.110422
1580,2,3,"text looks sharper  colors are more vivid  and games stand out.",0,0,1,0.600600,0.115625
1580,2,4,"memo pa hd 7 has a 5 mp megapixel  autofocus rear camera with 100 picture continuous burst shooting and 1080p video recording.",0,0,1,0.667141,0.160705
1580,2,5,"this tablet also has a 1.2 mp front camera.",0,0,1,0.215857,0.044493
1580,2,6,"two of the programs that i liked that comes with this tablet are mypainter and asus studio.",0,0,1,0.676787,0.147416
1580,2,7,"mypainter allows you to demonstrate your artistic skills  while asus studio lets you manage your photos.",0,0,1,0.169744,0.034637
1580,2,8,"i have listed some more specifications that i considered important for this tablet.",0,0,5,0.624996,0.100791
1580,2,9,"they are as follows     operating system   android 4.1 jelly bean   display   7 inch display   processor   quad core 1.2 ghz   memory   16 gb flash memory  1 gb ram memory   number of usb 2.0 ports   1   battery life 10 hour   weight   10.7 ounces   item dimensions   7.7 x 4.7 x 0.4 inches   wi fi  802.11",0,0,6,0.640041,0.110422
1580,2,10,"b g n   thank you for reading my review  if you have any questions feel free to email me  i would be happy to help you with any questions you have.",0,0,13,0.636981,0.150900
1581,2,0,"great value ",0,0,1,1.000000,1.000000
1581,2,1,"fully capable tablet for everything i wanted  internet  games  apps ",0,0,1,0.606036,0.141410
1581,2,2,"sd card is unintentionally removed if body is flexed too much.",1,1,18,0.623187,0.103168
1582,2,0,"received tablet in 1 business day with free shipping.",0,0,13,1.000000,1.000000
1582,2,1,"impressive.",0,0,13,0.582974,0.135224
1582,2,2,"functions well despite mediocre tech website reviews.",0,0,13,0.602708,0.141410
1582,2,3,"for this price range  both front and rear facing cameras and micro sd slot are big pluses over the google nexus.",0,0,5,0.611150,0.100791
1582,2,4,"when buying for girls  the broader color selection is very important.",0,0,7,0.614045,0.110422
1582,2,5,"there s even a matching carrying case which looks like a little clutch purse.",0,0,3,0.626157,0.100791
1582,2,6,"sure to make a little girl happy.",0,0,7,0.635396,0.138288
1584,2,0,"i loved my nexus 7. i loved how i didn t have to deal with the preloaded stuff you get with devices from bigger brands like asus.",0,0,9,1.000000,1.000000
1584,2,1,"the screen was utterly amazing and the device overall felt high quality than other mobile devices i had used.",0,0,8,0.279132,0.047869
1584,2,2,"asus made it.",1,1,27,0.649352,0.194334
1584,2,3,"i ve bought two different tablets from asus and i cannot stand their service.",1,1,27,0.060167,0.021907
1584,2,4,"both tablets broke on my behalf  but each time  i recieved the worst support.",1,1,27,0.605911,0.131647
1584,2,5,"my first tablet arrived pretty much broken  with a dead micro usb port that caved in on first use  and when i tried to get it fixed  because warranties  i basically got the run around  and just said forget it.",1,1,27,0.676920,0.202591
1584,2,6,"with both tablets  they told me that the price to fix a broken screen  i keep breaking screens  would be higher than the tablet s worth.",1,1,27,0.403161,0.072998
