savvi	2	3	5	4	6	2	3	5	4	6
appeal	4	2	5	3	6	4	2	5	3	7
cash	3	5	2	3	6	3	5	2	3	6
pencil	1	0	2	6	11	1	0	2	7	11
dent	4	1	1	10	4	4	1	1	13	5
trial	3	2	7	5	3	3	2	7	5	3
indoor	0	2	4	9	5	0	2	4	10	5
young	2	3	7	6	2	2	3	10	6	3
narrow	1	2	3	8	6	1	2	4	8	6
outdat	3	4	3	7	3	3	5	3	7	3
green	4	7	5	2	2	5	7	5	2	2
tie	2	1	5	9	3	2	1	6	11	10
nightmar	7	5	4	2	1	7	7	4	2	1
motion	2	6	2	7	3	2	9	4	8	5
enhanc	0	5	2	7	6	0	5	2	8	10
grow	3	2	3	5	6	3	2	3	5	7
nephew	6	6	3	3	2	6	8	3	3	2
btw	3	4	6	2	5	3	4	7	3	5
occur	4	6	5	3	2	4	9	5	3	2
1280x800	1	2	2	6	9	1	3	2	6	9
patch	3	5	3	2	7	3	5	5	4	8
thick	1	2	4	8	5	1	2	4	9	6
visual	2	2	6	4	7	2	2	6	6	8
remind	0	4	4	5	8	0	4	4	5	11
friday	5	2	4	4	6	5	2	4	5	7
mb	1	2	4	9	5	1	2	4	9	5
novemb	6	7	3	1	4	6	7	3	1	5
host	1	2	5	9	4	1	2	7	15	5
public	5	7	1	4	4	7	7	1	4	5
hole	5	3	3	7	3	6	3	3	7	3
blame	5	4	10	1	1	6	6	11	1	1
cold	9	2	1	3	6	11	2	1	3	6
rip	6	3	6	3	2	7	3	6	3	2
tag	4	3	3	6	5	5	3	4	7	5
surround	2	0	3	5	11	2	0	3	6	16
unbeliev	5	1	2	2	11	5	2	2	2	11
remedi	0	3	6	6	6	0	3	7	6	6
lay	4	2	4	4	7	4	2	4	4	7
headach	3	7	6	2	3	3	8	7	2	4
met	1	3	2	6	9	1	3	2	6	10
anim	1	3	3	8	6	1	3	4	12	6
discuss	5	4	2	5	5	5	4	2	5	6
logitech	1	1	4	8	7	1	1	4	9	7
lemon	8	7	3	1	2	9	8	4	1	2
paint	1	4	1	10	5	1	4	1	16	7
plane	1	3	6	6	5	1	3	6	6	5
onboard	1	2	3	7	8	1	2	4	7	8
hack	5	5	6	4	1	5	5	7	6	1
blurri	4	5	3	4	5	4	5	3	5	6
grab	1	6	5	3	6	1	6	6	3	6
recoveri	8	4	2	3	4	8	6	2	6	6
verifi	3	2	5	5	6	4	2	5	5	6
arm	4	3	0	4	10	4	3	0	5	10
font	0	8	3	4	6	0	10	6	5	6
tough	2	4	3	6	6	2	4	3	6	6
scan	5	2	3	5	6	6	2	4	7	6
kickstand	2	2	3	5	9	2	2	4	5	9
tube	3	5	2	5	6	3	9	2	5	6
