Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1537,2,0,"light weight  good response time.",0,0,8,1.000000,1.000000
1537,2,1,"so far no problems.",0,1,16,0.622137,0.153837
1537,2,2,"the proprietary usb port is a bit sketchy so if you connect it to your computer to retrieve files  best to not touch the tablet during the process or the cable might come loose.",1,1,20,0.674814,0.228847
1537,2,3,"seems to have very slow usb transfer rate too.",1,1,16,0.500740,0.184185
1537,2,4,"tablet cannot be reasonably charged off a computer usb port.",1,1,20,0.391511,0.116470
1537,2,5,"while it will charge it slowly  it is a very slow process and it ll take days to get a full charge.",1,1,16,0.249181,0.072212
1549,2,0,"the size of this tablet is perfect i think.",0,0,5,1.000000,1.000000
1549,2,1,"i installed launcher pro which allows many options.you can set backgrounds through quickpic and several other options.",0,1,27,0.611531,0.163104
1549,2,2,"i find this is perfect as a e reader and the wifi is flawless 99  of the time.",0,0,6,0.621124,0.153837
1549,2,3,"i enjoy it very much for the price.",0,0,6,0.628319,0.155041
1549,2,4,"i wish a lot more android apps worked on this.",1,0,6,0.623775,0.123769
1549,2,5,"setting a background is a pain getting the resolution right is interesting.",1,1,18,0.630786,0.120049
1562,2,0,"nice display and user friendly.",0,0,11,1.000000,1.000000
1562,2,1,"great price for this.",0,0,14,0.627165,0.113824
1570,2,0,"it has a nice big display and bright backlight.",0,0,8,1.000000,1.000000
1570,2,1,"it s pretty light and sturdy feeling.",0,0,5,0.618664,0.155041
1570,2,2,"is not compatible with google play so many apps are not available for it easily.",1,1,29,0.620160,0.123769
1570,2,3,"the screen resolution is low and the touch response is spotty at times.",1,1,18,0.624670,0.110365
1570,2,4,"can not be updated to android 4.0 can t even seem to get an actual facebook app for it.",1,1,27,0.632379,0.120049
1572,2,0,"lightweight  nice feel  beautiful display  good camera  everything i wanted.",0,0,5,1.000000,1.000000
1572,2,1,"i found the ui to be a bit more sluggish than i expected  even for the low price point.",1,0,5,0.623693,0.158416
1573,2,0,"small with nice assortment of colors to choose from.",0,0,8,1.000000,1.000000
1573,2,1,"it runs most anything google play has to throw so far.",0,0,6,0.616865,0.155041
1573,2,2,"i own an older 10  asus transformer 300 with jellybean 4.2.2 on it as well and this seems to have a slightly different ui  which i like better.",0,0,5,0.614460,0.117377
1573,2,3,"this was a good gift for our 12 year old.",0,0,14,0.622203,0.146152
1573,2,4,"runs youtube without a problem and took a 32gb micro sd easily.",0,1,23,0.618063,0.163104
1573,2,5,"it s a bit thick.",1,1,23,0.629472,0.146152
1573,2,6,"one of our daughters has a 2 year old 7 inch galaxy tab 2 and this is a little thicker than that.",1,1,19,0.620259,0.110365
1573,2,7,"it s still small enough and because it does everything you want... the thickness isn t a huge deal.",1,1,23,0.630721,0.117377
1573,2,8,"the built in sound is a bit lacking but so are most tablets of this size.",1,1,23,0.627312,0.123769
1573,2,9,"get some bluetooth stereo headphones and it kicks.",1,1,23,0.633575,0.120049
1575,2,0,"asus memo pad hd 7 inch 16 gb green tablet is a great tablet for the money.",0,0,1,1.000000,1.000000
1575,2,1,"this tablet has a beautiful display  7 inches  and displays images at 1280 x 800 pixels  800p .",0,0,5,0.614916,0.155041
1575,2,2,"the tablet has 170 degree wide viewing angles.",0,0,5,0.621532,0.116425
1575,2,3,"text looks sharper  colors are more vivid  and games stand out.",0,0,5,0.614624,0.123769
1575,2,4,"memo pa hd 7 has a 5 mp megapixel  autofocus rear camera with 100 picture continuous burst shooting and 1080p video recording.",0,0,12,0.678928,0.167110
1575,2,5,"this tablet also has a 1.2 mp front camera.",0,0,12,0.247747,0.054617
1575,2,6,"two of the programs that i liked that comes with this tablet are mypainter and asus studio.",0,0,13,0.684928,0.158886
1575,2,7,"mypainter allows you to demonstrate your artistic skills  while asus studio lets you manage your photos.",0,0,13,0.154812,0.042791
1575,2,8,"i have listed some more specifications that i considered important for this tablet.",0,0,14,0.631988,0.110365
1575,2,9,"they are as follows     operating system   android 4.1 jelly bean   display   7 inch display   processor   quad core 1.2 ghz   memory   16 gb flash memory  1 gb ram memory   number of usb 2.0 ports   1   battery life 10 hour   weight   10.7 ounces   item dimensions   7.7 x 4.7 x 0.4 inches   wi fi  802.11",0,0,13,0.624069,0.116425
1575,2,10,"b g n   thank you for reading my review  if you have any questions feel free to email me  i would be happy to help you with any questions you have.",0,0,6,0.636883,0.158416
1576,2,0,"great value ",0,0,2,1.000000,1.000000
1576,2,1,"fully capable tablet for everything i wanted  internet  games  apps ",0,0,2,0.614526,0.155041
1576,2,2,"sd card is unintentionally removed if body is flexed too much.",1,0,2,0.628631,0.113824
1577,2,0,"received tablet in 1 business day with free shipping.",0,0,14,1.000000,1.000000
1577,2,1,"impressive.",0,0,1,0.621628,0.146152
1577,2,2,"functions well despite mediocre tech website reviews.",0,0,1,0.613499,0.155041
1577,2,3,"for this price range  both front and rear facing cameras and micro sd slot are big pluses over the google nexus.",0,0,13,0.618359,0.110365
1577,2,4,"when buying for girls  the broader color selection is very important.",0,0,14,0.630255,0.116425
1577,2,5,"there s even a matching carrying case which looks like a little clutch purse.",0,0,4,0.628259,0.110365
1577,2,6,"sure to make a little girl happy.",0,0,14,0.635877,0.150542
1579,2,0,"i loved my nexus 7. i loved how i didn t have to deal with the preloaded stuff you get with devices from bigger brands like asus.",0,0,6,1.000000,1.000000
1579,2,1,"the screen was utterly amazing and the device overall felt high quality than other mobile devices i had used.",0,0,5,0.302041,0.057367
1579,2,2,"asus made it.",1,1,21,0.683738,0.206749
1579,2,3,"i ve bought two different tablets from asus and i cannot stand their service.",1,1,21,0.073368,0.032876
1579,2,4,"both tablets broke on my behalf  but each time  i recieved the worst support.",1,1,21,0.621555,0.146593
1579,2,5,"my first tablet arrived pretty much broken  with a dead micro usb port that caved in on first use  and when i tried to get it fixed  because warranties  i basically got the run around  and just said forget it.",1,1,16,0.680465,0.218382
1579,2,6,"with both tablets  they told me that the price to fix a broken screen  i keep breaking screens  would be higher than the tablet s worth.",1,1,21,0.419262,0.084304
1579,2,7,"like  i understand that i broke them  but the support i got in light of this was just terrible.",1,1,21,0.630548,0.153837
1579,2,8,"i have an asus monitor and an asus mobo and these are pretty much going to be the last asus products i ever have.",1,1,21,0.688848,0.218382
1579,2,9,"anyways  i wouldn t reccomend getting this tablet strictly because asus will end up shortsticking you when something goes wrong.",1,1,21,0.058044,0.055722
1581,2,0,"good speed  great screen  works well.",0,1,22,1.000000,1.000000
1581,2,1,"i have never had one of mine fail or get bricked by an update.",0,1,28,0.625084,0.150994
1583,2,0,"fast  very high resolution  and updates to the latest version of android    see  other thoughts .",0,1,17,1.000000,1.000000
1583,2,1,"none of the issues that a few people have reported...so i suspect that the issues are rare.",1,0,1,0.682585,0.158886
1583,2,2,"people are more likely to post a review to complain than to praise.",1,0,1,0.375916,0.110236
1584,2,0,"awesome screen color and definition very fast cpu  well built",0,0,5,1.000000,1.000000
1584,2,1,"cpu heats up sometimes if i have alot of programs running at the same time",1,0,5,0.398801,0.113998
1588,2,0,"runs android 5.1 direct from google.",0,0,2,1.000000,1.000000
1588,2,1,"it only paid 74 dollars for it.",0,0,14,0.617253,0.117377
1588,2,2,"no hardware issues at all.",0,0,1,0.616873,0.110365
1588,2,3,"32 gb flash.",0,0,1,0.618827,0.117377
1588,2,4,"i knew all this before buying it  hardware is outdated for 2015 standards  but what can you expect for 74 dollars ",1,0,1,0.616114,0.117377
1588,2,5,"only 1gb ram.",1,1,26,0.627353,0.110365
1588,2,6,"flash i o speeds are very slow.",1,1,27,0.681721,0.168397
1588,2,7,"i unlocked the bootloader and flashed chroma rom and franco kernel with f2fs support.",1,1,27,0.246690,0.048289
1588,2,8,"now the tablet is reasonably responsive.",1,1,27,0.631988,0.117377
1588,2,9,"no rear facing camera.",1,1,19,0.628160,0.123769
1588,2,10,"no microsd slot.",1,1,26,0.634684,0.120049
1590,2,0,"it s fast  plenty of available apps  light  easy to use and updates the os automatically.",0,0,7,1.000000,1.000000
1590,2,1,"i bought it as a refurb for  109 and out of the box  it worked great and i was really pleased with it.",0,0,9,0.618660,0.146152
1590,2,2,"after only a couple of weeks  slow charging issues cropped up.",1,1,16,0.679805,0.218382
1590,2,3,"i m talking 12  hours with the unit turned off completely to get even a 10  charge.",1,1,16,0.440952,0.124326
1590,2,4,"then suddenly it will charge fine  and a day or so later  go back to slow charge  even losing charge while charging. ",1,1,16,0.146885,0.044388
1590,2,5,"originally planned to rma it the first time but when the problem cleared up  i decided to hold onto it  only to have the problem come back.",1,1,28,0.627490,0.163104
1590,2,6,"tried several methods found online to fix  none have worked 100 .",1,1,16,0.636639,0.150542
1591,2,0,"very stable  fast loading  excellent display",0,0,5,1.000000,1.000000
1591,2,1,"slow cold boot  not a big deal  but seems to get longer with each os upgrade.",1,1,27,0.621704,0.158416
1592,2,0,"fast  automatic upgrades on android version  32gb  minimal bloatware",0,1,17,1.000000,1.000000
1592,2,1,"hit and miss on quality as other reviewers have indicated.",1,0,10,0.627165,0.120049
1594,2,0,"worked for awhile  failed about six weeks after i got it.",0,1,21,1.000000,1.000000
1594,2,1,"asus said they d give me an rma number in january  but itnever came.",1,1,21,0.617797,0.110365
1594,2,2,"to be fair  they probably realized i had this for about six weeks before it failed and decided i wasn t eligible for repair.",1,1,21,0.623775,0.120049
1595,2,0,"this is in reply to scottbilby and i could see no way to do that other than this.",0,1,21,1.000000,1.000000
1595,2,1,"my friend s nexus 7 was doing the exact same thing as yours.",0,1,24,0.610764,0.123769
1595,2,2,"i googled it and the problem is caused by static.",0,1,27,0.622594,0.153837
1595,2,3,"very easy to fix  carefully remove the back of the tablet and unplug the battery  long  flat with small cord at top right .",0,1,16,0.616733,0.163104
1595,2,4,"leave it for a few minutes and then plug back in.",0,1,16,0.629836,0.123769
1595,2,5,"works like a charm.",0,1,16,0.632862,0.116425
1595,2,6,"i found quite a few people with the same problem as scottbilby.",1,1,21,0.627835,0.158416
1596,2,0,"bought the 32gb nexus 7  2012  to replace my 8gb   preordered when it was first released .",0,1,26,1.000000,1.000000
1596,2,1,"the old one is still running fine.",0,1,26,0.622369,0.123769
1596,2,2,"now wife is enjoying the old one  and i the new one.",0,1,24,0.616630,0.117377
1596,2,3,"the new unit looked brand new    no blemishes.",0,1,16,0.623693,0.117377
1596,2,4,"i immediately updated it to android 5.0.2.",0,1,27,0.627247,0.110365
1596,2,5,"no problem.",0,1,27,0.634230,0.150542
1597,2,0,"great specs  good reviews  light   looks sharp.",0,0,8,1.000000,1.000000
1597,2,1,"wouldn t boot at all.",1,1,28,0.620585,0.146152
1597,2,2,"battery charge icon came up the first time i plugged it in  using the asus provided charger  and so i left it to charge for several hours.",1,1,16,0.610222,0.117377
1597,2,3,"hit the power button and got only a faint glow from the screen  indicating to me that power was received.",1,1,16,0.681031,0.168397
1597,2,4,"everytime i unplugged the charger  screen went black.",1,1,16,0.307395,0.053553
1597,2,5,"then i saw some weird intermittent colored static.",1,1,18,0.624232,0.116425
1597,2,6,"went online  looked up a zillion repair videos and mentions on forums  some guys  jump started  the dead battery cells but since mine was brand new   i just played it safe.",1,1,16,0.617880,0.123769
1597,2,7,"power button  volume rocker switch  hooked to computer usb  followed the google nexus troubleshooting info   no dice.",1,1,26,0.626628,0.116425
1597,2,8,"i m sure this tablet is will be great if and when i get a working one  but don t buy a refurb wheen it s critically  needed.",1,1,25,0.631395,0.163104
1597,2,9,"luckily i can just plug along with my ipad until i get this resolved.",1,1,23,0.630745,0.155041
1597,2,10,"sucks.",1,1,25,0.635376,0.110365
1597,2,11,"badly.",1,1,25,0.632551,0.150542
1598,2,0,"the tablets made by irulu are junk  they work for a few days and fail.",1,1,28,1.000000,1.000000
1598,2,1,"the old saying applies here  if you buy cheap  you end up paying more in the long run.",1,1,21,0.622301,0.158416
1599,2,0,"beautifully designed thin tablet w  retinal display and quadcore processor.",0,0,5,1.000000,1.000000
1599,2,1,"this model is a step up from most low priced tablets.",0,0,1,0.617253,0.117377
1599,2,2,"7.85 display is easier to navigate with fat fingers.",0,0,8,0.616873,0.117377
1599,2,3,"charges with cellphone charger for convience.",0,0,3,0.622316,0.110365
1599,2,4,"it s a nice unit.",0,0,5,0.620776,0.155041
1599,2,5,"chinese is the defalt language  ",1,1,29,0.626197,0.153837
1599,2,6,"if you don t have a clue like me it is not easy to use till you get it in english.",1,1,29,0.621183,0.117377
1599,2,7,"you can do this by comparing the unit with a smartphone with android and following the smartphone menu. 1 gig of memory  two might be nice.",1,1,17,0.621193,0.153837
1599,2,8,"chinese bloatware that can t be removed  the average user doesn t care or want access to chinese videos  music or games.",1,1,29,0.687331,0.218382
1599,2,9,"there are programs in chinese that cannot be removed or used.",1,1,29,0.088034,0.033776
1599,2,10,"weak wifi.",1,1,22,0.634684,0.114181
