incred	2	1	2	4	6	4	1	2	7	6
coupl	2	1	4	1	7	2	1	4	1	7
space	1	0	2	6	6	1	0	2	8	6
real	3	1	0	4	7	3	1	0	4	7
unit	2	2	3	2	6	3	2	3	2	6
move	1	0	0	6	8	1	0	0	7	10
offer	4	1	1	1	8	5	1	1	2	8
dead	9	1	0	2	3	11	1	0	2	3
navig	0	2	3	3	7	0	2	3	3	8
straight	0	1	2	6	7	0	2	2	6	7
fantast	0	1	1	8	6	0	1	1	8	6
cpu	0	0	3	5	8	0	0	3	6	10
definit	1	0	3	4	8	1	0	3	5	9
paid	7	0	0	2	7	7	0	0	2	7
huge	0	1	1	6	8	0	1	1	8	10
expand	0	0	1	5	10	0	0	1	5	11
s4	0	2	1	4	9	0	3	1	4	10
wife	1	1	1	3	10	1	1	1	4	10
sell	3	0	3	5	5	3	0	3	7	5
gsm	0	1	4	7	4	0	1	5	7	5
absolut	2	1	1	4	8	2	1	1	4	9
latest	0	2	2	3	9	0	2	2	3	9
hot	4	2	0	4	6	4	2	0	4	6
soni	5	0	0	3	8	6	0	0	7	10
face	0	0	1	6	9	0	0	2	6	10
durabl	2	4	1	5	4	2	5	1	6	4
compat	4	1	4	4	3	4	1	5	7	3
audio	1	1	1	3	10	1	1	3	3	11
horribl	8	2	1	2	3	8	3	1	2	3
short	4	2	1	3	7	4	2	1	3	7
averag	1	1	0	7	8	1	1	0	8	9
volum	2	2	1	7	5	4	2	3	9	7
s3	4	0	2	3	8	6	0	2	3	9
send	2	4	4	4	3	2	4	8	4	4
voic	1	1	2	3	10	1	1	2	3	10
hit	2	4	1	5	5	2	4	1	6	5
nexus	0	0	0	4	13	0	0	0	6	18
cabl	3	3	3	0	8	5	5	4	0	9
locat	0	3	4	3	7	0	3	4	3	10
worth	3	0	3	4	7	3	0	3	5	7
longer	2	2	2	4	7	2	3	2	4	7
protect	1	1	1	6	8	1	1	1	6	10
blu	4	0	2	3	8	4	0	3	6	10
impress	1	1	1	5	9	1	2	1	5	9
half	4	1	1	3	9	4	1	1	3	9
left	3	3	1	3	8	3	3	1	3	8
manufactur	9	1	1	1	6	13	1	1	2	6
mention	3	1	1	3	10	3	1	1	4	10
seller	4	4	1	3	6	8	6	3	5	7
radio	0	1	1	11	5	0	1	2	14	6
number	7	1	3	3	4	10	1	3	3	6
thought	3	2	0	3	10	3	2	0	3	10
item	3	6	1	2	6	3	8	1	2	7
consid	1	1	2	5	9	2	1	2	5	10
amount	4	0	1	6	7	4	0	2	7	7
complet	4	0	4	3	7	4	0	4	3	7
experi	3	0	0	4	11	3	0	0	5	11
side	4	0	2	4	8	6	0	2	6	10
save	0	0	1	6	12	0	0	1	10	12
tech	1	4	1	4	9	1	4	2	4	12
built	1	1	1	9	7	1	1	1	9	7
notic	0	0	2	5	12	0	0	2	5	12
basic	4	0	6	3	6	4	0	6	3	6
disappoint	6	1	1	6	5	7	2	1	6	5
messag	2	2	2	8	5	2	2	5	9	9
expens	6	1	4	2	6	6	1	4	2	7
advertis	3	1	7	3	6	4	1	7	3	6
glass	1	1	0	8	10	1	1	0	8	13
applic	4	1	1	4	10	4	1	1	4	11
die	11	2	2	2	3	12	3	2	2	3
compani	5	0	0	2	13	6	0	0	3	13
appear	3	3	0	8	6	3	3	0	8	8
allow	3	0	0	5	12	3	0	0	6	16
cell	5	1	2	5	7	5	1	2	5	7
super	0	1	2	5	12	0	1	2	5	13
black	7	2	3	3	5	8	2	3	3	5
white	2	3	2	7	6	2	4	2	9	7
web	1	0	2	9	8	1	0	2	11	8
extra	2	0	4	4	10	2	0	4	4	11
arriv	4	2	0	0	14	5	3	0	0	15
rom	1	0	3	5	11	1	0	3	8	14
extrem	3	1	1	2	13	3	2	1	2	13
person	4	1	3	0	12	6	1	4	0	13
solid	0	0	1	5	15	0	0	1	6	19
signal	9	2	2	4	4	10	2	3	4	8
interfac	2	1	3	7	8	3	1	4	10	8
recommend	4	1	0	5	11	5	1	0	6	12
origin	5	1	3	3	9	5	1	3	3	9
minut	5	3	1	4	8	5	3	1	6	8
pay	4	0	3	6	8	5	0	3	7	8
list	5	0	3	7	6	7	0	4	15	7
lack	1	0	4	6	10	1	0	5	8	11
close	2	1	3	8	7	2	1	3	9	8
mode	1	1	2	8	9	1	1	2	13	10
terribl	5	8	3	2	3	5	10	4	3	3
kind	1	1	4	7	8	1	1	4	7	8
friend	2	2	3	4	10	2	2	4	4	12
access	3	3	3	6	6	5	4	3	8	8
mine	2	0	3	4	13	2	0	4	4	13
market	2	1	1	7	11	2	1	1	11	13
wo	4	2	1	5	10	5	2	1	5	10
freez	12	5	1	2	2	16	13	1	2	2
condit	2	0	3	7	10	2	0	3	8	10
hope	3	3	4	3	9	3	3	4	4	9
return	12	6	2	1	1	14	8	2	2	1
annoy	2	1	1	12	6	2	1	2	14	6
plastic	2	1	1	8	10	2	1	1	9	11
contact	11	3	1	3	4	17	3	1	4	4
capabl	3	2	2	8	8	3	2	2	10	12
top	3	3	1	5	11	4	4	1	5	16
lag	3	0	3	6	11	3	0	3	8	11
loud	2	1	2	5	13	2	1	2	6	16
egg	3	2	3	8	7	3	2	5	10	7
music	3	0	2	9	9	3	0	2	14	14
direct	3	1	0	4	15	3	1	0	5	16
contract	2	1	1	8	11	2	1	1	8	12
cost	4	2	3	4	10	4	2	3	4	10
photo	2	1	4	6	10	2	1	4	8	11
port	3	1	1	8	10	3	1	1	12	14
care	3	3	2	6	9	3	3	2	7	11
usb	3	3	2	7	9	5	4	2	7	14
internet	5	4	1	7	7	7	6	1	8	9
faster	0	0	2	9	13	0	0	2	12	16
limit	3	2	4	7	8	3	3	4	7	9
type	5	1	2	7	9	6	1	2	9	9
weight	2	0	1	11	10	3	0	1	13	10
awesom	2	0	1	3	19	2	0	1	3	20
load	4	3	2	7	9	4	4	2	7	9
blackberri	5	1	3	6	10	7	1	3	10	17
plan	7	0	1	6	11	10	0	1	9	13
gb	1	1	2	13	8	1	1	2	17	14
recept	5	3	2	5	10	5	5	2	5	10
wait	7	4	0	4	10	7	5	0	4	10
microsd	1	0	2	11	11	1	0	6	13	13
hold	5	2	2	7	9	5	2	2	7	11
asus	5	1	1	9	9	10	1	2	17	15
quad	2	0	2	6	16	4	0	2	6	18
open	10	1	2	5	8	13	2	2	6	9
second	2	3	3	6	12	3	4	4	6	12
stock	5	0	0	9	12	5	0	0	10	12
chang	1	3	5	8	9	2	3	5	8	9
heavi	1	2	1	7	15	1	2	1	9	17
download	1	1	2	8	14	1	1	2	11	19
order	7	5	1	2	12	11	9	1	2	16
money	7	4	2	6	8	11	5	2	6	9
color	4	2	2	6	13	4	2	2	7	14
fit	4	2	3	4	14	4	2	3	5	14
brand	7	2	5	2	11	7	2	5	2	12
hardwar	5	3	2	9	8	5	4	3	10	8
gps	3	3	2	11	9	3	6	3	12	12
smart	3	3	0	7	15	3	4	0	9	18
htc	5	2	0	8	13	8	2	0	14	20
protector	1	0	2	9	16	1	0	4	12	22
scratch	3	5	0	8	13	4	5	0	10	13
build	3	2	2	6	16	3	2	2	6	17
option	5	1	3	9	11	6	1	3	10	13
keyboard	5	1	4	7	12	5	1	4	13	13
includ	2	3	2	11	11	4	3	2	14	13
read	5	4	1	6	13	8	4	2	7	15
front	1	0	1	12	15	1	0	1	13	16
deal	2	1	3	7	16	2	1	4	7	17
game	2	1	0	6	21	2	1	0	6	28
smartphon	4	3	4	6	13	6	3	4	7	18
pocket	4	1	4	8	13	5	1	4	10	14
peopl	3	5	2	5	16	3	6	2	6	20
root	1	0	3	10	18	2	0	5	15	27
slow	8	3	7	5	9	12	5	8	5	10
user	1	2	1	14	14	1	3	1	23	16
help	10	4	3	5	10	14	4	4	5	10
system	4	1	3	9	15	4	1	3	9	15
beauti	2	0	2	8	20	2	0	2	9	23
hand	2	2	1	11	17	2	2	1	13	18
lock	9	3	8	3	10	16	4	10	4	11
email	12	2	3	5	11	15	2	3	5	11
mobil	2	2	1	14	14	3	2	1	15	16
hour	7	5	1	9	11	7	9	1	10	16
ship	4	3	3	5	18	6	3	3	5	20
start	13	5	5	3	8	15	6	6	3	8
bloatwar	0	1	2	12	19	0	1	2	13	25
text	4	5	3	10	13	5	5	4	13	14
charger	7	5	2	7	14	8	7	4	9	17
micro	1	1	2	12	19	1	1	2	14	22
bit	3	3	1	13	15	3	3	1	19	16
model	6	3	5	8	13	7	3	7	12	15
week	10	4	3	9	9	11	12	4	9	9
talk	4	3	4	10	15	4	5	4	11	15
spec	7	2	2	10	15	7	2	3	15	17
reason	10	4	3	7	12	13	4	3	9	12
warranti	19	4	6	2	5	31	4	9	2	6
amaz	5	0	3	9	19	5	0	3	11	25
carrier	2	2	4	16	12	2	2	6	19	16
low	8	2	3	12	12	9	3	4	12	13
year	9	5	3	11	9	14	5	3	11	11
flash	3	3	6	9	16	4	3	7	12	17
appl	6	2	5	6	18	11	2	5	7	28
remov	4	4	2	8	19	4	4	2	11	22
fine	7	4	3	10	13	7	5	3	13	13
store	4	3	3	7	20	4	3	6	8	24
full	6	4	6	11	11	6	4	6	13	11
purchas	11	2	2	6	17	15	2	2	6	18
core	3	0	2	8	25	7	0	2	8	26
perform	2	4	6	10	16	2	5	7	13	20
design	3	3	4	9	19	5	3	5	9	23
free	1	5	5	8	19	1	6	5	11	19
decent	3	4	4	11	16	4	5	5	16	16
turn	18	4	3	7	7	18	4	4	9	7
connect	6	9	4	13	7	9	12	5	13	9
bright	1	0	5	15	18	1	0	5	19	21
network	4	6	4	10	15	6	9	8	10	16
long	6	4	4	11	15	7	4	4	11	17
intern	5	2	6	12	15	8	3	7	19	16
dual	6	2	3	11	18	7	2	3	11	18
compar	7	2	1	13	17	8	2	1	15	18
function	12	4	6	11	8	13	4	8	13	8
4g	2	2	5	10	22	3	4	7	12	26
easili	3	4	1	11	22	4	4	1	11	27
small	7	5	5	12	12	8	6	5	20	15
product	17	0	4	5	16	22	0	5	5	21
speed	2	1	4	13	22	2	1	5	16	26
play	2	1	4	12	23	2	1	5	13	34
bad	14	5	1	11	11	15	6	1	12	15
upgrad	4	1	5	17	15	4	2	5	17	20
review	9	2	3	8	20	14	2	4	8	23
resolut	0	0	6	15	22	0	0	7	15	24
galaxi	5	2	5	7	24	6	2	5	8	32
ram	4	1	4	13	21	4	1	4	14	23
box	12	5	4	10	12	13	7	5	10	13
version	6	3	4	12	19	11	7	4	15	24
googl	4	1	4	11	24	4	1	6	14	40
light	3	2	2	17	20	3	3	4	21	22
clear	1	1	5	14	23	1	1	5	17	26
smooth	4	2	1	9	28	4	2	1	10	29
receiv	16	5	5	5	14	22	5	5	5	14
perfect	2	1	4	4	34	3	1	4	5	40
expect	1	5	2	13	24	2	5	2	15	25
cover	11	5	6	12	12	14	5	8	16	13
instal	6	1	6	9	25	6	1	8	10	30
drop	13	3	4	10	17	18	3	4	11	17
sound	4	3	3	14	23	5	3	3	15	26
processor	1	1	5	16	24	1	1	5	20	25
high	6	1	3	11	26	7	1	3	11	29
replac	12	10	6	4	16	19	12	6	4	20
lte	3	2	6	14	24	3	2	9	21	30
button	9	4	7	15	14	14	7	11	19	22
find	6	4	3	12	24	6	4	5	16	31
cheap	13	6	3	10	18	18	7	5	12	18
slot	1	2	2	22	23	1	2	4	24	24
window	14	2	10	9	16	15	2	11	15	24
excel	2	0	2	16	31	3	0	2	19	40
3g	0	5	9	13	25	0	5	10	19	25
softwar	8	4	1	21	18	8	7	4	28	22
pictur	5	4	9	10	24	5	5	12	11	29
bought	12	6	6	5	23	15	6	8	5	24
thing	7	7	3	13	23	7	7	3	15	30
power	4	5	5	14	25	5	5	5	21	30
data	6	3	7	15	22	8	7	7	26	29
speaker	7	3	4	17	22	8	5	4	20	24
set	7	3	6	13	24	8	3	7	21	31
storag	5	0	5	18	26	9	0	5	23	30
love	0	2	3	14	36	0	3	5	14	40
touch	7	3	6	15	24	8	3	6	20	29
con	5	4	5	7	36	6	4	6	7	43
month	35	5	5	7	6	42	7	8	7	6
feel	4	3	2	20	29	4	3	2	21	37
sd	1	4	2	18	33	1	5	3	25	40
size	5	3	3	13	35	5	3	3	14	40
servic	19	5	6	10	19	22	5	8	13	37
custom	15	4	6	15	20	20	5	7	21	21
best	2	0	4	11	43	2	0	4	11	55
video	7	2	5	23	24	8	2	5	28	31
tmobil	6	6	7	17	27	9	8	12	29	29
wifi	7	8	2	17	31	11	11	3	30	38
att	4	8	6	21	26	8	11	12	34	33
