Topic 0(0.057):	sound(0.056)	qualiti(0.024)	speaker(0.023)	good(0.023)	color(0.023)	screen(0.018)	great(0.018)	view(0.016)	black(0.016)	set(0.014)	led(0.012)	bright(0.012)	angl(0.011)	light(0.010)	better(0.010)	system(0.008)	nice(0.008)	dark(0.008)	level(0.007)	issu(0.007)	thin(0.006)	room(0.006)	panel(0.006)	surround(0.006)	excel(0.006)	imag(0.006)	pretti(0.005)	samsung(0.005)	volum(0.005)	side(0.005)	clear(0.005)	bad(0.005)	bar(0.005)	turn(0.005)	audio(0.005)	contrast(0.005)	lcd(0.005)	hear(0.004)	backlight(0.004)	terribl(0.004)	flat(0.004)	display(0.004)	problem(0.004)	horribl(0.004)	expect(0.004)	edg(0.004)	sharp(0.004)	decent(0.004)	bleed(0.004)	notic(0.004)	
Topic 1(0.053):	remot(0.060)	button(0.022)	control(0.019)	set(0.015)	easi(0.015)	light(0.014)	work(0.013)	stand(0.012)	mount(0.012)	screen(0.011)	nice(0.009)	wall(0.009)	input(0.009)	great(0.008)	good(0.007)	small(0.007)	side(0.007)	featur(0.006)	volum(0.006)	touch(0.006)	design(0.006)	room(0.005)	thing(0.005)	box(0.005)	weight(0.005)	setup(0.005)	find(0.005)	menu(0.005)	frame(0.005)	thin(0.005)	black(0.005)	cabl(0.005)	turn(0.004)	includ(0.004)	bit(0.004)	time(0.004)	base(0.004)	sound(0.004)	function(0.004)	problem(0.004)	power(0.004)	point(0.004)	move(0.004)	issu(0.004)	chang(0.004)	channel(0.004)	simpl(0.004)	view(0.004)	univers(0.004)	navig(0.004)	
Topic 2(0.048):	game(0.029)	set(0.018)	movi(0.016)	watch(0.016)	great(0.015)	rate(0.014)	120hz(0.014)	1080p(0.013)	play(0.011)	refresh(0.011)	good(0.011)	3d(0.011)	60hz(0.010)	motion(0.009)	hd(0.009)	qualiti(0.008)	video(0.008)	sport(0.008)	resolut(0.008)	notic(0.007)	lag(0.007)	monitor(0.007)	work(0.007)	hz(0.007)	pc(0.006)	bluray(0.006)	screen(0.006)	imag(0.006)	issu(0.006)	mode(0.006)	better(0.006)	fast(0.006)	time(0.006)	samsung(0.006)	blur(0.006)	input(0.006)	led(0.005)	clear(0.005)	lg(0.005)	720p(0.005)	color(0.005)	hdtv(0.005)	featur(0.005)	display(0.005)	content(0.005)	comput(0.005)	hdmi(0.005)	4k(0.005)	ps3(0.004)	high(0.004)	
Topic 3(0.058):	amazon(0.038)	ship(0.026)	great(0.025)	return(0.022)	set(0.021)	day(0.020)	arriv(0.018)	deliveri(0.017)	order(0.016)	work(0.015)	good(0.015)	receiv(0.014)	servic(0.012)	box(0.012)	screen(0.011)	samsung(0.011)	price(0.011)	product(0.011)	deliv(0.011)	packag(0.010)	qualiti(0.010)	bought(0.010)	purchas(0.009)	free(0.008)	time(0.008)	damag(0.008)	excel(0.008)	dead(0.008)	replac(0.008)	defect(0.008)	week(0.007)	newegg(0.007)	pixel(0.007)	perfect(0.007)	expect(0.006)	easi(0.006)	disappoint(0.005)	deal(0.005)	item(0.005)	problem(0.005)	issu(0.005)	unit(0.005)	condit(0.005)	fast(0.004)	buy(0.004)	broken(0.004)	better(0.004)	process(0.004)	refund(0.004)	happi(0.004)	
Topic 4(0.102):	great(0.090)	good(0.072)	price(0.055)	qualiti(0.044)	sound(0.032)	smart(0.030)	featur(0.024)	nice(0.015)	better(0.015)	work(0.012)	expect(0.011)	samsung(0.011)	excel(0.011)	product(0.010)	money(0.010)	buy(0.010)	set(0.009)	deal(0.008)	easi(0.008)	bad(0.008)	size(0.008)	decent(0.007)	app(0.007)	pretti(0.007)	lot(0.006)	pay(0.006)	brand(0.005)	awesom(0.005)	softwar(0.005)	recommend(0.005)	cheap(0.005)	worth(0.005)	remot(0.005)	vizio(0.004)	thing(0.004)	setup(0.004)	high(0.004)	screen(0.004)	find(0.004)	basic(0.004)	perfect(0.004)	reason(0.004)	internet(0.004)	best(0.004)	extra(0.004)	option(0.004)	low(0.003)	televis(0.003)	function(0.003)	3d(0.003)	
Topic 5(0.056):	samsung(0.033)	plasma(0.029)	love(0.025)	room(0.022)	lcd(0.017)	panason(0.015)	year(0.015)	great(0.014)	buy(0.013)	soni(0.013)	bought(0.013)	inch(0.012)	led(0.012)	size(0.012)	live(0.011)	hdtv(0.011)	good(0.011)	purchas(0.010)	set(0.010)	better(0.010)	screen(0.009)	best(0.009)	qualiti(0.009)	tvs(0.008)	bedroom(0.008)	replac(0.008)	compar(0.008)	model(0.008)	price(0.007)	perfect(0.007)	lg(0.006)	televis(0.006)	decid(0.006)	sound(0.006)	nice(0.005)	system(0.005)	issu(0.005)	small(0.005)	seri(0.005)	smart(0.005)	hd(0.005)	buzz(0.005)	time(0.005)	nois(0.004)	watch(0.004)	problem(0.004)	lot(0.004)	famili(0.004)	1080p(0.004)	vizio(0.004)	
Topic 6(0.050):	review(0.042)	purchas(0.029)	price(0.025)	buy(0.022)	amazon(0.018)	happi(0.017)	good(0.016)	read(0.015)	bought(0.014)	time(0.014)	store(0.012)	monitor(0.011)	great(0.011)	set(0.011)	best(0.010)	big(0.009)	better(0.008)	qualiti(0.008)	work(0.008)	money(0.008)	hdtv(0.008)	month(0.008)	televis(0.007)	thing(0.007)	year(0.007)	decid(0.007)	star(0.007)	thought(0.007)	order(0.007)	samsung(0.006)	product(0.006)	lot(0.006)	write(0.006)	deal(0.006)	local(0.006)	sale(0.005)	unit(0.005)	bad(0.005)	item(0.005)	comput(0.005)	return(0.005)	recommend(0.005)	brand(0.005)	box(0.005)	updat(0.005)	experi(0.005)	find(0.004)	sound(0.004)	tvs(0.004)	spent(0.004)	
Topic 7(0.034):	set(0.061)	color(0.024)	adjust(0.018)	screen(0.017)	channel(0.015)	bright(0.013)	mode(0.012)	easi(0.012)	chang(0.012)	time(0.011)	turn(0.011)	menu(0.010)	sound(0.009)	contrast(0.008)	good(0.008)	great(0.008)	imag(0.007)	option(0.007)	watch(0.007)	box(0.007)	movi(0.006)	qualiti(0.006)	light(0.006)	work(0.006)	black(0.006)	setup(0.005)	tweak(0.005)	notic(0.005)	featur(0.005)	display(0.005)	manual(0.005)	problem(0.005)	standard(0.005)	tone(0.005)	dark(0.005)	dim(0.005)	cabl(0.005)	zoom(0.005)	perfect(0.005)	sharp(0.005)	bit(0.004)	pixel(0.004)	thing(0.004)	default(0.004)	room(0.004)	clear(0.004)	lot(0.004)	hd(0.004)	bar(0.004)	issu(0.004)	
Topic 8(0.047):	samsung(0.037)	call(0.036)	servic(0.029)	problem(0.025)	custom(0.020)	repair(0.020)	replac(0.019)	support(0.018)	issu(0.017)	day(0.015)	told(0.014)	week(0.013)	amazon(0.013)	set(0.012)	tech(0.011)	return(0.011)	contact(0.011)	time(0.010)	help(0.009)	warranti(0.009)	work(0.009)	phone(0.008)	updat(0.008)	hour(0.008)	wait(0.008)	send(0.008)	vizio(0.007)	number(0.006)	final(0.006)	ship(0.006)	purchas(0.006)	month(0.005)	receiv(0.005)	order(0.005)	board(0.005)	cost(0.005)	model(0.005)	firmwar(0.005)	panel(0.005)	power(0.005)	technician(0.004)	defect(0.004)	email(0.004)	refund(0.004)	rep(0.004)	remot(0.004)	exchang(0.004)	soni(0.004)	panason(0.004)	lg(0.004)	
Topic 9(0.055):	hdmi(0.039)	cabl(0.031)	audio(0.024)	input(0.021)	connect(0.020)	port(0.018)	work(0.015)	sound(0.014)	video(0.012)	hook(0.012)	speaker(0.011)	hd(0.011)	dvd(0.010)	channel(0.010)	set(0.010)	box(0.009)	player(0.009)	output(0.009)	compon(0.009)	digit(0.009)	usb(0.008)	receiv(0.008)	problem(0.008)	play(0.008)	great(0.008)	system(0.007)	pc(0.007)	extern(0.007)	qualiti(0.007)	signal(0.006)	comput(0.006)	samsung(0.006)	plug(0.006)	good(0.005)	watch(0.005)	sourc(0.005)	optic(0.005)	monitor(0.005)	rca(0.005)	vga(0.005)	jack(0.005)	analog(0.005)	issu(0.005)	antenna(0.004)	support(0.004)	devic(0.004)	remot(0.004)	option(0.004)	file(0.004)	headphon(0.004)	
Topic 10(0.137):	app(0.079)	work(0.041)	watch(0.040)	kindl(0.030)	great(0.025)	xfiniti(0.020)	fire(0.019)	download(0.018)	movi(0.016)	time(0.015)	comcast(0.015)	good(0.015)	hd(0.011)	play(0.010)	channel(0.010)	program(0.010)	love(0.009)	live(0.008)	freez(0.008)	cabl(0.007)	netflix(0.007)	lot(0.007)	video(0.007)	buffer(0.006)	stream(0.006)	player(0.006)	demand(0.006)	commerci(0.006)	nice(0.005)	favorit(0.005)	free(0.005)	problem(0.005)	start(0.005)	devic(0.005)	view(0.005)	episod(0.005)	network(0.005)	issu(0.005)	content(0.005)	star(0.005)	fine(0.005)	find(0.004)	load(0.004)	enjoy(0.004)	servic(0.004)	limit(0.004)	updat(0.004)	pay(0.004)	volum(0.004)	disappoint(0.004)	
