kitkat	1	2	2	7	6	1	2	2	9	6
microusb	2	3	1	5	7	2	3	1	6	7
report	5	2	1	1	9	6	2	1	1	9
lighter	0	0	2	2	14	0	0	2	2	14
biggest	5	2	2	4	6	5	2	2	4	6
builtin	2	2	1	4	10	2	2	1	4	13
pros	6	2	0	3	8	6	2	0	3	8
compact	3	2	2	7	5	3	2	2	7	5
adequ	3	1	3	5	7	4	1	3	5	7
background	3	2	0	9	5	3	2	0	10	6
depend	0	1	1	5	12	0	1	1	5	13
opinion	3	0	1	2	13	3	0	1	2	13
weird	6	2	4	4	3	6	2	4	4	3
dongl	2	1	3	4	9	2	2	3	4	9
imposs	6	3	5	4	1	6	4	5	6	1
automat	1	0	2	8	8	1	0	2	8	8
forev	6	1	4	3	5	6	1	4	3	5
copi	2	4	2	3	8	2	4	2	3	10
outstand	0	0	1	5	13	0	0	1	7	13
larger	1	1	1	4	12	1	1	1	5	12
wake	7	6	1	3	2	11	8	1	3	2
wast	10	3	2	1	3	10	3	2	1	3
cream	2	2	4	2	9	2	2	4	3	10
task	1	1	4	6	7	1	1	4	6	8
true	2	1	3	3	10	2	1	3	3	10
wonder	3	1	3	6	6	3	1	3	6	7
smaller	1	3	1	3	11	1	3	1	3	12
air	2	0	2	2	13	2	0	2	3	15
resolv	5	3	5	1	5	5	5	6	1	5
worri	3	1	1	4	10	3	1	1	4	10
idea	4	2	1	5	7	4	2	1	5	7
room	3	1	2	2	12	3	1	3	2	12
virtual	4	2	4	1	9	5	2	4	1	11
1gb	3	1	2	6	8	4	1	2	6	10
loos	3	5	2	9	1	3	5	2	9	1
lose	3	1	4	7	5	3	1	5	8	5
extend	0	2	1	7	10	0	2	1	7	11
activ	3	2	3	5	7	4	2	4	5	7
ip	1	2	0	5	12	1	2	0	6	14
choic	5	1	2	5	7	5	1	2	5	7
school	4	0	1	7	8	5	0	1	7	8
general	2	3	2	3	10	2	4	3	3	10
clean	3	3	3	1	10	3	3	3	1	10
dollar	6	2	2	6	4	6	2	2	8	4
snappi	2	1	1	6	10	2	1	1	6	10
decid	5	4	4	0	7	5	4	4	0	7
bug	0	3	4	5	8	0	3	5	6	8
matter	4	2	2	6	7	4	2	2	6	7
jelli	1	0	2	11	7	3	0	2	12	8
unrespons	15	3	2	1	0	15	4	2	1	0
ebook	0	2	2	6	11	0	3	2	6	12
seller	10	3	1	3	4	12	3	1	4	5
wors	3	6	6	2	4	3	6	6	2	4
fan	2	1	3	8	7	2	2	3	8	10
older	1	3	1	8	8	1	4	1	9	8
win	2	1	1	6	11	3	1	3	10	17
blue	3	3	5	3	7	4	3	5	3	7
wall	3	2	3	5	8	4	2	5	5	8
travel	5	1	1	5	9	7	1	1	5	9
generat	4	1	2	5	9	4	2	3	5	10
hot	7	3	2	3	6	7	3	2	3	7
talk	5	1	2	5	8	5	1	3	6	9
reliabl	7	2	3	5	4	8	2	3	6	5
spen	1	1	1	4	14	1	1	3	6	18
initi	4	4	0	7	6	4	5	0	7	6
daughter	4	1	5	6	5	4	1	8	7	5
rest	5	0	2	4	10	5	0	2	4	10
posit	4	1	2	7	7	4	1	2	10	7
chrome	6	0	6	5	4	7	0	6	7	4
adjust	1	1	1	8	10	1	1	1	8	10
stereo	1	1	0	6	13	1	1	0	9	14
