Doc ID, Source, SentenceIndex, ActualSentiment, PredictedSentiment
0,2,0,0,1
0,2,1,1,0
0,2,2,1,0
1,2,0,0,0
1,2,1,0,0
2,2,0,0,0
2,2,1,1,1
3,2,0,0,0
3,2,1,0,0
3,2,2,0,0
3,2,3,1,0
3,2,4,1,0
3,2,5,1,1
4,2,0,0,0
4,2,1,0,0
4,2,2,1,0
4,2,3,1,0
5,2,0,0,0
5,2,1,0,0
5,2,2,0,0
5,2,3,1,0
5,2,4,1,0
6,2,0,0,0
6,2,1,0,0
6,2,2,0,0
6,2,3,0,0
6,2,4,0,0
6,2,5,1,1
6,2,6,1,1
6,2,7,1,1
7,2,0,0,1
7,2,1,0,1
7,2,2,0,1
7,2,3,0,1
7,2,4,0,1
7,2,5,0,1
7,2,6,1,0
7,2,7,1,0
8,2,0,1,1
8,2,1,1,1
8,2,2,1,1
8,2,3,1,1
8,2,4,1,1
9,2,0,1,1
9,2,1,1,1
10,2,0,0,0
10,2,1,1,1
11,2,0,0,0
11,2,1,1,1
11,2,2,1,1
11,2,3,1,1
11,2,4,1,1
11,2,5,1,1
11,2,6,1,1
12,2,0,0,0
12,2,1,0,0
12,2,2,0,0
12,2,3,0,0
12,2,4,0,0
12,2,5,0,0
12,2,6,1,0
12,2,7,1,0
12,2,8,1,1
12,2,9,1,1
12,2,10,1,1
12,2,11,1,1
12,2,12,1,1
12,2,13,1,1
13,2,0,0,0
13,2,1,1,1
13,2,2,1,1
14,2,0,0,0
14,2,1,1,1
15,2,0,0,0
15,2,1,0,0
15,2,2,0,0
15,2,3,0,0
15,2,4,1,1
15,2,5,1,1
15,2,6,1,1
15,2,7,1,1
15,2,8,1,1
16,2,0,0,1
16,2,1,0,1
16,2,2,0,1
16,2,3,0,1
16,2,4,0,0
16,2,5,1,0
16,2,6,1,0
16,2,7,1,0
17,2,0,0,0
17,2,1,0,0
17,2,2,0,0
17,2,3,0,0
17,2,4,0,0
17,2,5,1,1
17,2,6,1,1
17,2,7,1,1
18,2,0,0,0
18,2,1,0,0
18,2,2,0,0
18,2,3,1,1
18,2,4,1,1
18,2,5,1,1
18,2,6,1,1
19,2,0,0,0
19,2,1,0,0
19,2,2,0,0
19,2,3,0,0
19,2,4,1,0
19,2,5,1,1
19,2,6,1,1
19,2,7,1,1
19,2,8,1,1
20,2,0,0,0
20,2,1,0,0
20,2,2,0,0
20,2,3,0,0
20,2,4,0,0
20,2,5,0,0
20,2,6,0,0
20,2,7,0,0
20,2,8,1,1
21,2,0,0,0
21,2,1,1,0
21,2,2,1,1
21,2,3,1,1
21,2,4,1,1
21,2,5,1,1
21,2,6,1,1
21,2,7,1,1
21,2,8,1,1
22,2,0,0,0
22,2,1,0,0
22,2,2,0,0
22,2,3,0,0
22,2,4,0,0
22,2,5,0,0
22,2,6,0,0
22,2,7,0,0
22,2,8,0,0
22,2,9,0,0
22,2,10,1,0
22,2,11,1,0
22,2,12,1,1
22,2,13,1,1
22,2,14,1,1
22,2,15,1,1
22,2,16,1,1
22,2,17,1,1
22,2,18,1,1
22,2,19,1,1
23,2,0,0,0
23,2,1,1,1
23,2,2,1,1
24,2,0,0,0
24,2,1,1,1
24,2,2,1,1
24,2,3,1,1
25,2,0,0,0
25,2,1,1,1
25,2,2,1,1
25,2,3,1,1
26,2,0,0,0
26,2,1,0,0
26,2,2,1,1
26,2,3,1,1
26,2,4,1,1
26,2,5,1,1
27,2,0,0,0
27,2,1,1,1
27,2,2,1,1
27,2,3,1,1
28,2,0,0,0
28,2,1,1,1
28,2,2,1,1
29,2,0,0,0
29,2,1,1,1
29,2,2,1,1
29,2,3,1,1
29,2,4,1,1
29,2,5,1,1
29,2,6,1,1
29,2,7,1,1
29,2,8,1,1
29,2,9,1,1
29,2,10,1,1
29,2,11,1,1
29,2,12,1,1
29,2,13,1,1
29,2,14,1,1
29,2,15,1,1
29,2,16,1,1
29,2,17,1,1
29,2,18,1,1
29,2,19,1,1
29,2,20,1,1
30,2,0,0,0
30,2,1,1,1
31,2,0,0,1
31,2,1,0,0
31,2,2,0,0
31,2,3,0,0
31,2,4,0,1
31,2,5,0,1
31,2,6,1,1
31,2,7,1,1
31,2,8,1,1
31,2,9,1,1
31,2,10,1,1
31,2,11,1,1
31,2,12,1,1
31,2,13,1,1
31,2,14,1,1
31,2,15,1,1
31,2,16,1,1
31,2,17,1,1
31,2,18,1,1
31,2,19,1,1
31,2,20,1,1
31,2,21,1,1
32,2,0,0,0
32,2,1,0,0
32,2,2,1,1
33,2,0,0,0
33,2,1,0,0
33,2,2,0,0
33,2,3,1,1
33,2,4,1,1
34,2,0,0,0
34,2,1,0,0
34,2,2,0,0
34,2,3,1,0
34,2,4,1,1
34,2,5,1,1
34,2,6,1,1
34,2,7,1,1
34,2,8,1,1
34,2,9,1,1
34,2,10,1,1
34,2,11,1,1
34,2,12,1,1
34,2,13,1,1
35,2,0,0,0
35,2,1,0,0
35,2,2,0,0
35,2,3,1,0
