Topic 0(0.013):	screen(0.026)	great(0.026)	good(0.026)	size(0.026)	respons(0.026)	resolut(0.025)	touch(0.025)	clear(0.025)	love(0.025)	color(0.024)	view(0.024)	small(0.024)	bright(0.024)	beauti(0.023)	nice(0.023)	button(0.023)	hd(0.023)	inch(0.023)	scratch(0.023)	finger(0.023)	sensit(0.022)	glass(0.022)	angl(0.022)	best(0.022)	larger(0.021)	recommend(0.021)	perfect(0.021)	happi(0.021)	excel(0.021)	bigger(0.021)	worth(0.020)	awesom(0.020)	amaz(0.020)	impress(0.020)	correct(0.019)	glad(0.019)	posit(0.019)	fantast(0.019)	fun(0.019)	comfort(0.019)	satisfi(0.019)	favorit(0.019)	qualiti(0.000)	display(0.000)	light(0.000)	reason(0.000)	experi(0.000)	box(0.000)	hope(0.000)	bit(0.000)	
Topic 1(0.013):	work(0.024)	good(0.024)	app(0.024)	play(0.024)	web(0.024)	great(0.024)	download(0.024)	load(0.024)	read(0.024)	email(0.024)	game(0.024)	instal(0.023)	book(0.023)	market(0.023)	free(0.023)	love(0.023)	os(0.023)	browser(0.023)	store(0.023)	brows(0.022)	access(0.022)	music(0.022)	netflix(0.022)	file(0.022)	nice(0.021)	facebook(0.020)	best(0.020)	develop(0.020)	recommend(0.020)	perfect(0.019)	happi(0.019)	worth(0.019)	excel(0.019)	amaz(0.019)	awesom(0.019)	impress(0.018)	fun(0.018)	fantast(0.018)	posit(0.018)	correct(0.018)	glad(0.018)	satisfi(0.018)	comfort(0.018)	favorit(0.018)	camera(0.000)	allow(0.000)	hope(0.000)	travel(0.000)	touch(0.000)	includ(0.000)	
Topic 2(0.013):	bought(0.042)	great(0.041)	purchas(0.040)	price(0.040)	good(0.039)	year(0.038)	christma(0.038)	love(0.038)	gift(0.037)	daughter(0.035)	nice(0.034)	best(0.031)	recommend(0.031)	perfect(0.030)	excel(0.029)	happi(0.029)	worth(0.029)	awesom(0.028)	amaz(0.028)	impress(0.027)	fun(0.027)	fantast(0.027)	glad(0.027)	posit(0.027)	satisfi(0.027)	correct(0.027)	favorit(0.026)	comfort(0.026)	reason(0.000)	display(0.000)	feel(0.000)	big(0.000)	better(0.000)	electron(0.000)	stuff(0.000)	learn(0.000)	sold(0.000)	money(0.000)	market(0.000)	solid(0.000)	enjoy(0.000)	receiv(0.000)	lag(0.000)	find(0.000)	kid(0.000)	speaker(0.000)	drop(0.000)	cheap(0.000)	knew(0.000)	compani(0.000)	
Topic 3(0.013):	great(0.029)	good(0.029)	day(0.029)	long(0.028)	batteri(0.028)	power(0.028)	charg(0.028)	life(0.027)	hour(0.027)	replac(0.027)	love(0.027)	plug(0.026)	charger(0.026)	port(0.026)	longer(0.026)	nice(0.026)	fulli(0.024)	cord(0.024)	cabl(0.024)	best(0.024)	drain(0.023)	hdmi(0.023)	recommend(0.023)	perfect(0.023)	happi(0.023)	excel(0.022)	worth(0.022)	awesom(0.022)	amaz(0.022)	impress(0.021)	fantast(0.021)	fun(0.021)	correct(0.021)	posit(0.021)	glad(0.021)	satisfi(0.021)	comfort(0.021)	favorit(0.021)	lot(0.000)	size(0.000)	work(0.000)	month(0.000)	spent(0.000)	break(0.000)	mine(0.000)	guess(0.000)	dead(0.000)	ago(0.000)	allow(0.000)	case(0.000)	
Topic 4(0.012):	great(0.043)	good(0.042)	sound(0.041)	speaker(0.039)	love(0.038)	nice(0.036)	volum(0.034)	best(0.032)	recommend(0.032)	audio(0.032)	headphon(0.032)	hear(0.031)	perfect(0.031)	loud(0.031)	happi(0.030)	excel(0.030)	worth(0.030)	amaz(0.030)	awesom(0.029)	impress(0.028)	fun(0.028)	fantast(0.028)	posit(0.028)	glad(0.028)	correct(0.028)	comfort(0.027)	favorit(0.027)	satisfi(0.027)	bit(0.000)	weight(0.000)	nt(0.000)	difficult(0.000)	guess(0.000)	batteri(0.000)	better(0.000)	wonder(0.000)	expens(0.000)	perform(0.000)	exact(0.000)	screen(0.000)	find(0.000)	order(0.000)	fine(0.000)	wait(0.000)	constant(0.000)	releas(0.000)	review(0.000)	definit(0.000)	manufactur(0.000)	coupl(0.000)	
Topic 5(0.013):	camera(0.040)	qualiti(0.039)	great(0.038)	good(0.038)	pictur(0.036)	love(0.036)	video(0.035)	front(0.033)	nice(0.033)	build(0.032)	face(0.030)	best(0.030)	skype(0.030)	recommend(0.030)	perfect(0.028)	rear(0.028)	happi(0.028)	excel(0.028)	worth(0.028)	amaz(0.027)	awesom(0.027)	impress(0.026)	fantast(0.026)	fun(0.026)	posit(0.026)	glad(0.026)	satisfi(0.025)	correct(0.025)	comfort(0.025)	favorit(0.025)	respons(0.000)	size(0.000)	decid(0.000)	beauti(0.000)	side(0.000)	fine(0.000)	search(0.000)	view(0.000)	friend(0.000)	requir(0.000)	arriv(0.000)	decent(0.000)	help(0.000)	design(0.000)	thought(0.000)	learn(0.000)	bright(0.000)	function(0.000)	enjoy(0.000)	faster(0.000)	
Topic 6(0.012):	great(0.039)	good(0.038)	love(0.036)	processor(0.036)	speed(0.035)	nice(0.034)	ram(0.033)	faster(0.033)	core(0.032)	best(0.031)	handl(0.031)	recommend(0.030)	cpu(0.030)	quad(0.029)	perfect(0.029)	happi(0.029)	dual(0.028)	excel(0.028)	worth(0.028)	awesom(0.028)	amaz(0.028)	impress(0.027)	fun(0.026)	posit(0.026)	glad(0.026)	fantast(0.026)	correct(0.026)	satisfi(0.026)	favorit(0.026)	comfort(0.026)	portabl(0.000)	wife(0.000)	pick(0.000)	spec(0.000)	spend(0.000)	respons(0.000)	extrem(0.000)	easier(0.000)	enjoy(0.000)	choos(0.000)	better(0.000)	case(0.000)	major(0.000)	money(0.000)	defect(0.000)	ipad(0.000)	real(0.000)	opinion(0.000)	definit(0.000)	receiv(0.000)	
Topic 7(0.012):	card(0.034)	great(0.032)	memori(0.032)	good(0.032)	sd(0.032)	storag(0.031)	love(0.030)	micro(0.029)	gb(0.029)	slot(0.029)	nice(0.028)	32gb(0.027)	intern(0.026)	best(0.026)	microsd(0.026)	recommend(0.026)	16gb(0.025)	expand(0.025)	perfect(0.025)	excel(0.025)	recogn(0.025)	stick(0.025)	happi(0.024)	worth(0.024)	awesom(0.024)	amaz(0.024)	impress(0.023)	correct(0.023)	fantast(0.023)	posit(0.023)	glad(0.023)	satisfi(0.023)	fun(0.023)	favorit(0.022)	comfort(0.022)	simpl(0.000)	display(0.000)	comput(0.000)	respons(0.000)	save(0.000)	close(0.000)	buy(0.000)	day(0.000)	fine(0.000)	manag(0.000)	lag(0.000)	replac(0.000)	beat(0.000)	play(0.000)	better(0.000)	
Topic 8(0.012):	great(0.039)	good(0.038)	wifi(0.037)	connect(0.037)	internet(0.036)	love(0.035)	nice(0.033)	wireless(0.032)	surf(0.031)	network(0.031)	best(0.031)	mobil(0.030)	recommend(0.030)	perfect(0.029)	happi(0.029)	router(0.028)	signal(0.028)	excel(0.028)	worth(0.028)	awesom(0.028)	amaz(0.027)	impress(0.027)	fantast(0.026)	posit(0.026)	glad(0.026)	fun(0.026)	correct(0.026)	satisfi(0.026)	favorit(0.026)	comfort(0.026)	high(0.000)	star(0.000)	nt(0.000)	annoy(0.000)	deal(0.000)	sale(0.000)	price(0.000)	weight(0.000)	chang(0.000)	perform(0.000)	easili(0.000)	hope(0.000)	color(0.000)	respond(0.000)	real(0.000)	base(0.000)	app(0.000)	product(0.000)	googl(0.000)	broke(0.000)	
Topic 9(0.012):	great(0.046)	good(0.045)	keyboard(0.044)	love(0.043)	type(0.039)	nice(0.038)	dock(0.037)	transform(0.035)	best(0.035)	recommend(0.034)	prime(0.034)	perfect(0.033)	happi(0.032)	excel(0.032)	awesom(0.032)	worth(0.032)	amaz(0.031)	impress(0.030)	fun(0.029)	fantast(0.029)	posit(0.029)	correct(0.029)	glad(0.029)	satisfi(0.029)	comfort(0.029)	favorit(0.029)	surpris(0.000)	final(0.000)	big(0.000)	month(0.000)	app(0.000)	nt(0.000)	compar(0.000)	famili(0.000)	respons(0.000)	watch(0.000)	wife(0.000)	check(0.000)	job(0.000)	notic(0.000)	period(0.000)	read(0.000)	coupl(0.000)	school(0.000)	time(0.000)	help(0.000)	decid(0.000)	start(0.000)	mention(0.000)	lot(0.000)	
Topic 10(0.012):	great(0.051)	good(0.050)	love(0.047)	tab(0.045)	bluetooth(0.041)	nice(0.041)	best(0.038)	busi(0.038)	recommend(0.037)	perfect(0.035)	happi(0.035)	excel(0.034)	worth(0.034)	awesom(0.034)	amaz(0.033)	impress(0.032)	fun(0.031)	fantast(0.031)	glad(0.031)	posit(0.031)	satisfi(0.031)	correct(0.031)	comfort(0.031)	favorit(0.031)	easi(0.000)	long(0.000)	extrem(0.000)	bit(0.000)	coupl(0.000)	bought(0.000)	basic(0.000)	remov(0.000)	size(0.000)	cover(0.000)	thing(0.000)	download(0.000)	star(0.000)	lag(0.000)	turn(0.000)	cheaper(0.000)	search(0.000)	softwar(0.000)	warranti(0.000)	wonder(0.000)	pad(0.000)	email(0.000)	portabl(0.000)	dead(0.000)	amazon(0.000)	weight(0.000)	
