ipad	4	5	2	4	4	6	6	2	5	4
mistak	5	7	1	5	2	6	9	1	5	2
pleasant	1	1	1	11	6	1	1	1	11	6
floor	2	1	3	8	6	7	1	3	8	7
sad	7	2	5	3	3	9	2	7	4	3
faulti	9	4	3	3	1	12	4	4	3	2
chat	2	4	6	3	5	2	5	7	4	5
lucki	6	6	2	3	3	6	6	3	3	3
forum	3	5	2	6	4	3	5	2	7	6
moment	4	3	4	6	3	4	3	4	7	3
factor	0	2	5	5	8	0	2	5	5	9
lan	0	3	2	8	7	0	5	2	9	8
virtual	3	1	3	3	10	4	1	3	4	13
static	4	2	7	6	1	5	2	8	6	1
lit	2	2	2	7	7	7	2	3	10	8
vudu	2	3	4	8	3	2	4	4	11	8
breaker	1	0	5	8	6	1	0	6	8	7
rock	2	1	1	6	11	2	1	1	6	11
favor	3	5	4	5	4	3	5	4	6	4
pass	4	2	3	6	6	5	2	4	8	6
latest	3	7	6	2	3	3	9	8	2	3
block	3	3	6	5	4	4	3	6	6	4
tinni	1	2	4	7	7	1	2	4	7	8
gift	4	3	2	4	7	6	4	2	5	7
style	1	1	5	7	7	1	1	5	7	7
profil	1	0	3	12	5	1	0	3	14	5
assembl	3	1	3	6	8	4	1	4	8	8
uninstal	11	6	3	0	1	13	6	3	0	1
sweet	0	2	0	6	13	0	2	0	6	14
budget	0	1	3	8	9	0	1	3	9	9
stock	3	0	4	5	9	3	0	5	5	12
rear	2	2	1	8	8	2	2	1	10	9
awar	2	2	8	6	3	2	3	9	7	3
artifact	1	3	5	9	3	1	3	5	9	3
hesit	1	1	1	8	10	1	3	1	9	10
invest	0	2	6	6	7	0	2	6	6	8
vibrant	0	2	1	4	14	0	3	1	4	16
pro	1	2	3	5	10	1	2	3	6	12
reinstal	9	7	5	0	0	9	10	5	0	0
sturdi	1	0	1	8	11	1	0	1	8	12
comfort	1	1	0	6	13	2	1	0	6	18
bang	1	0	2	7	11	1	0	2	7	12
carri	3	0	3	5	10	3	0	4	7	11
tast	0	2	2	7	10	0	2	2	7	10
man	3	2	3	2	11	3	2	3	3	11
loos	2	5	4	6	5	2	5	4	7	6
memori	0	8	7	1	6	0	10	8	1	6
dumb	3	10	6	2	1	3	12	9	2	1
dual	0	0	3	8	11	0	0	4	11	11
coax	3	2	3	7	7	3	2	3	9	7
cobi	10	5	3	4	0	21	22	3	6	0
respond	6	4	2	7	3	6	5	3	8	3
blame	5	4	4	8	1	6	4	4	8	1
dlp	1	1	2	8	10	1	2	2	15	13
joke	10	3	2	4	3	12	3	2	4	3
cycl	4	9	4	3	2	4	9	6	4	2
offic	4	2	4	3	9	5	2	6	3	13
dish	3	5	2	5	7	5	6	2	7	7
rid	3	5	6	2	6	3	5	6	2	6
crack	8	4	0	4	6	8	4	0	4	6
pic	2	0	4	4	12	2	0	4	4	16
secur	3	6	4	5	4	3	8	4	5	5
movement	4	5	3	5	5	4	5	3	5	5
playback	5	8	6	2	1	5	11	7	4	1
intend	1	4	5	6	6	1	5	5	7	6
distract	6	1	5	6	4	6	1	5	6	5
onscreen	0	4	2	8	8	0	6	2	8	8
max	2	3	4	5	8	3	3	4	5	10
shape	2	2	1	6	11	3	2	1	6	12
profession	0	5	5	8	5	0	6	5	9	5
project	0	3	3	11	6	0	3	3	12	6
blown	2	1	3	6	11	3	1	3	6	12
owner	4	6	2	6	5	6	7	2	6	5
driver	2	3	2	10	6	4	5	3	15	9
advic	5	9	3	3	3	5	10	3	4	3
film	5	4	1	5	8	13	4	1	8	12
fill	6	0	3	8	6	6	0	3	10	7
settl	1	1	5	8	8	1	1	5	9	8
develop	8	5	3	2	5	9	7	3	2	6
tax	4	0	1	8	10	4	0	1	8	10
expir	13	3	2	3	1	13	3	2	3	1
opera	1	3	3	13	3	1	4	4	19	6
morn	3	7	3	3	7	3	8	3	3	7
repeat	8	6	4	4	1	8	7	4	4	1
scan	2	2	6	8	5	6	2	8	11	5
typic	2	3	4	6	8	2	3	4	6	8
releas	9	5	3	2	4	11	7	3	2	6
stick	8	2	2	4	7	10	2	4	4	7
increas	2	3	4	8	6	2	3	4	8	7
catch	6	3	7	3	4	8	3	7	4	5
advantag	0	1	7	4	12	0	1	8	4	12
subscript	6	9	5	0	4	6	10	6	0	4
forget	2	10	7	2	3	2	12	7	2	3
delay	0	3	6	8	7	0	3	8	10	7
track	4	1	3	11	5	12	1	3	13	7
logo	5	5	6	4	4	6	7	8	4	4
dvds	1	3	1	8	11	1	3	1	9	12
attract	0	3	7	3	11	0	3	7	3	11
tilt	1	1	2	11	9	1	2	3	12	9
graphic	2	4	6	5	7	4	4	8	7	7
crt	1	4	4	5	10	1	5	4	7	12
terrif	1	1	6	5	11	1	1	6	5	13
blurri	4	5	4	10	1	4	5	4	10	1
trust	7	2	3	4	8	7	2	4	5	8
heat	0	3	5	3	13	0	4	6	5	14
