Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1543,2,0,"light weight  good response time.",0,0,4,1.000000,1.000000
1543,2,1,"so far no problems.",0,1,26,0.592108,0.133108
1543,2,2,"the proprietary usb port is a bit sketchy so if you connect it to your computer to retrieve files  best to not touch the tablet during the process or the cable might come loose.",1,1,26,0.653956,0.197712
1543,2,3,"seems to have very slow usb transfer rate too.",1,1,26,0.442159,0.142299
1543,2,4,"tablet cannot be reasonably charged off a computer usb port.",1,1,26,0.342814,0.085853
1543,2,5,"while it will charge it slowly  it is a very slow process and it ll take days to get a full charge.",1,1,26,0.225287,0.042875
1555,2,0,"the size of this tablet is perfect i think.",0,0,9,1.000000,1.000000
1555,2,1,"i installed launcher pro which allows many options.you can set backgrounds through quickpic and several other options.",0,0,9,0.599997,0.128345
1555,2,2,"i find this is perfect as a e reader and the wifi is flawless 99  of the time.",0,0,8,0.606673,0.133108
1555,2,3,"i enjoy it very much for the price.",0,1,15,0.616229,0.121692
1555,2,4,"i wish a lot more android apps worked on this.",1,1,16,0.633502,0.099364
1555,2,5,"setting a background is a pain getting the resolution right is interesting.",1,1,15,0.642386,0.101255
1568,2,0,"nice display and user friendly.",0,0,12,1.000000,1.000000
1568,2,1,"great price for this.",0,0,2,0.617062,0.095852
1570,2,0,"lightweight  big screen  really fast  except on boot   kindle apps  am azon android store capable.",0,0,7,1.000000,1.000000
1570,2,1,"doesn t recognize jumpdrives  have to use flash storage.",1,0,7,0.598385,0.097684
1570,2,2,"getting android store   different browser took awhile.",1,0,1,0.620801,0.099364
1570,2,3," see youtube ",1,0,1,0.633059,0.101255
1576,2,0,"it has a nice big display and bright backlight.",0,0,0,1.000000,1.000000
1576,2,1,"it s pretty light and sturdy feeling.",0,0,4,0.597528,0.121692
1576,2,2,"is not compatible with google play so many apps are not available for it easily.",1,1,16,0.613601,0.099364
1576,2,3,"the screen resolution is low and the touch response is spotty at times.",1,1,24,0.627290,0.097684
1576,2,4,"can not be updated to android 4.0 can t even seem to get an actual facebook app for it.",1,1,16,0.638505,0.101255
1578,2,0,"lightweight  nice feel  beautiful display  good camera  everything i wanted.",0,0,4,1.000000,1.000000
1578,2,1,"i found the ui to be a bit more sluggish than i expected  even for the low price point.",1,1,21,0.619556,0.130708
1579,2,0,"small with nice assortment of colors to choose from.",0,0,9,1.000000,1.000000
1579,2,1,"it runs most anything google play has to throw so far.",0,0,1,0.590177,0.121692
1579,2,2,"i own an older 10  asus transformer 300 with jellybean 4.2.2 on it as well and this seems to have a slightly different ui  which i like better.",0,1,25,0.601082,0.094051
1579,2,3,"this was a good gift for our 12 year old.",0,1,17,0.603066,0.126244
1579,2,4,"runs youtube without a problem and took a 32gb micro sd easily.",0,1,22,0.615103,0.128345
1579,2,5,"it s a bit thick.",1,1,26,0.616229,0.126244
1579,2,6,"one of our daughters has a 2 year old 7 inch galaxy tab 2 and this is a little thicker than that.",1,1,17,0.629430,0.097684
1579,2,7,"it s still small enough and because it does everything you want... the thickness isn t a huge deal.",1,1,26,0.632342,0.094051
1579,2,8,"the built in sound is a bit lacking but so are most tablets of this size.",1,1,19,0.641103,0.099364
1579,2,9,"get some bluetooth stereo headphones and it kicks.",1,1,19,0.645912,0.101255
1581,2,0,"asus memo pad hd 7 inch 16 gb green tablet is a great tablet for the money.",0,0,10,1.000000,1.000000
1581,2,1,"this tablet has a beautiful display  7 inches  and displays images at 1280 x 800 pixels  800p .",0,0,0,0.590078,0.121692
1581,2,2,"the tablet has 170 degree wide viewing angles.",0,0,0,0.593864,0.103178
1581,2,3,"text looks sharper  colors are more vivid  and games stand out.",0,0,0,0.606706,0.099364
1581,2,4,"memo pa hd 7 has a 5 mp megapixel  autofocus rear camera with 100 picture continuous burst shooting and 1080p video recording.",0,0,5,0.653714,0.161463
1581,2,5,"this tablet also has a 1.2 mp front camera.",0,0,5,0.237778,0.033393
1581,2,6,"two of the programs that i liked that comes with this tablet are mypainter and asus studio.",0,0,10,0.663628,0.153396
1581,2,7,"mypainter allows you to demonstrate your artistic skills  while asus studio lets you manage your photos.",0,0,10,0.171404,0.025406
1581,2,8,"i have listed some more specifications that i considered important for this tablet.",0,0,10,0.632242,0.097684
1581,2,9,"they are as follows     operating system   android 4.1 jelly bean   display   7 inch display   processor   quad core 1.2 ghz   memory   16 gb flash memory  1 gb ram memory   number of usb 2.0 ports   1   battery life 10 hour   weight   10.7 ounces   item dimensions   7.7 x 4.7 x 0.4 inches   wi fi  802.11",0,0,6,0.645851,0.103178
1581,2,10,"b g n   thank you for reading my review  if you have any questions feel free to email me  i would be happy to help you with any questions you have.",0,0,13,0.644266,0.130708
1582,2,0,"great value ",0,1,21,1.000000,1.000000
1582,2,1,"fully capable tablet for everything i wanted  internet  games  apps ",0,1,21,0.611956,0.121692
1582,2,2,"sd card is unintentionally removed if body is flexed too much.",1,0,7,0.630059,0.095852
1583,2,0,"received tablet in 1 business day with free shipping.",0,0,13,1.000000,1.000000
1583,2,1,"impressive.",0,0,10,0.590415,0.126244
1583,2,2,"functions well despite mediocre tech website reviews.",0,0,10,0.608792,0.121692
1583,2,3,"for this price range  both front and rear facing cameras and micro sd slot are big pluses over the google nexus.",0,0,5,0.616864,0.097684
1583,2,4,"when buying for girls  the broader color selection is very important.",0,0,2,0.621337,0.103178
1583,2,5,"there s even a matching carrying case which looks like a little clutch purse.",0,0,14,0.634300,0.097684
1583,2,6,"sure to make a little girl happy.",0,0,2,0.641566,0.123950
1585,2,0,"i loved my nexus 7. i loved how i didn t have to deal with the preloaded stuff you get with devices from bigger brands like asus.",0,1,25,1.000000,1.000000
1585,2,1,"the screen was utterly amazing and the device overall felt high quality than other mobile devices i had used.",0,1,25,0.282631,0.036241
1585,2,2,"asus made it.",1,0,13,0.636307,0.194729
1585,2,3,"i ve bought two different tablets from asus and i cannot stand their service.",1,0,13,0.057455,0.013983
1585,2,4,"both tablets broke on my behalf  but each time  i recieved the worst support.",1,0,13,0.613601,0.115107
1585,2,5,"my first tablet arrived pretty much broken  with a dead micro usb port that caved in on first use  and when i tried to get it fixed  because warranties  i basically got the run around  and just said forget it.",1,0,13,0.662739,0.188240
1585,2,6,"with both tablets  they told me that the price to fix a broken screen  i keep breaking screens  would be higher than the tablet s worth.",1,0,4,0.423205,0.060736
1585,2,7,"like  i understand that i broke them  but the support i got in light of this was just terrible.",1,0,13,0.631482,0.133108
1585,2,8,"i have an asus monitor and an asus mobo and these are pretty much going to be the last asus products i ever have.",1,1,25,0.680901,0.188240
1585,2,9,"anyways  i wouldn t reccomend getting this tablet strictly because asus will end up shortsticking you when something goes wrong.",1,1,25,0.040656,0.027295
1587,2,0,"good speed  great screen  works well.",0,1,20,1.000000,1.000000
1587,2,1,"i have never had one of mine fail or get bricked by an update.",0,1,29,0.618559,0.112989
1589,2,0,"fast  very high resolution  and updates to the latest version of android    see  other thoughts .",0,0,6,1.000000,1.000000
1589,2,1,"none of the issues that a few people have reported...so i suspect that the issues are rare.",1,1,23,0.648870,0.153396
1589,2,2,"people are more likely to post a review to complain than to praise.",1,1,23,0.365039,0.080163
1590,2,0,"awesome screen color and definition very fast cpu  well built",0,0,0,1.000000,1.000000
1590,2,1,"cpu heats up sometimes if i have alot of programs running at the same time",1,1,23,0.364908,0.081743
1594,2,0,"runs android 5.1 direct from google.",0,1,16,1.000000,1.000000
1594,2,1,"it only paid 74 dollars for it.",0,1,17,0.589104,0.094051
1594,2,2,"no hardware issues at all.",0,0,7,0.597259,0.097684
