hit	1	1	2	3	9	1	1	2	3	9
general	3	0	0	5	8	3	0	0	6	8
hot	0	1	1	3	11	0	1	1	3	11
cheaper	2	0	1	3	10	2	0	1	3	10
amateur	1	0	1	1	13	1	0	1	1	13
event	0	1	4	3	8	0	1	5	3	8
call	2	0	3	3	8	4	0	3	3	10
reduct	1	0	1	1	13	1	0	1	1	15
weak	0	0	2	4	10	0	0	2	4	10
rock	0	0	0	1	15	0	0	0	1	15
left	1	1	3	2	10	1	1	3	2	10
jpeg	0	0	0	5	12	0	0	0	6	14
flawless	0	0	2	3	12	0	0	2	3	12
final	2	1	2	4	8	2	1	2	4	8
1gb	1	0	1	3	12	1	0	1	3	13
manufactur	5	2	2	5	3	5	2	2	5	3
sleek	1	0	1	7	8	1	0	1	7	8
stun	0	0	0	1	16	0	0	0	1	17
famili	1	0	0	7	9	1	0	0	7	12
choos	1	1	2	1	12	1	1	2	2	14
bring	0	0	0	2	15	0	0	0	2	15
seal	1	0	2	0	14	1	0	2	0	16
proof	0	2	1	3	11	0	2	2	7	19
push	0	0	1	2	14	0	0	1	3	16
kinda	0	0	2	1	14	0	0	2	1	14
pop	1	0	1	4	11	2	0	1	4	12
wash	3	3	2	2	7	3	3	3	2	7
tini	0	2	2	6	7	0	2	3	7	7
steadi	1	0	1	4	11	1	0	1	4	12
fill	1	1	2	2	11	1	1	2	2	11
finger	1	1	0	3	12	1	1	0	3	13
nimh	2	2	2	3	8	7	2	3	3	8
locat	2	3	2	2	8	2	5	2	3	8
rug	0	1	0	4	12	0	1	0	5	12
bag	0	0	0	1	16	0	0	0	1	18
underwat	1	1	0	1	14	2	1	0	1	16
warranti	5	4	1	1	6	7	5	1	1	6
download	2	2	1	4	8	2	3	1	4	10
weather	0	0	2	2	13	0	0	2	2	15
fuzzi	1	2	2	5	8	2	2	2	5	9
serious	1	0	1	1	15	1	0	1	1	17
remot	1	0	3	1	13	1	0	3	1	15
pros	3	0	0	3	12	3	0	0	3	12
mine	1	1	0	3	13	1	1	0	4	13
mention	1	1	2	3	11	1	1	2	3	12
max	0	1	2	2	13	0	1	2	2	17
curv	0	0	1	1	16	0	0	1	1	16
5x	2	1	1	3	11	2	1	1	3	11
email	1	3	1	2	11	1	4	1	2	12
snap	1	2	0	2	13	1	3	0	2	13
repair	9	5	2	0	2	10	6	2	0	2
ago	1	2	2	3	10	1	2	2	3	10
devic	1	1	2	5	9	1	2	2	5	9
complain	0	1	0	3	14	0	1	0	3	14
site	3	0	2	4	9	3	0	2	4	9
check	2	0	2	2	13	2	0	2	2	14
matter	3	3	0	3	10	3	3	0	3	11
inch	1	1	3	1	13	1	1	3	1	14
feet	1	3	2	4	9	1	3	2	4	11
proper	4	1	0	1	13	4	2	0	1	14
improv	1	0	1	3	14	1	0	1	3	16
2gb	0	0	0	3	16	0	0	0	4	16
surpris	1	0	1	3	14	1	0	1	3	14
suck	1	0	1	8	9	1	0	1	8	9
vacat	3	0	0	4	12	3	0	0	5	12
burst	0	0	1	5	13	0	0	1	5	13
lower	2	0	4	1	12	2	0	4	1	14
tv	0	1	2	4	12	0	1	2	4	13
cord	2	1	1	5	10	3	2	1	5	10
port	1	2	2	6	8	1	6	3	8	8
care	1	0	5	2	11	1	0	6	2	11
total	2	0	3	3	11	2	0	3	3	11
regular	0	0	2	3	14	0	0	2	3	14
filter	0	0	2	2	15	0	0	2	2	16
glass	0	0	1	5	14	0	0	2	5	17
three	3	2	0	5	10	5	2	0	5	12
versatil	0	0	0	2	18	0	0	0	2	19
insid	3	2	1	4	10	3	2	1	4	11
appear	5	3	0	4	8	5	3	0	4	8
preset	0	0	0	1	19	0	0	0	1	20
black	1	2	1	2	14	1	2	2	3	14
seri	1	0	1	3	15	1	0	1	3	15
action	0	0	1	3	16	0	0	1	4	16
true	0	1	1	3	15	0	1	1	3	16
fact	1	2	3	2	12	1	2	3	2	13
terribl	8	3	2	2	5	10	4	3	2	5
horribl	7	2	3	1	7	9	2	3	1	8
person	2	1	1	2	14	3	1	1	2	14
save	1	1	1	7	11	1	1	1	9	13
noisi	2	1	4	2	12	3	1	4	2	13
respons	1	1	2	1	16	1	1	2	1	18
inexpens	0	5	6	3	7	0	5	6	4	7
3x	0	1	0	2	18	0	1	0	3	18
firmwar	3	1	2	4	11	4	2	2	5	13
buck	0	0	0	3	18	0	0	0	3	18
portrait	0	0	0	2	19	0	0	0	2	20
bulki	0	1	1	4	15	0	1	1	4	15
sturdi	0	1	1	3	16	0	1	1	3	16
mount	1	1	2	1	16	1	1	4	1	18
useless	2	1	2	8	8	2	1	2	9	8
compat	0	0	0	4	17	0	0	0	8	17
experi	1	0	3	4	13	1	0	3	4	13
10x	1	2	1	2	15	2	3	1	2	21
access	0	0	4	5	12	0	0	6	5	14
lag	1	1	2	5	13	1	2	3	5	14
sport	1	0	2	2	17	1	0	2	2	17
paid	4	1	4	1	12	4	1	4	1	12
slot	1	0	1	2	18	1	0	1	2	21
af	0	0	3	2	17	0	0	5	2	27
finder	1	0	3	5	13	1	0	3	6	17
receiv	3	0	1	4	14	4	0	1	5	19
wait	3	0	4	2	13	3	0	4	2	13
prefer	0	0	0	3	19	0	0	0	3	19
error	6	4	2	2	8	13	7	4	2	10
worri	2	0	4	0	16	2	0	4	0	16
simpli	2	3	0	3	14	2	3	0	3	14
job	0	0	0	7	15	0	0	0	7	16
complet	2	1	1	4	14	2	1	1	4	15
setup	2	1	4	7	8	2	1	6	9	8
proprietari	0	4	0	5	13	0	5	0	5	13
cam	2	1	2	5	12	2	2	3	6	17
half	1	2	2	4	14	1	2	2	4	17
upload	0	1	3	1	18	0	1	3	1	19
olympus	2	1	0	5	15	5	1	0	7	18
top	0	0	1	3	19	0	0	1	3	20
door	1	0	5	2	15	1	0	6	3	18
eat	2	5	2	6	8	2	7	3	9	8
handl	0	2	3	2	16	0	2	3	2	19
fulli	3	0	3	5	12	4	0	3	5	12
window	3	2	1	6	11	5	3	1	6	13
class	0	0	2	3	18	0	0	2	3	18
fun	1	0	0	5	17	1	0	0	6	19
faster	1	1	0	2	19	1	1	0	2	20
plug	2	2	4	2	13	2	2	7	3	13
beginn	0	0	0	4	19	0	0	0	4	19
clariti	1	0	0	3	19	1	0	0	4	19
return	11	3	2	0	7	11	3	2	0	7
film	0	1	0	2	20	0	4	0	2	23
alot	1	0	1	8	13	1	0	1	9	14
decid	1	1	1	3	17	1	2	1	3	19
bigger	1	0	3	5	14	1	0	3	5	14
motion	2	5	4	3	9	2	9	4	3	9
wireless	4	0	6	3	11	5	0	7	3	14
construct	1	0	2	3	18	1	0	2	3	20
spend	1	1	1	2	19	1	1	1	2	19
egg	6	2	2	2	12	6	3	3	2	14
gift	0	0	0	6	18	0	0	0	8	18
direct	2	1	5	3	13	2	1	5	3	14
edit	0	1	1	6	16	0	2	2	6	16
cool	1	2	1	1	19	1	2	1	1	19
blur	3	3	3	5	10	3	3	3	5	10
cours	0	1	2	3	18	0	1	2	3	19
hope	3	1	1	11	8	4	1	1	11	8
crop	0	0	2	3	19	0	0	2	3	21
phone	3	3	2	4	12	4	3	2	5	15
front	1	1	1	7	14	1	2	1	8	18
