rough	4	2	3	6	4	4	2	3	6	4
round	1	5	3	2	8	1	5	4	2	8
dust	2	8	3	1	3	2	8	3	1	3
buggi	8	1	2	4	4	12	1	2	4	4
logo	6	4	4	1	4	8	4	4	1	4
happier	1	2	3	3	10	1	2	3	3	10
teenag	3	0	1	6	9	3	0	1	8	11
desktop	2	2	3	6	6	2	2	3	7	8
alright	2	3	12	0	2	2	3	13	0	2
cloud	1	1	3	7	7	1	1	3	8	7
stereo	3	5	3	6	2	3	6	3	6	3
plain	3	2	5	2	7	3	2	5	2	8
equal	1	2	5	7	4	1	2	5	7	5
meant	3	3	5	4	4	3	3	5	4	4
podcast	1	4	2	9	3	1	5	5	11	3
discount	4	3	3	2	6	4	3	3	2	6
feet	2	5	7	5	0	2	7	7	5	0
andor	3	2	3	5	6	3	2	3	5	6
wrote	6	4	2	3	2	7	5	2	3	2
town	3	4	5	6	1	3	4	6	6	1
method	5	2	3	6	3	6	2	3	6	3
nail	2	3	6	3	4	2	3	6	3	6
produc	4	1	6	3	5	5	1	6	3	5
offici	3	6	2	5	3	5	6	2	5	3
dozen	6	3	3	5	2	6	4	3	5	2
mediocr	2	6	5	3	3	2	6	6	4	3
remot	4	5	5	1	4	4	5	5	1	4
expir	10	5	4	1	0	10	5	4	1	0
static	6	8	2	1	3	8	10	3	1	3
appli	2	4	4	7	3	2	5	4	8	3
ic	2	4	1	4	9	2	4	1	6	10
hey	2	1	2	10	4	2	1	2	10	4
bean	1	1	2	11	5	1	1	2	12	5
dislik	3	0	4	6	7	3	0	5	6	7
zone	3	4	8	2	3	3	4	8	2	3
ideal	1	3	6	6	4	1	3	6	6	4
breaker	3	0	4	6	7	4	0	4	6	8
nonexist	5	4	3	3	5	6	4	3	3	5
opt	1	4	10	2	3	1	4	10	2	3
pda	1	2	4	7	5	1	2	6	7	6
dissapoint	7	9	4	0	0	9	10	4	0	0
hesit	2	1	1	10	6	2	1	1	10	6
favor	10	3	4	2	0	10	3	4	2	0
fluid	0	3	2	7	8	0	3	2	8	8
gorgeous	0	2	4	2	12	0	2	4	2	12
toy	4	4	5	6	0	6	5	5	6	0
moment	3	1	5	5	5	3	1	5	5	5
fingerprint	6	0	4	6	4	7	0	5	7	4
outdoor	0	2	7	4	6	0	2	8	5	9
balanc	2	4	5	4	5	3	5	5	5	5
hell	7	2	0	2	8	7	2	0	2	8
seri	3	3	3	4	6	3	3	3	5	6
channel	1	1	4	4	10	1	1	4	4	10
fals	11	4	4	0	0	12	4	4	0	0
predict	1	2	7	7	3	1	2	7	9	3
disappear	6	2	6	3	3	7	2	8	3	3
breez	0	1	1	3	15	0	1	1	3	16
calcul	0	3	6	8	2	0	3	6	10	2
seamless	1	1	3	9	6	1	1	4	10	6
spare	1	2	3	8	6	1	2	3	8	6
consist	2	2	4	7	5	3	4	5	8	5
event	3	3	2	9	3	3	10	2	9	4
angri	5	2	4	6	2	5	2	4	6	4
deep	1	4	4	8	2	1	4	4	9	2
cam	0	0	4	4	9	0	0	5	5	10
shoot	2	4	2	6	6	2	4	2	9	7
hspa	1	0	6	6	8	1	0	6	8	9
status	5	7	3	4	2	5	11	4	4	3
basi	6	2	7	2	4	6	2	7	2	4
est	9	2	2	1	0	11	3	2	1	0
suit	1	3	2	6	9	2	3	2	6	9
wallpap	1	5	7	4	3	1	6	8	4	3
gonna	5	5	4	2	5	5	7	7	2	6
difficulti	1	3	8	4	4	1	4	8	4	4
launch	2	3	3	7	6	2	3	4	12	8
nightmar	7	10	1	3	0	7	11	1	3	0
increas	4	6	2	7	2	4	6	2	8	2
lit	4	2	4	5	6	4	2	4	5	6
everytim	5	7	2	4	3	5	7	2	4	3
clip	2	7	6	3	3	3	7	9	4	4
irrit	4	5	6	2	3	4	5	7	3	3
class	2	3	2	6	8	2	3	2	6	8
wipe	3	4	5	3	6	4	5	6	3	7
par	2	2	2	7	8	2	2	2	10	9
charact	3	2	5	6	4	4	2	9	7	6
unreli	10	7	2	0	2	11	9	2	0	2
amol	1	1	3	4	12	1	1	3	4	14
jelli	1	1	3	11	5	1	1	3	12	5
rumor	1	4	2	8	6	2	6	2	8	8
sluggish	2	8	4	5	2	2	9	4	5	2
fragil	4	5	6	2	3	4	5	7	2	3
reduc	3	4	5	5	3	3	4	5	5	3
earphon	0	2	6	9	4	0	2	6	16	4
catch	3	2	2	8	6	3	2	2	8	8
outstand	0	2	6	2	11	0	2	6	2	13
telephon	7	6	0	4	4	9	6	0	4	4
group	2	2	8	8	1	2	2	9	11	1
natur	3	3	4	5	6	3	3	4	7	6
depart	8	5	5	1	2	10	8	6	1	3
louder	2	3	0	8	8	2	3	0	9	8
profil	2	5	7	4	2	2	5	8	4	2
instagram	1	2	5	7	7	1	2	6	8	7
xbox	1	0	2	5	14	1	0	2	5	18
folk	1	4	6	8	2	1	4	7	10	2
america	8	9	2	2	0	8	10	2	2	0
dedic	1	2	3	6	10	1	2	3	6	11
kit	1	2	4	11	4	1	2	4	17	6
lead	6	2	6	5	3	6	2	6	5	4
lousi	6	8	5	2	1	8	8	6	2	1
unrespons	7	6	5	2	1	8	7	5	2	1
field	4	3	5	7	3	6	3	6	7	3
mid	6	3	2	4	7	7	3	2	4	8
muy	3	1	2	6	3	5	1	2	10	3
member	3	2	2	7	7	3	2	2	7	7
parent	3	3	3	5	8	6	5	3	6	11
attent	2	6	4	5	5	2	6	4	5	5
count	3	2	4	7	6	3	2	5	7	6
preinstal	1	2	3	7	9	1	2	3	7	11
birthday	2	2	3	4	10	2	2	3	5	10
para	5	1	1	2	3	9	1	2	3	6
competit	2	0	3	8	9	2	0	3	8	9
a1200	2	0	2	9	9	2	0	3	12	14
ipad	0	3	3	4	12	0	3	3	4	16
