Topic 0(0.047):	kindl(0.092)	fire(0.060)	hdx(0.053)	love(0.043)	read(0.025)	hd(0.017)	book(0.017)	screen(0.014)	ipad(0.011)	display(0.011)	devic(0.009)	amazon(0.009)	color(0.008)	better(0.008)	great(0.007)	blue(0.007)	year(0.007)	easi(0.007)	upgrad(0.007)	good(0.007)	size(0.006)	bought(0.006)	notic(0.006)	purchas(0.006)	best(0.006)	origin(0.006)	buy(0.006)	nexus(0.006)	review(0.005)	amaz(0.005)	time(0.005)	light(0.005)	white(0.005)	happi(0.005)	featur(0.004)	mini(0.004)	problem(0.004)	enjoy(0.004)	offer(0.004)	awesom(0.004)	clear(0.004)	christma(0.004)	thing(0.004)	app(0.004)	generat(0.004)	reader(0.004)	help(0.004)	work(0.003)	perfect(0.003)	absolut(0.003)	
Topic 1(0.043):	app(0.054)	play(0.031)	game(0.027)	googl(0.017)	work(0.016)	great(0.016)	android(0.016)	download(0.013)	movi(0.013)	video(0.013)	book(0.013)	store(0.013)	kindl(0.012)	devic(0.011)	amazon(0.011)	read(0.010)	good(0.010)	watch(0.010)	easi(0.009)	featur(0.008)	netflix(0.008)	love(0.007)	free(0.007)	set(0.007)	screen(0.007)	access(0.007)	nice(0.006)	music(0.006)	email(0.006)	load(0.006)	prime(0.006)	tv(0.006)	fast(0.005)	instal(0.005)	stream(0.005)	time(0.005)	lot(0.005)	thing(0.005)	support(0.005)	view(0.004)	account(0.004)	player(0.004)	price(0.004)	softwar(0.004)	compat(0.004)	phone(0.004)	market(0.004)	applic(0.004)	problem(0.004)	open(0.004)	
Topic 2(0.073):	price(0.067)	great(0.041)	good(0.029)	bought(0.026)	buy(0.024)	purchas(0.021)	recommend(0.021)	happi(0.017)	love(0.017)	product(0.017)	ipad(0.015)	high(0.014)	money(0.014)	best(0.012)	worth(0.012)	gift(0.012)	christma(0.011)	time(0.011)	kid(0.010)	expect(0.009)	wife(0.009)	work(0.008)	qualiti(0.008)	review(0.008)	sale(0.008)	year(0.008)	featur(0.006)	pay(0.006)	month(0.006)	daughter(0.006)	brand(0.006)	item(0.006)	paid(0.006)	definit(0.006)	satisfi(0.006)	son(0.006)	samsung(0.005)	screen(0.005)	kindl(0.005)	reason(0.005)	low(0.005)	star(0.005)	lot(0.005)	point(0.005)	compar(0.004)	day(0.004)	amazon(0.004)	beat(0.004)	nice(0.004)	absolut(0.004)	
Topic 3(0.039):	batteri(0.098)	life(0.065)	hour(0.031)	charg(0.029)	good(0.028)	long(0.020)	day(0.017)	screen(0.016)	time(0.015)	great(0.013)	fast(0.013)	power(0.013)	work(0.010)	decent(0.009)	hold(0.008)	nice(0.008)	excel(0.008)	heavi(0.007)	bright(0.007)	turn(0.007)	pretti(0.007)	light(0.006)	unit(0.006)	full(0.006)	charger(0.006)	size(0.006)	mode(0.006)	drain(0.006)	usag(0.005)	ipad(0.005)	read(0.005)	keyboard(0.005)	longer(0.005)	video(0.005)	weight(0.004)	fulli(0.004)	wifi(0.004)	better(0.004)	app(0.004)	lot(0.004)	display(0.004)	game(0.004)	minut(0.004)	expect(0.004)	faster(0.004)	button(0.004)	perfect(0.004)	coupl(0.004)	easi(0.004)	plug(0.004)	
Topic 4(0.028):	qualiti(0.044)	sound(0.040)	good(0.038)	speaker(0.028)	screen(0.028)	great(0.025)	better(0.024)	build(0.019)	nice(0.016)	solid(0.014)	feel(0.012)	video(0.012)	expect(0.011)	loud(0.009)	display(0.008)	excel(0.008)	decent(0.008)	volum(0.008)	size(0.008)	built(0.007)	audio(0.007)	headphon(0.007)	resolut(0.007)	work(0.007)	fast(0.007)	ipad(0.006)	plastic(0.006)	top(0.006)	design(0.006)	metal(0.006)	movi(0.006)	pretti(0.006)	beauti(0.006)	high(0.006)	hear(0.006)	product(0.006)	price(0.006)	sturdi(0.006)	clear(0.006)	stereo(0.006)	side(0.005)	color(0.005)	asus(0.005)	impress(0.005)	devic(0.005)	best(0.005)	amaz(0.005)	bright(0.005)	play(0.005)	hd(0.005)	
Topic 5(0.020):	camera(0.063)	pictur(0.044)	good(0.032)	screen(0.030)	great(0.026)	qualiti(0.019)	front(0.019)	clear(0.018)	nice(0.017)	video(0.016)	decent(0.013)	imag(0.012)	work(0.011)	love(0.011)	face(0.011)	fast(0.010)	glass(0.009)	bright(0.009)	rear(0.009)	photo(0.009)	skype(0.009)	excel(0.008)	light(0.008)	price(0.008)	sharp(0.008)	beauti(0.008)	easi(0.007)	size(0.007)	awesom(0.007)	sound(0.007)	amaz(0.006)	focus(0.006)	dual(0.006)	hd(0.006)	find(0.006)	issu(0.006)	thing(0.006)	gorilla(0.006)	factor(0.006)	form(0.006)	pretti(0.006)	faster(0.006)	smooth(0.006)	android(0.005)	thin(0.005)	enjoy(0.005)	play(0.005)	pic(0.005)	auto(0.005)	crisp(0.005)	
Topic 6(0.029):	processor(0.033)	respons(0.029)	screen(0.028)	core(0.028)	fast(0.027)	good(0.027)	perform(0.025)	speed(0.020)	ram(0.018)	quad(0.018)	great(0.015)	android(0.014)	game(0.013)	nice(0.012)	price(0.012)	graphic(0.011)	cpu(0.011)	dual(0.010)	power(0.010)	smooth(0.009)	resolut(0.009)	app(0.009)	tegra(0.008)	process(0.008)	decent(0.007)	display(0.007)	best(0.007)	atom(0.007)	work(0.007)	touch(0.007)	faster(0.006)	beauti(0.006)	quadcor(0.006)	bright(0.006)	video(0.006)	lightweight(0.006)	light(0.006)	amaz(0.006)	lag(0.005)	gpu(0.005)	size(0.005)	easi(0.005)	updat(0.005)	memori(0.005)	hd(0.005)	clear(0.004)	2gb(0.004)	handl(0.004)	excel(0.004)	hdx(0.004)	
Topic 7(0.019):	card(0.051)	sd(0.040)	memori(0.036)	storag(0.031)	gb(0.024)	slot(0.022)	space(0.016)	gig(0.014)	screen(0.013)	good(0.012)	expand(0.012)	microsd(0.012)	micro(0.012)	model(0.011)	32gb(0.011)	file(0.010)	size(0.010)	nice(0.009)	64gb(0.009)	ipad(0.009)	great(0.008)	lot(0.008)	price(0.007)	fast(0.007)	hdmi(0.007)	work(0.007)	app(0.007)	full(0.007)	intern(0.006)	android(0.006)	free(0.006)	easi(0.006)	pop(0.006)	expans(0.006)	option(0.005)	version(0.005)	excel(0.005)	video(0.005)	usb(0.005)	16gb(0.005)	ram(0.005)	instal(0.005)	thing(0.005)	decent(0.005)	best(0.005)	drive(0.005)	display(0.005)	processor(0.004)	add(0.004)	hope(0.004)	
Topic 8(0.027):	wifi(0.036)	work(0.032)	devic(0.028)	connect(0.023)	good(0.022)	comput(0.020)	great(0.018)	web(0.017)	email(0.017)	internet(0.017)	network(0.014)	watch(0.014)	problem(0.013)	read(0.012)	surf(0.012)	brows(0.011)	fast(0.011)	thing(0.011)	screen(0.011)	video(0.011)	easi(0.010)	laptop(0.010)	check(0.008)	browser(0.008)	game(0.008)	love(0.007)	wireless(0.007)	time(0.007)	app(0.007)	phone(0.007)	light(0.006)	nice(0.006)	better(0.006)	mobil(0.006)	travel(0.006)	perfect(0.006)	lot(0.005)	speed(0.005)	server(0.005)	signal(0.005)	media(0.005)	basic(0.005)	book(0.005)	hous(0.004)	portabl(0.004)	issu(0.004)	decent(0.004)	router(0.004)	facebook(0.004)	respons(0.004)	
Topic 9(0.024):	screen(0.043)	keyboard(0.034)	touch(0.029)	work(0.025)	nice(0.023)	great(0.018)	dock(0.015)	case(0.015)	good(0.014)	respons(0.013)	feel(0.012)	ipad(0.010)	laptop(0.010)	stylus(0.009)	type(0.009)	fast(0.009)	bought(0.009)	asus(0.009)	light(0.008)	write(0.008)	accessori(0.008)	unit(0.007)	price(0.007)	easier(0.007)	perfect(0.007)	app(0.007)	easi(0.006)	replac(0.006)	time(0.006)	review(0.006)	fantast(0.006)	bright(0.006)	cover(0.005)	spen(0.005)	pretti(0.005)	includ(0.005)	awesom(0.005)	better(0.005)	thing(0.005)	recognit(0.005)	rubber(0.005)	sharp(0.005)	virtual(0.005)	clear(0.005)	love(0.005)	issu(0.005)	handwrit(0.005)	excel(0.005)	thin(0.005)	size(0.004)	
Topic 10(0.038):	work(0.108)	great(0.069)	ipad(0.026)	good(0.025)	love(0.016)	perfect(0.015)	android(0.014)	fine(0.013)	function(0.012)	nice(0.012)	bluetooth(0.012)	easi(0.011)	bought(0.011)	hardwar(0.011)	size(0.010)	month(0.009)	problem(0.009)	app(0.008)	devic(0.008)	week(0.008)	softwar(0.008)	product(0.007)	enjoy(0.007)	condit(0.007)	price(0.006)	start(0.006)	design(0.006)	keyboard(0.006)	weight(0.006)	air(0.006)	amaz(0.006)	featur(0.006)	box(0.006)	awesom(0.005)	big(0.005)	fast(0.005)	lot(0.005)	best(0.005)	appl(0.005)	time(0.005)	phone(0.005)	includ(0.005)	star(0.005)	pad(0.005)	excel(0.005)	scratch(0.005)	smooth(0.005)	issu(0.005)	mini(0.005)	advertis(0.004)	
Topic 11(0.015):	usb(0.058)	keyboard(0.043)	port(0.035)	hdmi(0.021)	bluetooth(0.017)	drive(0.016)	micro(0.015)	cabl(0.015)	work(0.014)	power(0.011)	full(0.011)	good(0.011)	extern(0.010)	batteri(0.010)	screen(0.010)	mous(0.010)	size(0.010)	devic(0.009)	nice(0.009)	charg(0.009)	laptop(0.008)	dock(0.008)	charger(0.008)	great(0.008)	mini(0.008)	connect(0.007)	hook(0.007)	standard(0.007)	perfect(0.007)	adapt(0.007)	sd(0.007)	game(0.007)	app(0.006)	life(0.006)	problem(0.006)	easi(0.006)	allow(0.006)	dongl(0.006)	case(0.006)	tf300(0.005)	fast(0.005)	love(0.005)	slot(0.005)	faster(0.005)	android(0.005)	big(0.005)	includ(0.005)	featur(0.005)	connector(0.005)	transfer(0.005)	
Topic 12(0.041):	screen(0.063)	nice(0.041)	easi(0.040)	good(0.034)	fast(0.032)	light(0.024)	size(0.023)	great(0.022)	system(0.017)	cheap(0.016)	android(0.016)	display(0.016)	thin(0.013)	bright(0.013)	oper(0.013)	pretti(0.013)	weight(0.012)	clear(0.011)	beauti(0.011)	user(0.011)	design(0.010)	smooth(0.009)	small(0.009)	lightweight(0.009)	hand(0.009)	friend(0.009)	love(0.008)	amaz(0.008)	crisp(0.008)	awesom(0.008)	resolut(0.008)	featur(0.008)	super(0.008)	feel(0.008)	price(0.007)	excel(0.007)	navig(0.006)	set(0.006)	os(0.006)	ipad(0.006)	devic(0.006)	perfect(0.006)	sharp(0.005)	inexpens(0.005)	sturdi(0.005)	best(0.005)	thing(0.005)	accur(0.005)	compar(0.005)	lock(0.005)	
Topic 13(0.038):	product(0.043)	ship(0.022)	great(0.018)	servic(0.017)	day(0.017)	custom(0.016)	receiv(0.015)	appl(0.015)	amazon(0.015)	warranti(0.013)	purchas(0.013)	return(0.013)	time(0.013)	help(0.012)	replac(0.012)	call(0.012)	support(0.011)	order(0.011)	compani(0.010)	work(0.010)	good(0.010)	tech(0.009)	asus(0.009)	thing(0.008)	problem(0.008)	phone(0.008)	love(0.008)	samsung(0.007)	fast(0.007)	hope(0.007)	newegg(0.007)	box(0.007)	item(0.007)	ipad(0.006)	contact(0.006)	person(0.006)	unit(0.006)	arriv(0.006)	buy(0.006)	issu(0.006)	seller(0.006)	manufactur(0.006)	refurbish(0.006)	best(0.005)	bought(0.005)	week(0.005)	repair(0.005)	easi(0.005)	broken(0.005)	send(0.005)	
Topic 14(0.024):	window(0.047)	screen(0.024)	android(0.021)	best(0.020)	work(0.015)	full(0.014)	good(0.013)	pro(0.012)	samsung(0.011)	size(0.011)	pen(0.011)	love(0.011)	program(0.011)	upgrad(0.010)	better(0.010)	os(0.010)	devic(0.010)	great(0.010)	surfac(0.010)	galaxi(0.009)	ipad(0.009)	perfect(0.008)	rt(0.007)	hand(0.007)	softwar(0.007)	app(0.007)	thing(0.007)	pc(0.007)	move(0.007)	offic(0.006)	easi(0.006)	digit(0.006)	experi(0.006)	version(0.006)	fast(0.006)	stylus(0.006)	big(0.006)	open(0.006)	smooth(0.006)	nice(0.006)	price(0.006)	laptop(0.005)	spen(0.005)	machin(0.005)	market(0.005)	bright(0.005)	product(0.005)	desktop(0.005)	touch(0.005)	applic(0.005)	
Topic 15(0.020):	screen(0.099)	bright(0.024)	color(0.020)	display(0.017)	pixel(0.016)	notic(0.015)	resolut(0.014)	angl(0.014)	light(0.014)	view(0.012)	issu(0.009)	side(0.009)	read(0.009)	sharp(0.009)	edg(0.009)	dead(0.009)	hd(0.008)	appear(0.008)	con(0.008)	dark(0.008)	crack(0.008)	find(0.007)	white(0.007)	big(0.007)	work(0.007)	drop(0.007)	problem(0.007)	great(0.006)	clear(0.006)	video(0.006)	good(0.006)	corner(0.006)	qualiti(0.006)	power(0.006)	black(0.006)	adjust(0.006)	sensit(0.006)	glass(0.006)	scratch(0.006)	contrast(0.006)	app(0.006)	set(0.005)	fine(0.005)	left(0.005)	month(0.005)	button(0.005)	complaint(0.005)	stuck(0.005)	bleed(0.005)	backlight(0.005)	
Topic 16(0.040):	app(0.059)	googl(0.022)	play(0.022)	download(0.021)	video(0.021)	amazon(0.019)	store(0.018)	game(0.015)	kindl(0.014)	flash(0.014)	devic(0.014)	work(0.013)	android(0.012)	instal(0.012)	time(0.010)	updat(0.009)	movi(0.008)	player(0.008)	prime(0.008)	support(0.007)	watch(0.007)	browser(0.007)	book(0.007)	music(0.007)	free(0.007)	access(0.007)	thing(0.006)	problem(0.006)	load(0.006)	account(0.006)	limit(0.005)	crash(0.005)	allow(0.005)	applic(0.005)	site(0.005)	adob(0.005)	slow(0.005)	open(0.005)	softwar(0.005)	netflix(0.004)	find(0.004)	tv(0.004)	good(0.004)	issu(0.004)	stream(0.004)	wo(0.004)	fire(0.004)	select(0.004)	set(0.004)	media(0.004)	
Topic 17(0.065):	buy(0.037)	bought(0.030)	purchas(0.028)	price(0.027)	product(0.026)	money(0.024)	disappoint(0.017)	expect(0.016)	item(0.014)	review(0.014)	return(0.014)	pay(0.014)	christma(0.013)	work(0.013)	good(0.013)	wast(0.013)	time(0.012)	asus(0.012)	better(0.011)	ipad(0.011)	kid(0.010)	year(0.010)	worth(0.009)	recommend(0.009)	son(0.008)	nexus(0.008)	spend(0.007)	brand(0.007)	read(0.007)	paid(0.007)	refund(0.006)	appl(0.006)	guess(0.006)	week(0.006)	gift(0.006)	day(0.006)	wait(0.006)	kindl(0.006)	defect(0.006)	thing(0.006)	junk(0.005)	order(0.005)	month(0.005)	replac(0.005)	cheap(0.005)	frustrat(0.005)	compani(0.005)	extra(0.005)	regret(0.005)	piec(0.005)	
Topic 18(0.058):	charg(0.062)	batteri(0.054)	power(0.030)	turn(0.028)	hour(0.026)	time(0.025)	work(0.024)	life(0.023)	charger(0.021)	day(0.019)	button(0.018)	plug(0.017)	month(0.011)	unit(0.010)	week(0.010)	screen(0.010)	start(0.010)	hold(0.009)	minut(0.008)	long(0.008)	short(0.008)	wo(0.007)	die(0.007)	cord(0.007)	devic(0.007)	shut(0.007)	second(0.006)	problem(0.006)	dead(0.006)	cabl(0.006)	drain(0.006)	full(0.006)	thing(0.005)	fulli(0.005)	freez(0.005)	connect(0.005)	press(0.005)	port(0.005)	recharg(0.005)	mode(0.005)	issu(0.005)	fine(0.004)	hot(0.004)	slow(0.004)	overnight(0.004)	coupl(0.004)	three(0.004)	complet(0.004)	reset(0.004)	longer(0.004)	
Topic 19(0.018):	speaker(0.060)	sound(0.046)	qualiti(0.032)	volum(0.026)	headphon(0.023)	cheap(0.020)	hear(0.017)	low(0.016)	audio(0.014)	jack(0.013)	stereo(0.011)	slow(0.011)	screen(0.010)	loud(0.010)	listen(0.010)	nois(0.010)	good(0.010)	control(0.010)	pretti(0.010)	weak(0.009)	extrem(0.009)	con(0.009)	bluetooth(0.008)	record(0.008)	build(0.008)	top(0.008)	thing(0.008)	work(0.007)	phone(0.007)	expect(0.007)	difficult(0.007)	issu(0.007)	disappoint(0.007)	respond(0.007)	annoy(0.007)	terribl(0.006)	resolut(0.006)	touch(0.006)	fan(0.006)	life(0.006)	builtin(0.005)	video(0.005)	freez(0.005)	music(0.005)	bought(0.005)	side(0.005)	lack(0.005)	useless(0.005)	solid(0.005)	stuck(0.005)	
