Topic 0(0.037):	screen(0.139)	nice(0.049)	good(0.043)	great(0.042)	respons(0.038)	size(0.033)	bright(0.028)	light(0.027)	display(0.026)	fast(0.024)	resolut(0.023)	touch(0.021)	beauti(0.019)	clear(0.018)	color(0.015)	tablet(0.015)	view(0.014)	sharp(0.013)	easi(0.013)	weight(0.011)	thin(0.010)	small(0.009)	better(0.009)	excel(0.009)	qualiti(0.009)	work(0.008)	pretti(0.008)	android(0.008)	hd(0.008)	amaz(0.008)	app(0.007)	love(0.007)	price(0.007)	processor(0.007)	awesom(0.006)	smooth(0.006)	high(0.005)	button(0.005)	graphic(0.005)	stylus(0.005)	memori(0.005)	time(0.005)	impress(0.005)	os(0.004)	big(0.004)	inch(0.004)	perfect(0.004)	best(0.004)	keyboard(0.004)	featur(0.004)	
Topic 1(0.022):	work(0.100)	app(0.059)	good(0.047)	game(0.043)	great(0.041)	android(0.039)	play(0.023)	tablet(0.021)	download(0.020)	web(0.019)	browser(0.017)	book(0.017)	load(0.016)	read(0.016)	nice(0.016)	netflix(0.015)	store(0.015)	os(0.014)	devic(0.013)	instal(0.013)	free(0.012)	email(0.011)	brows(0.010)	love(0.010)	market(0.009)	music(0.009)	better(0.009)	flash(0.009)	time(0.009)	nt(0.008)	lot(0.008)	awesom(0.008)	googl(0.007)	amaz(0.007)	access(0.007)	day(0.007)	worth(0.006)	applic(0.006)	happi(0.006)	perform(0.006)	window(0.006)	excel(0.006)	fine(0.006)	impress(0.005)	sound(0.005)	bought(0.005)	samsung(0.005)	asus(0.005)	job(0.005)	screen(0.005)	
Topic 2(0.035):	price(0.112)	great(0.069)	tablet(0.059)	bought(0.053)	good(0.040)	christma(0.030)	buy(0.029)	love(0.028)	product(0.028)	purchas(0.026)	gift(0.025)	best(0.019)	wife(0.018)	money(0.018)	happi(0.017)	kid(0.016)	worth(0.014)	year(0.014)	ipad(0.013)	nt(0.012)	work(0.011)	low(0.010)	perfect(0.010)	nice(0.010)	time(0.010)	featur(0.009)	recommend(0.009)	awesom(0.009)	spec(0.008)	reason(0.008)	excel(0.008)	impress(0.007)	perform(0.007)	kindl(0.007)	amaz(0.007)	brand(0.007)	paid(0.006)	newegg(0.006)	absolut(0.006)	save(0.006)	consid(0.006)	thing(0.006)	qualiti(0.006)	week(0.006)	wait(0.006)	lot(0.006)	devic(0.005)	arriv(0.005)	day(0.005)	deal(0.005)	
Topic 3(0.022):	batteri(0.157)	life(0.124)	good(0.059)	hour(0.036)	great(0.028)	screen(0.027)	charg(0.026)	nice(0.020)	long(0.019)	fast(0.015)	power(0.014)	work(0.013)	day(0.013)	excel(0.012)	tablet(0.011)	charger(0.010)	decent(0.010)	keyboard(0.009)	fulli(0.009)	better(0.009)	light(0.009)	amaz(0.009)	plug(0.008)	resolut(0.008)	best(0.008)	display(0.008)	longer(0.008)	size(0.008)	awesom(0.008)	pretti(0.007)	mode(0.007)	replac(0.007)	worth(0.007)	bright(0.006)	happi(0.006)	love(0.006)	port(0.006)	unit(0.006)	time(0.006)	save(0.006)	impress(0.006)	respons(0.006)	perfect(0.005)	hdmi(0.005)	camera(0.005)	weight(0.005)	recommend(0.005)	processor(0.005)	cabl(0.005)	devic(0.004)	
Topic 4(0.014):	good(0.084)	sound(0.059)	speaker(0.058)	great(0.049)	tablet(0.039)	perform(0.034)	expect(0.023)	nice(0.023)	excel(0.022)	happi(0.021)	price(0.020)	screen(0.018)	devic(0.017)	perfect(0.017)	impress(0.016)	size(0.016)	awesom(0.015)	hand(0.015)	volum(0.015)	qualiti(0.015)	best(0.014)	pretti(0.014)	worth(0.014)	bit(0.013)	love(0.013)	spec(0.012)	decent(0.012)	amaz(0.010)	small(0.010)	display(0.009)	recommend(0.009)	function(0.008)	solid(0.007)	ram(0.007)	surpris(0.006)	android(0.006)	side(0.006)	time(0.006)	design(0.006)	video(0.006)	nt(0.006)	read(0.006)	sale(0.005)	game(0.005)	experi(0.005)	paid(0.005)	coupl(0.005)	app(0.005)	built(0.005)	storag(0.005)	
Topic 5(0.019):	camera(0.097)	qualiti(0.068)	good(0.059)	build(0.045)	front(0.039)	pictur(0.038)	better(0.026)	great(0.025)	video(0.022)	face(0.022)	tablet(0.021)	nice(0.021)	feel(0.016)	price(0.016)	nt(0.014)	awesom(0.011)	issu(0.010)	decent(0.010)	light(0.010)	best(0.009)	unit(0.009)	excel(0.008)	love(0.008)	worth(0.008)	devic(0.008)	easi(0.008)	speaker(0.008)	window(0.007)	solid(0.007)	bluetooth(0.007)	amaz(0.007)	low(0.007)	fast(0.007)	featur(0.007)	impress(0.007)	happi(0.006)	pretti(0.006)	recommend(0.006)	design(0.006)	deal(0.006)	perfect(0.006)	flash(0.006)	android(0.006)	expect(0.006)	plastic(0.006)	sound(0.005)	small(0.005)	thing(0.005)	bad(0.005)	app(0.005)	
Topic 6(0.015):	tablet(0.086)	fast(0.070)	processor(0.062)	core(0.050)	ram(0.047)	great(0.031)	speed(0.029)	nice(0.022)	faster(0.022)	good(0.019)	handl(0.019)	best(0.017)	thing(0.016)	love(0.014)	perfect(0.014)	amaz(0.013)	nt(0.013)	price(0.013)	slow(0.013)	desktop(0.012)	heavi(0.012)	comput(0.012)	power(0.012)	storag(0.011)	internet(0.011)	laptop(0.011)	awesom(0.010)	app(0.010)	worth(0.010)	drive(0.009)	intern(0.009)	happi(0.009)	excel(0.009)	memori(0.009)	ship(0.009)	process(0.009)	impress(0.009)	recommend(0.008)	resolut(0.008)	thin(0.007)	expect(0.007)	smooth(0.007)	lag(0.007)	find(0.006)	graphic(0.006)	low(0.006)	brows(0.006)	gb(0.006)	respons(0.006)	play(0.006)	
Topic 7(0.013):	card(0.088)	sd(0.084)	memori(0.059)	storag(0.043)	app(0.043)	slot(0.040)	intern(0.028)	micro(0.028)	tablet(0.022)	nt(0.022)	gb(0.022)	microsd(0.019)	nice(0.016)	great(0.014)	instal(0.013)	move(0.012)	model(0.011)	store(0.011)	space(0.009)	pictur(0.009)	add(0.008)	perfect(0.007)	option(0.007)	awesom(0.007)	extern(0.007)	love(0.007)	system(0.007)	android(0.007)	camera(0.007)	good(0.007)	recommend(0.006)	upgrad(0.006)	limit(0.006)	best(0.006)	includ(0.006)	addit(0.006)	music(0.006)	excel(0.006)	work(0.006)	hdmi(0.006)	impress(0.006)	amaz(0.005)	happi(0.005)	worth(0.005)	file(0.005)	hold(0.004)	ram(0.004)	base(0.004)	screen(0.004)	appl(0.004)	
Topic 8(0.013):	connect(0.097)	wifi(0.095)	work(0.055)	network(0.031)	issu(0.031)	tablet(0.026)	good(0.026)	wireless(0.026)	internet(0.025)	set(0.022)	problem(0.022)	nt(0.021)	great(0.016)	fast(0.016)	time(0.016)	find(0.016)	thing(0.015)	lot(0.012)	phone(0.011)	surf(0.011)	nice(0.011)	second(0.011)	drop(0.011)	turn(0.011)	perfect(0.010)	amaz(0.009)	love(0.009)	reboot(0.009)	best(0.009)	awesom(0.009)	happi(0.008)	access(0.007)	worth(0.007)	excel(0.007)	impress(0.007)	recommend(0.007)	respons(0.007)	bluetooth(0.007)	devic(0.007)	slow(0.007)	freez(0.007)	fine(0.006)	comput(0.006)	week(0.006)	function(0.006)	tab(0.006)	stay(0.006)	better(0.006)	manual(0.006)	perform(0.006)	
Topic 9(0.014):	keyboard(0.116)	case(0.066)	tablet(0.035)	nice(0.034)	nt(0.032)	great(0.030)	dock(0.028)	good(0.024)	bluetooth(0.021)	work(0.020)	bought(0.016)	type(0.015)	time(0.015)	perfect(0.014)	devic(0.011)	love(0.010)	excel(0.010)	microsoft(0.010)	window(0.010)	happi(0.010)	updat(0.009)	offic(0.009)	remov(0.009)	frustrat(0.009)	amaz(0.009)	drop(0.009)	recommend(0.009)	best(0.009)	fail(0.008)	impress(0.008)	issu(0.008)	fine(0.008)	fast(0.007)	price(0.007)	newegg(0.007)	worth(0.007)	awesom(0.007)	day(0.007)	egg(0.007)	find(0.007)	unit(0.007)	option(0.007)	thin(0.007)	product(0.006)	deal(0.006)	multipl(0.006)	pro(0.006)	surfac(0.006)	mine(0.005)	lot(0.005)	
Topic 10(0.022):	tablet(0.082)	love(0.067)	cheap(0.055)	recommend(0.033)	great(0.032)	best(0.030)	thing(0.028)	tab(0.026)	devic(0.024)	high(0.023)	work(0.022)	good(0.021)	worth(0.020)	function(0.019)	time(0.018)	ipad(0.017)	bluetooth(0.017)	nt(0.016)	buy(0.016)	nice(0.016)	perfect(0.013)	busi(0.012)	qualiti(0.012)	asus(0.012)	impress(0.011)	pay(0.011)	excel(0.011)	product(0.011)	android(0.010)	happi(0.010)	galaxi(0.009)	money(0.009)	amaz(0.008)	pro(0.008)	lot(0.008)	awesom(0.008)	app(0.007)	option(0.007)	nexus(0.007)	laptop(0.007)	softwar(0.007)	definit(0.007)	learn(0.007)	replac(0.006)	guess(0.006)	refurbish(0.006)	samsung(0.006)	long(0.005)	item(0.005)	cost(0.005)	
