Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1548,2,0,"the size of this tablet is perfect i think.",0,0,11,1.000000,1.000000
1548,2,1,"i installed launcher pro which allows many options.you can set backgrounds through quickpic and several other options.",0,0,8,0.572430,0.122804
1548,2,2,"i find this is perfect as a e reader and the wifi is flawless 99  of the time.",0,0,14,0.593699,0.124694
1548,2,3,"i enjoy it very much for the price.",0,0,8,0.610435,0.115082
1548,2,4,"i wish a lot more android apps worked on this.",1,0,8,0.616840,0.093916
1548,2,5,"setting a background is a pain getting the resolution right is interesting.",1,0,13,0.630867,0.094660
1561,2,0,"nice display and user friendly.",0,0,4,1.000000,1.000000
1561,2,1,"great price for this.",0,0,4,0.609236,0.088529
1563,2,0,"lightweight  big screen  really fast  except on boot   kindle apps  am azon android store capable.",0,0,14,1.000000,1.000000
1563,2,1,"doesn t recognize jumpdrives  have to use flash storage.",1,1,19,0.590271,0.089235
1563,2,2,"getting android store   different browser took awhile.",1,1,19,0.603822,0.093916
1563,2,3," see youtube ",1,1,19,0.631243,0.094660
1569,2,0,"it has a nice big display and bright backlight.",0,0,13,1.000000,1.000000
1569,2,1,"it s pretty light and sturdy feeling.",0,0,11,0.582236,0.115082
1569,2,2,"is not compatible with google play so many apps are not available for it easily.",1,1,20,0.595939,0.093916
1569,2,3,"the screen resolution is low and the touch response is spotty at times.",1,1,26,0.612609,0.089235
1569,2,4,"can not be updated to android 4.0 can t even seem to get an actual facebook app for it.",1,1,20,0.632307,0.094660
1571,2,0,"lightweight  nice feel  beautiful display  good camera  everything i wanted.",0,0,11,1.000000,1.000000
1571,2,1,"i found the ui to be a bit more sluggish than i expected  even for the low price point.",1,1,18,0.605629,0.123746
1572,2,0,"small with nice assortment of colors to choose from.",0,1,26,1.000000,1.000000
1572,2,1,"it runs most anything google play has to throw so far.",0,1,24,0.574226,0.115082
1572,2,2,"i own an older 10  asus transformer 300 with jellybean 4.2.2 on it as well and this seems to have a slightly different ui  which i like better.",0,1,25,0.577077,0.087828
1572,2,3,"this was a good gift for our 12 year old.",0,1,23,0.592760,0.116868
1572,2,4,"runs youtube without a problem and took a 32gb micro sd easily.",0,1,19,0.593752,0.122804
1572,2,5,"it s a bit thick.",1,0,11,0.610435,0.116868
1572,2,6,"one of our daughters has a 2 year old 7 inch galaxy tab 2 and this is a little thicker than that.",1,0,0,0.609494,0.089235
1572,2,7,"it s still small enough and because it does everything you want... the thickness isn t a huge deal.",1,0,11,0.623338,0.087828
1572,2,8,"the built in sound is a bit lacking but so are most tablets of this size.",1,0,11,0.628549,0.093916
1572,2,9,"get some bluetooth stereo headphones and it kicks.",1,0,11,0.639329,0.094660
1574,2,0,"asus memo pad hd 7 inch 16 gb green tablet is a great tablet for the money.",0,0,2,1.000000,1.000000
1574,2,1,"this tablet has a beautiful display  7 inches  and displays images at 1280 x 800 pixels  800p .",0,0,13,0.572669,0.115082
1574,2,2,"the tablet has 170 degree wide viewing angles.",0,0,13,0.584148,0.095410
1574,2,3,"text looks sharper  colors are more vivid  and games stand out.",0,0,13,0.582428,0.093916
1574,2,4,"memo pa hd 7 has a 5 mp megapixel  autofocus rear camera with 100 picture continuous burst shooting and 1080p video recording.",0,0,13,0.668683,0.155416
1574,2,5,"this tablet also has a 1.2 mp front camera.",0,0,13,0.214116,0.032181
