border	1	4	2	6	6	1	4	3	7	8
consumpt	0	3	5	4	7	0	3	5	14	7
ledlc	2	6	2	2	7	2	6	2	2	7
meant	3	3	4	3	6	4	3	4	4	6
discount	6	6	3	2	2	6	7	3	3	2
skin	4	6	4	4	1	4	6	7	6	1
method	4	4	4	4	3	4	5	4	4	4
arrow	2	7	6	3	1	3	10	7	3	1
frequenc	3	3	8	3	2	3	3	10	3	2
viewer	3	2	4	7	3	3	2	4	7	4
rout	2	4	3	6	5	2	6	3	6	5
shock	4	5	3	2	6	4	7	3	2	6
highest	2	5	6	2	5	2	5	6	3	6
ear	3	3	3	4	7	10	3	3	5	7
foot	4	4	4	2	6	4	4	4	3	7
hdx	4	4	1	10	1	6	5	1	11	2
hum	0	6	3	6	5	0	12	3	8	5
ruin	5	8	4	2	1	6	9	4	2	1
compet	3	2	7	4	4	3	2	7	4	4
greatest	1	3	3	4	9	1	3	3	4	9
achiev	2	5	3	6	4	2	5	3	7	4
playstat	1	1	7	5	6	1	2	9	6	7
guest	5	2	2	5	6	5	3	2	7	6
remind	1	6	5	4	4	1	6	5	4	4
prevent	3	6	5	1	5	3	6	5	1	5
book	4	4	4	1	7	4	5	4	1	7
reduct	1	1	3	8	7	2	1	4	9	7
team	7	5	2	3	3	14	6	3	3	3
verizon	1	4	6	3	6	1	4	6	3	6
perman	3	3	4	6	4	5	5	4	7	4
dongl	1	4	4	6	5	3	6	8	7	7
outlet	3	6	3	4	4	4	6	3	4	4
thorough	2	4	4	3	7	2	4	4	4	7
fals	8	4	5	1	2	10	4	5	1	2
collect	3	5	5	3	4	3	5	5	3	4
eagl	1	0	0	0	18	2	0	0	0	21
repairman	11	6	3	0	0	13	9	4	0	0
regist	6	2	4	2	6	6	3	9	4	6
compens	3	8	5	1	3	3	8	5	1	3
amp	1	2	6	5	6	1	2	7	9	6
arc	1	5	2	7	5	1	5	4	13	8
480i	2	5	3	4	6	2	7	4	4	6
lemon	7	8	4	1	0	8	9	4	1	0
desk	4	2	2	5	7	6	2	2	5	10
ultim	3	3	4	5	6	4	3	4	5	6
unhappi	7	7	2	2	2	7	8	2	2	2
radio	1	8	4	4	4	1	9	4	4	4
critic	1	4	1	8	7	1	6	1	12	8
defin	1	2	3	6	9	1	2	3	6	9
draw	1	3	1	7	9	1	3	1	7	9
assist	5	3	5	3	5	5	4	6	3	6
exceed	0	0	0	4	17	0	0	0	4	18
summari	3	9	4	3	2	3	9	4	3	2
ownership	8	2	2	3	6	8	2	2	3	6
upscal	0	2	3	6	10	0	2	6	7	11
layout	3	2	6	6	4	3	2	7	6	4
verifi	5	7	4	2	3	5	7	5	2	3
inconveni	2	6	4	3	6	2	6	4	3	6
focus	3	6	5	3	4	3	6	5	3	4
daili	3	3	7	4	4	3	3	7	4	4
decemb	4	7	2	4	4	6	8	2	4	5
optim	1	3	2	11	4	1	3	3	13	5
individu	3	3	3	3	9	3	5	4	3	9
equal	4	1	2	5	8	4	1	2	5	9
feed	2	4	3	5	7	2	4	3	9	8
assur	6	4	4	1	6	6	5	4	1	6
risk	5	3	3	4	6	6	3	3	4	6
seamless	0	3	2	8	8	0	3	2	8	8
juli	3	9	2	7	0	3	10	2	7	0
passiv	1	3	3	7	7	2	3	3	16	14
essenti	6	4	2	3	6	6	4	2	3	6
mislead	4	5	6	3	2	4	5	7	3	2
grey	3	11	4	3	1	6	12	10	3	1
hung	6	5	2	4	5	7	5	2	4	5
lie	11	4	1	3	3	14	4	1	3	3
sleep	0	2	7	7	6	0	2	9	7	7
travel	3	3	3	12	0	3	3	3	15	0
consider	3	3	4	6	6	3	4	4	6	6
thumb	1	6	4	4	7	1	7	5	4	7
bluetooth	2	3	4	5	8	2	5	4	5	13
boot	7	2	7	3	3	9	2	8	7	5
hdtvs	1	3	1	5	12	1	3	1	6	14
loss	3	5	6	3	5	4	8	6	3	6
couch	2	3	3	6	8	2	5	3	7	9
count	1	9	4	3	5	1	10	4	3	5
spectacular	0	1	2	7	12	0	1	2	8	14
awkward	5	2	7	5	3	6	2	7	5	3
disappear	4	6	4	3	5	4	6	4	3	5
1920x1080	0	3	5	3	11	0	5	5	4	13
complic	3	5	5	4	5	3	5	5	5	6
upper	5	6	6	2	3	5	6	6	2	3
plain	3	8	4	1	6	3	8	4	1	7
competit	2	0	6	4	10	2	0	10	4	12
shini	3	4	4	1	10	3	4	4	1	11
whatsoev	2	1	5	4	10	2	1	5	4	10
util	4	3	7	5	3	4	3	8	5	3
age	4	4	3	4	6	4	4	3	4	6
effici	3	1	3	6	9	3	1	3	12	9
btw	5	4	6	4	3	5	5	6	4	3
car	4	5	2	8	3	4	5	3	9	3
unwatch	11	8	1	2	1	11	9	1	2	1
appli	8	4	3	2	6	8	5	3	2	7
neat	0	1	6	9	7	0	1	6	11	7
widget	0	7	3	6	7	0	10	9	10	10
author	14	6	2	0	1	16	7	2	0	1
daughter	6	1	5	2	9	9	1	6	2	9
reciev	3	7	5	3	5	3	7	6	3	6
season	4	5	3	7	4	4	10	7	9	4
metal	1	7	3	5	7	1	15	3	7	9
magic	3	5	4	5	5	4	6	10	5	5
occas	6	5	5	4	2	6	5	5	5	2
inexpens	5	2	8	3	5	5	2	8	3	6
stabl	4	5	3	3	8	4	5	3	3	8
balanc	1	3	5	4	10	1	3	10	5	10
effort	4	4	7	6	2	4	4	7	6	2
tivo	1	3	3	7	9	1	6	8	9	12
slot	3	2	3	4	11	5	2	4	4	13
bargain	1	6	1	5	10	1	6	2	6	10
mother	6	2	4	5	6	6	2	4	5	6
progress	6	6	5	4	3	6	6	6	4	3
tvthe	2	5	9	5	3	2	5	9	6	3
scale	1	4	5	7	7	1	5	8	7	8
dlna	3	3	4	10	4	3	3	8	13	8
lol	2	5	3	5	9	2	5	3	5	9
chromecast	4	5	8	4	3	4	8	11	5	3
net	4	7	8	4	1	4	7	10	4	1
irrit	5	3	10	2	4	6	3	12	2	4
conclus	2	4	7	6	5	2	4	8	6	6
opt	6	5	5	2	6	6	6	5	2	7
lift	0	5	2	6	11	0	7	2	6	12
yellow	2	8	2	4	7	2	11	4	4	10
dual	0	1	3	8	12	0	1	4	11	12
ten	5	3	5	5	6	5	3	5	6	8
water	3	2	6	3	10	3	2	6	3	10
benefit	4	2	6	7	5	4	2	7	7	5
prove	7	5	5	1	6	7	5	5	1	6
breez	1	3	3	3	14	1	4	3	3	14
cinema	1	3	4	8	8	3	5	4	11	8
husband	3	5	5	4	5	4	8	6	5	6
command	0	4	2	8	10	0	6	2	14	12
bed	3	3	4	4	10	3	3	4	4	11
phenomen	0	3	0	5	16	0	3	0	5	16
shoot	12	5	5	2	1	15	5	5	2	1
dot	6	8	6	3	2	7	8	12	4	2
remain	2	10	3	5	4	2	11	4	6	4
ir	0	7	6	8	4	0	10	6	10	4
recept	0	4	4	5	12	0	7	6	5	14
ultra	1	5	4	2	13	1	5	5	5	15
warm	4	8	1	5	7	4	8	1	5	12
hey	6	3	6	3	7	6	3	7	3	7
awhil	3	8	4	6	4	3	9	4	7	4
difficulti	2	5	11	1	6	2	6	12	1	7
vari	5	5	8	4	3	5	5	8	4	3
fortun	3	7	4	8	3	3	7	5	8	3
preset	3	5	4	5	8	5	7	4	6	9
flimsi	2	9	4	3	7	2	12	4	3	7
breaker	1	3	7	8	6	1	3	8	8	7
core	1	6	1	6	11	1	6	2	9	12
exit	5	8	3	7	2	7	9	3	7	2
portion	2	5	8	6	4	3	5	12	9	4
instanc	2	7	6	6	4	3	8	6	7	4
walmart	6	5	4	4	6	8	6	5	5	6
till	7	8	3	2	5	7	8	4	2	6
fade	5	8	9	1	2	5	9	10	1	2
crazi	2	6	6	4	6	2	7	6	4	6
measur	1	4	6	10	4	1	6	8	10	4
usabl	8	4	4	6	3	12	6	4	6	3
road	4	3	3	8	5	4	3	3	9	5
skype	1	7	7	5	6	1	14	11	5	6
picki	1	7	5	6	7	1	8	5	6	8
form	5	3	4	3	11	7	7	4	4	11
upconvert	1	0	1	6	18	1	0	1	6	20
reput	12	5	4	2	3	13	6	4	2	3
repres	12	1	3	3	6	23	1	5	5	7
spoke	10	7	3	4	2	10	9	4	4	2
nightmar	9	6	5	2	4	9	6	5	2	5
floor	2	5	4	8	7	7	6	4	8	8
bill	6	5	4	4	7	8	6	5	4	7
odd	4	5	7	4	6	4	5	7	4	6
copi	3	7	3	6	7	4	7	3	7	7
novemb	7	7	5	5	2	9	7	5	5	3
finger	6	1	4	6	9	6	2	5	7	9
nonhd	2	4	3	3	14	2	4	3	3	17
mirror	3	11	1	6	5	6	12	1	7	5
primari	3	5	4	7	7	3	5	5	7	7
whistl	2	3	3	6	12	2	3	3	7	12
arrang	7	8	3	5	3	8	9	3	7	3
electr	3	3	5	4	11	3	3	5	5	14
mediocr	3	2	3	7	11	3	2	3	7	11
burnin	3	4	3	5	12	4	6	3	11	13
suit	2	4	5	7	9	2	4	5	7	10
fun	2	4	2	8	11	2	6	2	8	12
hot	2	4	6	3	12	4	4	6	3	12
paper	12	4	4	2	5	12	4	5	3	5
worthless	13	5	5	1	3	13	5	5	1	3
parti	5	7	3	7	5	5	7	3	7	5
warehous	4	5	5	4	9	7	7	6	4	10
quiet	1	11	5	4	6	1	14	6	4	6
advis	6	11	3	4	3	6	11	3	5	3
