Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1541,2,0,"light weight  good response time.",0,0,7,1.000000,1.000000
1541,2,1,"so far no problems.",0,0,14,0.592383,0.128278
1541,2,2,"the proprietary usb port is a bit sketchy so if you connect it to your computer to retrieve files  best to not touch the tablet during the process or the cable might come loose.",1,1,27,0.664090,0.191091
1541,2,3,"seems to have very slow usb transfer rate too.",1,1,27,0.466843,0.142692
1541,2,4,"tablet cannot be reasonably charged off a computer usb port.",1,1,27,0.361414,0.098082
1541,2,5,"while it will charge it slowly  it is a very slow process and it ll take days to get a full charge.",1,1,18,0.222920,0.052607
1553,2,0,"the size of this tablet is perfect i think.",0,0,0,1.000000,1.000000
1553,2,1,"i installed launcher pro which allows many options.you can set backgrounds through quickpic and several other options.",0,0,10,0.590797,0.126943
1553,2,2,"i find this is perfect as a e reader and the wifi is flawless 99  of the time.",0,0,10,0.601536,0.128278
1553,2,3,"i enjoy it very much for the price.",0,0,12,0.611592,0.119605
1553,2,4,"i wish a lot more android apps worked on this.",1,1,20,0.619975,0.096596
1553,2,5,"setting a background is a pain getting the resolution right is interesting.",1,1,20,0.629935,0.097121
1566,2,0,"nice display and user friendly.",0,0,4,1.000000,1.000000
1566,2,1,"great price for this.",0,0,0,0.611424,0.091326
1568,2,0,"lightweight  big screen  really fast  except on boot   kindle apps  am azon android store capable.",0,0,9,1.000000,1.000000
1568,2,1,"doesn t recognize jumpdrives  have to use flash storage.",1,0,9,0.597174,0.091824
1568,2,2,"getting android store   different browser took awhile.",1,1,15,0.610670,0.096596
1568,2,3," see youtube ",1,1,15,0.625960,0.097121
1574,2,0,"it has a nice big display and bright backlight.",0,0,5,1.000000,1.000000
1574,2,1,"it s pretty light and sturdy feeling.",0,0,7,0.593718,0.119605
1574,2,2,"is not compatible with google play so many apps are not available for it easily.",1,1,20,0.604945,0.096596
1574,2,3,"the screen resolution is low and the touch response is spotty at times.",1,1,20,0.616497,0.091824
1574,2,4,"can not be updated to android 4.0 can t even seem to get an actual facebook app for it.",1,1,20,0.628380,0.097121
1576,2,0,"lightweight  nice feel  beautiful display  good camera  everything i wanted.",0,0,7,1.000000,1.000000
1576,2,1,"i found the ui to be a bit more sluggish than i expected  even for the low price point.",1,0,7,0.610921,0.127609
1577,2,0,"small with nice assortment of colors to choose from.",0,1,22,1.000000,1.000000
1577,2,1,"it runs most anything google play has to throw so far.",0,1,22,0.587913,0.119605
1577,2,2,"i own an older 10  asus transformer 300 with jellybean 4.2.2 on it as well and this seems to have a slightly different ui  which i like better.",0,1,15,0.593003,0.090830
1577,2,3,"this was a good gift for our 12 year old.",0,1,26,0.599853,0.120872
