Topic 0(0.050):	screen(0.031)	room(0.025)	great(0.020)	pictur(0.019)	size(0.018)	black(0.018)	view(0.018)	good(0.017)	pixel(0.015)	thin(0.014)	dark(0.013)	light(0.013)	nice(0.013)	set(0.012)	bright(0.012)	dead(0.012)	angl(0.011)	small(0.011)	big(0.011)	issu(0.009)	led(0.009)	perfect(0.008)	side(0.008)	inch(0.008)	color(0.008)	bezel(0.008)	scene(0.008)	edg(0.007)	live(0.007)	sit(0.007)	work(0.007)	thing(0.006)	love(0.006)	move(0.006)	stand(0.006)	design(0.006)	excel(0.006)	white(0.006)	finish(0.005)	frame(0.005)	amaz(0.005)	mount(0.005)	qualiti(0.005)	plasma(0.005)	samsung(0.005)	space(0.005)	appear(0.005)	wall(0.005)	bought(0.005)	better(0.005)	
Topic 1(0.093):	price(0.056)	great(0.039)	plasma(0.031)	samsung(0.026)	pictur(0.022)	purchas(0.020)	qualiti(0.019)	buy(0.019)	good(0.019)	bought(0.016)	best(0.015)	lcd(0.015)	better(0.014)	panason(0.013)	year(0.013)	month(0.012)	hdtv(0.012)	store(0.012)	model(0.011)	compar(0.010)	brand(0.010)	led(0.009)	review(0.009)	love(0.008)	soni(0.008)	deal(0.008)	amazon(0.008)	set(0.008)	televis(0.007)	sale(0.007)	time(0.006)	paid(0.006)	newegg(0.006)	tvs(0.006)	excel(0.006)	size(0.006)	reason(0.006)	happi(0.006)	decid(0.006)	recommend(0.006)	ago(0.005)	amaz(0.005)	awesom(0.005)	monitor(0.005)	return(0.005)	bedroom(0.005)	screen(0.004)	local(0.004)	find(0.004)	big(0.004)	
Topic 2(0.039):	sound(0.085)	speaker(0.036)	good(0.032)	great(0.028)	pictur(0.021)	system(0.019)	audio(0.017)	surround(0.015)	expect(0.014)	work(0.013)	nice(0.011)	turn(0.010)	volum(0.010)	headphon(0.010)	wall(0.010)	low(0.010)	buzz(0.010)	mount(0.010)	better(0.009)	bar(0.008)	qualiti(0.008)	unit(0.008)	jack(0.008)	built(0.008)	bought(0.007)	bedroom(0.007)	extern(0.007)	connect(0.007)	output(0.007)	fine(0.006)	hear(0.006)	receiv(0.006)	recommend(0.006)	amaz(0.006)	theater(0.006)	perfect(0.006)	time(0.006)	featur(0.005)	problem(0.005)	panel(0.005)	improv(0.005)	excel(0.005)	set(0.005)	price(0.005)	optic(0.005)	experi(0.005)	stereo(0.005)	nois(0.005)	plan(0.004)	attach(0.004)	
Topic 3(0.046):	day(0.035)	ship(0.034)	deliveri(0.027)	order(0.023)	great(0.021)	amazon(0.020)	set(0.018)	servic(0.017)	call(0.016)	arriv(0.015)	time(0.014)	samsung(0.013)	replac(0.013)	newegg(0.013)	problem(0.013)	free(0.012)	work(0.011)	receiv(0.011)	compani(0.011)	deliv(0.011)	box(0.011)	wait(0.010)	custom(0.009)	week(0.009)	hour(0.009)	tech(0.008)	told(0.008)	issu(0.008)	packag(0.008)	pictur(0.007)	fast(0.007)	phone(0.007)	number(0.007)	support(0.007)	help(0.007)	perfect(0.007)	good(0.007)	email(0.007)	guy(0.007)	busi(0.006)	easi(0.006)	amaz(0.006)	purchas(0.006)	expect(0.006)	happi(0.005)	price(0.005)	watch(0.005)	correct(0.005)	respons(0.005)	screw(0.005)	
Topic 4(0.126):	pictur(0.105)	great(0.061)	qualiti(0.041)	set(0.032)	good(0.030)	color(0.029)	easi(0.028)	sound(0.021)	price(0.021)	nice(0.017)	excel(0.015)	clear(0.014)	amaz(0.011)	setup(0.010)	contrast(0.010)	featur(0.009)	light(0.009)	black(0.009)	awesom(0.009)	beauti(0.009)	bright(0.008)	thin(0.008)	crisp(0.008)	remot(0.007)	sharp(0.007)	decent(0.007)	best(0.007)	adjust(0.006)	menu(0.006)	option(0.006)	pretti(0.006)	input(0.005)	tweak(0.005)	screen(0.005)	imag(0.005)	lot(0.005)	3d(0.005)	motion(0.005)	deep(0.005)	stun(0.005)	work(0.005)	calibr(0.004)	box(0.004)	vivid(0.004)	perfect(0.004)	display(0.004)	outstand(0.004)	hd(0.004)	design(0.004)	love(0.004)	
Topic 5(0.055):	great(0.033)	good(0.025)	qualiti(0.024)	buy(0.023)	high(0.023)	review(0.022)	money(0.021)	product(0.020)	recommend(0.018)	read(0.016)	pictur(0.016)	rate(0.016)	lg(0.015)	cheap(0.015)	refresh(0.013)	best(0.011)	nice(0.011)	price(0.011)	happi(0.010)	save(0.010)	samsung(0.008)	set(0.008)	definit(0.008)	120hz(0.008)	stand(0.008)	featur(0.008)	monitor(0.008)	hz(0.007)	control(0.007)	manufactur(0.007)	amaz(0.006)	vizio(0.006)	feel(0.006)	excel(0.006)	advertis(0.005)	thing(0.005)	disappoint(0.005)	remot(0.005)	live(0.005)	awesom(0.005)	tcl(0.005)	brand(0.005)	spend(0.005)	perfect(0.005)	lcd(0.005)	led(0.005)	thought(0.005)	negat(0.005)	televis(0.005)	model(0.005)	
Topic 6(0.067):	work(0.034)	app(0.032)	watch(0.030)	game(0.030)	great(0.030)	3d(0.026)	movi(0.025)	good(0.022)	play(0.020)	netflix(0.017)	video(0.014)	smart(0.012)	pictur(0.011)	stream(0.010)	time(0.010)	featur(0.009)	freez(0.009)	nice(0.009)	internet(0.009)	monitor(0.008)	kindl(0.008)	hd(0.007)	wifi(0.007)	samsung(0.007)	connect(0.007)	set(0.007)	amaz(0.007)	4k(0.007)	xfiniti(0.007)	program(0.007)	youtub(0.006)	mode(0.006)	ps3(0.006)	qualiti(0.006)	fire(0.005)	remot(0.005)	impress(0.005)	pc(0.005)	thing(0.005)	lag(0.005)	cool(0.005)	screen(0.005)	xbox(0.005)	comput(0.005)	love(0.005)	start(0.005)	wo(0.005)	best(0.004)	lot(0.004)	cabl(0.004)	
Topic 7(0.056):	hdmi(0.033)	cabl(0.027)	input(0.026)	connect(0.026)	hd(0.021)	pictur(0.018)	channel(0.017)	great(0.016)	port(0.015)	dvd(0.013)	set(0.012)	player(0.012)	good(0.011)	compon(0.011)	remot(0.010)	work(0.010)	hook(0.010)	box(0.010)	usb(0.009)	watch(0.008)	pc(0.008)	video(0.008)	qualiti(0.008)	monitor(0.007)	antenna(0.007)	option(0.007)	featur(0.007)	digit(0.007)	lot(0.007)	audio(0.007)	devic(0.006)	plenti(0.006)	signal(0.006)	easi(0.006)	comput(0.006)	better(0.006)	nice(0.006)	display(0.006)	tuner(0.006)	excel(0.005)	samsung(0.005)	setup(0.005)	movi(0.005)	bluray(0.005)	broadcast(0.005)	hdtv(0.005)	vga(0.005)	standard(0.005)	chang(0.005)	av(0.005)	
Topic 8(0.056):	screen(0.060)	light(0.023)	black(0.020)	dark(0.019)	watch(0.015)	notic(0.015)	side(0.012)	problem(0.012)	top(0.011)	led(0.011)	left(0.011)	pixel(0.010)	view(0.010)	time(0.010)	burn(0.010)	bright(0.010)	bottom(0.010)	panel(0.009)	room(0.009)	set(0.009)	pictur(0.009)	corner(0.009)	scene(0.008)	white(0.008)	angl(0.008)	bad(0.008)	plasma(0.008)	vertic(0.007)	cloud(0.007)	imag(0.007)	color(0.007)	small(0.007)	turn(0.007)	appear(0.006)	reflect(0.006)	issu(0.006)	bleed(0.006)	defect(0.006)	remot(0.005)	dead(0.005)	glare(0.005)	box(0.005)	blue(0.005)	work(0.005)	frame(0.005)	move(0.005)	movi(0.005)	display(0.005)	inch(0.005)	stand(0.005)	
Topic 9(0.064):	year(0.034)	samsung(0.029)	purchas(0.028)	month(0.021)	buy(0.021)	price(0.020)	bought(0.020)	warranti(0.015)	problem(0.015)	3d(0.014)	set(0.013)	model(0.013)	glass(0.012)	plasma(0.011)	work(0.011)	store(0.010)	panason(0.009)	turn(0.009)	amazon(0.008)	return(0.008)	televis(0.008)	lcd(0.008)	time(0.008)	tvs(0.008)	replac(0.008)	vizio(0.007)	great(0.007)	local(0.007)	lg(0.006)	expens(0.006)	screen(0.006)	peopl(0.006)	ago(0.006)	review(0.006)	happi(0.006)	reason(0.006)	soni(0.006)	pictur(0.006)	brand(0.005)	paid(0.005)	day(0.005)	decid(0.005)	start(0.005)	refund(0.005)	three(0.005)	product(0.005)	extend(0.005)	best(0.005)	disappoint(0.005)	deal(0.004)	
Topic 10(0.052):	sound(0.073)	speaker(0.047)	audio(0.026)	mount(0.023)	turn(0.015)	wall(0.015)	system(0.015)	volum(0.015)	stand(0.013)	buzz(0.012)	nois(0.012)	set(0.011)	surround(0.011)	qualiti(0.010)	expect(0.010)	receiv(0.009)	output(0.009)	hear(0.009)	screw(0.009)	extern(0.009)	bad(0.008)	hook(0.008)	work(0.008)	purchas(0.008)	theater(0.008)	low(0.008)	bar(0.007)	jack(0.007)	better(0.007)	problem(0.007)	buy(0.007)	optic(0.006)	stereo(0.006)	great(0.006)	terribl(0.006)	issu(0.006)	pictur(0.006)	loud(0.006)	box(0.006)	thing(0.005)	headphon(0.005)	easili(0.005)	rca(0.005)	built(0.005)	connect(0.005)	weak(0.005)	plan(0.005)	base(0.005)	unit(0.005)	builtin(0.005)	
Topic 11(0.067):	call(0.035)	servic(0.035)	samsung(0.030)	custom(0.025)	replac(0.021)	repair(0.020)	day(0.017)	problem(0.017)	week(0.017)	warranti(0.017)	support(0.015)	told(0.014)	ship(0.013)	time(0.012)	issu(0.011)	work(0.011)	deliveri(0.011)	amazon(0.011)	return(0.011)	hour(0.009)	compani(0.009)	wait(0.009)	panel(0.009)	help(0.008)	lg(0.008)	send(0.008)	month(0.008)	set(0.008)	arriv(0.008)	board(0.008)	order(0.007)	receiv(0.007)	contact(0.006)	cost(0.006)	tech(0.006)	bad(0.006)	final(0.006)	phone(0.006)	deliv(0.006)	newegg(0.005)	guy(0.005)	rep(0.005)	refund(0.005)	product(0.005)	email(0.005)	power(0.005)	soni(0.005)	pay(0.005)	schedul(0.005)	unit(0.005)	
Topic 12(0.047):	pictur(0.055)	set(0.053)	color(0.026)	qualiti(0.023)	good(0.019)	great(0.017)	mode(0.013)	movi(0.011)	watch(0.011)	adjust(0.011)	samsung(0.011)	hd(0.011)	imag(0.010)	black(0.009)	better(0.009)	calibr(0.009)	contrast(0.009)	bright(0.008)	sharp(0.008)	view(0.007)	time(0.007)	nice(0.007)	turn(0.007)	chang(0.007)	tweak(0.006)	soni(0.006)	level(0.006)	plasma(0.006)	standard(0.006)	work(0.006)	review(0.006)	sound(0.005)	bit(0.005)	game(0.005)	motion(0.005)	problem(0.005)	bad(0.005)	screen(0.005)	wash(0.005)	amaz(0.005)	terribl(0.005)	best(0.005)	dynam(0.005)	panason(0.005)	angl(0.005)	fast(0.004)	issu(0.004)	thing(0.004)	setup(0.004)	default(0.004)	
Topic 13(0.059):	product(0.029)	review(0.025)	buy(0.023)	samsung(0.018)	qualiti(0.016)	120hz(0.014)	set(0.013)	remot(0.013)	con(0.012)	stand(0.011)	read(0.010)	lg(0.010)	control(0.010)	monitor(0.010)	featur(0.009)	advertis(0.009)	bewar(0.009)	good(0.009)	money(0.008)	issu(0.008)	time(0.008)	find(0.008)	recommend(0.008)	rate(0.007)	bad(0.007)	problem(0.007)	manufactur(0.007)	screw(0.007)	base(0.007)	star(0.007)	high(0.006)	60hz(0.006)	pictur(0.006)	buyer(0.006)	experi(0.006)	price(0.006)	lot(0.006)	purchas(0.006)	amazon(0.006)	brand(0.006)	negat(0.006)	refresh(0.006)	write(0.005)	thing(0.005)	perform(0.005)	hope(0.005)	save(0.005)	work(0.005)	led(0.005)	major(0.005)	
Topic 14(0.058):	app(0.039)	work(0.017)	smart(0.016)	3d(0.015)	netflix(0.015)	updat(0.014)	watch(0.014)	remot(0.014)	video(0.013)	internet(0.013)	samsung(0.013)	connect(0.013)	time(0.013)	movi(0.011)	featur(0.010)	great(0.009)	wireless(0.008)	play(0.008)	issu(0.008)	download(0.008)	set(0.008)	slow(0.008)	youtub(0.008)	problem(0.007)	game(0.007)	wifi(0.007)	start(0.007)	access(0.007)	content(0.007)	network(0.006)	amazon(0.006)	softwar(0.006)	stream(0.006)	load(0.006)	glass(0.006)	includ(0.006)	disappoint(0.005)	turn(0.005)	bad(0.005)	ps3(0.005)	keyboard(0.005)	pictur(0.005)	xfiniti(0.005)	interfac(0.005)	bluray(0.005)	version(0.005)	search(0.005)	lot(0.005)	kindl(0.005)	buffer(0.004)	
Topic 15(0.066):	remot(0.046)	hdmi(0.034)	input(0.032)	cabl(0.025)	work(0.019)	button(0.018)	connect(0.016)	channel(0.015)	turn(0.014)	problem(0.013)	power(0.013)	box(0.012)	time(0.012)	chang(0.011)	control(0.011)	port(0.010)	pc(0.010)	display(0.009)	signal(0.009)	sourc(0.009)	set(0.008)	switch(0.008)	screen(0.008)	hook(0.008)	receiv(0.008)	issu(0.008)	compon(0.007)	pictur(0.007)	dvd(0.007)	second(0.007)	vga(0.006)	select(0.006)	monitor(0.006)	hd(0.006)	devic(0.006)	plug(0.006)	digit(0.006)	press(0.006)	audio(0.006)	player(0.005)	sound(0.005)	cord(0.005)	samsung(0.005)	option(0.005)	comput(0.005)	menu(0.004)	video(0.004)	univers(0.004)	tuner(0.004)	watch(0.004)	
