Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
849,2,0,"decent image quality.",0,0,4,1.000000,1.000000
849,2,1,"media play function is neat.",0,0,2,0.404284,0.057805
849,2,2,"speakers better than some.",0,0,4,0.415530,0.061280
849,2,3,"confusing remote.",1,1,13,0.415576,0.057565
849,2,4,"tv picture lags a bit when changing channels.",1,1,13,0.415622,0.057805
849,2,5,"usb quit working.",1,1,13,0.429225,0.061026
849,2,6,"so so picture quality.",1,1,13,0.433815,0.059272
854,2,0,"tv has great viewing angles and built in gaming mode for when you want to play games with it.",0,0,2,1.000000,1.000000
854,2,1,"better looking image then other 4k tvs",0,0,2,0.414394,0.090167
854,2,2,"smart tv has adds now and then which are a slight annoyance.",1,1,15,0.420105,0.061026
854,2,3,"for good audio needs a sound bar or sound system.",1,1,8,0.421314,0.087653
856,2,0,"great tv at a great price.",0,0,3,1.000000,1.000000
856,2,1,"don t let the refurbished scare you off.",0,0,3,0.412488,0.090530
856,2,2,"bought it about 6 months ago.",0,0,3,0.405074,0.061026
856,2,3,"works great.",0,0,3,0.418578,0.085203
856,2,4,"easy to set up.",0,0,1,0.420128,0.085548
856,2,5,"nice selection of inputs.",0,0,1,0.421679,0.085548
856,2,6,"not free....nothing that i ve found.",1,0,3,0.435332,0.088007
857,2,0,"nice size  excellent picture  enough ports  digital audio out.",0,1,9,1.000000,1.000000
857,2,1,"wish i could label hdmi ports and also remove ota tv from inputs list.",1,1,9,0.177902,0.030747
857,2,2,"a very minor thing.",1,1,13,0.429641,0.059272
858,2,0,"looks brand new out of the box  packaged and shipped well.",0,0,3,1.000000,1.000000
858,2,1,"works like a new tv should.",0,0,3,0.416643,0.057805
858,2,2,"great picture and color  after very little adjusting .",0,0,6,0.411855,0.090167
858,2,3,"is as advertised.",0,0,3,0.431885,0.087653
859,2,0,"wonderful picture  decent sound  easy setup  3 hdmi   digital coax out   thin bezel.",0,0,6,1.000000,1.000000
859,2,1,"no analog sound out.",1,1,9,0.132289,0.016394
859,2,2,"only 60mhz not 120mhz  but haven t noticed any ghosting.",1,1,12,0.423170,0.059272
860,2,0,"i already had one sanyo 42  with a few more bells and whistles that i did a lot of research on before buying  but this one looks just as good.",0,0,4,1.000000,1.000000
860,2,1,"considering i got the first one at you know where on black friday for  450 this is a great deal.",0,0,4,0.417850,0.059272
863,2,0,"good deal for the money.",0,0,4,1.000000,1.000000
863,2,1,"works just as it should.",0,0,1,0.415893,0.090167
863,2,2,"doesn t have the sound issues that i have seen with more expensive tv s",0,0,1,0.411855,0.057565
863,2,3,"more video inputs would be nice  but not gonna complain it holds all my current devices.",1,0,1,0.420669,0.059519
864,2,0,"incredible picture quality  can plug my hardrive right into the usb port and watch movies and tv shows off of it  not many tv s can do it.",0,0,1,1.000000,1.000000
864,2,1,"speakers are loud and clear.",0,0,1,0.417689,0.061280
864,2,2,"one of the 4 hdmi ports is a pain sometimes.",1,0,1,0.423170,0.059272
866,2,0,"picture quality is outstanding  sound quality is very good for a thin tv  streams services like netflix very well  nice configuration options  uses the same lcd panel as samsung s top end products  passes through dd and dts sound from sources  streaming  hdmi  to the optical out connection   for the quality of the tv the price is very reasonable.",0,0,4,1.000000,1.000000
866,2,1,"don t expect much in the web browsing area.",1,1,13,0.425545,0.087653
867,2,0,"i am very impressed with this product the color and sound are excellentand the price got it during cyber monday last year.",0,0,4,1.000000,1.000000
867,2,1,"after watching a movie if i did not go back out to select another program soon or exit out the end of the movie would stay locked on the screen and you could not cut the tv off by the tv off button or the remote off button.thankfully this was a common problem and a technian from vizio told how to reset the tv.after doing what he instructed me to do several times 4 or 5 it stopped and l have not had any other issues.",1,1,13,0.412005,0.087653
