case	0	2	1	2	11	0	2	2	2	11
phone	6	3	0	3	4	6	3	0	5	4
reset	3	2	2	5	4	3	3	2	5	4
upgrad	0	1	1	3	11	0	1	2	3	13
composit	1	0	1	4	10	1	0	1	5	13
analog	0	2	1	6	8	0	2	1	8	9
feet	1	0	1	5	10	1	0	1	5	10
version	0	1	5	1	10	0	1	6	1	11
stun	0	0	1	3	13	0	0	1	3	13
rich	0	1	0	4	12	0	1	0	4	12
technolog	2	3	1	3	8	3	3	1	3	9
plan	3	2	0	3	9	3	2	0	3	9
lower	2	1	0	5	9	2	1	0	5	10
cool	1	0	1	3	12	1	0	1	3	14
area	2	1	3	1	10	2	1	3	1	12
list	0	1	2	4	10	0	1	2	5	11
complaint	0	1	0	5	11	0	1	0	5	11
youtub	3	1	2	4	7	3	7	3	8	7
beat	1	0	0	3	13	1	0	0	3	13
condit	5	0	0	2	10	6	0	0	2	10
reflect	0	0	2	4	11	0	0	2	5	12
ray	1	2	0	3	11	1	2	0	4	13
broken	8	0	1	1	7	11	0	1	1	9
kind	1	1	0	5	10	1	1	0	5	12
plastic	4	0	1	4	8	4	0	1	4	9
corner	2	0	4	5	6	2	0	4	5	7
scratch	3	0	3	3	9	3	0	3	4	9
check	5	1	3	3	6	5	1	3	3	6
oper	0	3	2	1	12	0	4	3	1	12
guess	4	1	0	7	6	5	1	0	7	7
media	1	2	2	1	12	1	2	3	3	14
huge	1	0	1	4	12	1	0	1	4	13
stuck	3	2	2	6	5	3	3	2	7	5
wii	0	1	1	6	10	0	2	1	7	13
guy	3	1	3	2	9	4	1	3	2	9
spec	2	0	3	2	11	2	0	3	2	12
rca	4	0	2	1	11	4	0	2	1	17
local	2	2	1	2	11	2	2	1	2	14
drive	0	0	2	6	10	0	0	2	6	11
complain	1	1	3	3	10	1	1	3	3	10
scene	2	1	1	6	8	2	1	1	8	8
expens	4	0	1	3	10	4	0	1	5	10
weak	3	1	3	7	4	5	1	3	9	5
batteri	2	0	3	7	7	2	0	3	7	7
builtin	0	0	3	4	12	0	0	6	4	13
press	3	1	2	5	8	3	1	3	8	9
advertis	3	4	3	4	5	3	4	4	4	6
test	3	1	1	5	9	4	1	1	5	11
stay	4	2	3	4	6	4	3	3	4	6
softwar	4	3	2	3	7	4	7	2	3	7
slim	1	3	1	3	11	1	3	1	3	11
window	1	0	0	2	16	1	0	0	2	21
ota	2	3	3	1	10	2	4	3	1	10
perform	0	2	0	6	11	0	2	0	7	12
hold	4	1	2	4	8	6	1	2	5	8
wonder	3	1	1	5	9	3	1	1	5	11
front	0	2	1	5	11	0	2	1	5	13
decid	4	0	0	0	15	4	0	0	0	16
person	1	1	1	4	12	1	1	1	4	12
solid	2	0	2	8	8	2	0	2	9	8
tech	4	2	5	2	7	4	3	5	3	7
build	2	3	1	4	10	2	3	1	5	10
compani	9	1	3	1	6	10	1	3	1	7
open	4	1	2	2	11	4	1	2	2	13
edg	1	3	1	4	11	1	3	1	6	13
1080i	1	2	4	3	10	1	3	5	3	11
older	2	2	2	5	9	2	3	3	6	10
fit	3	0	1	1	15	3	0	1	2	18
figur	4	2	0	5	9	4	2	0	5	9
content	1	5	0	6	8	1	7	0	7	11
type	1	2	1	8	8	1	2	1	10	8
exact	5	0	1	3	11	5	0	1	3	11
file	3	1	3	5	8	3	3	5	7	12
theater	0	0	0	7	13	0	0	0	9	13
add	2	3	2	7	6	2	5	2	8	8
ago	3	0	2	4	11	3	0	2	4	11
job	1	1	0	1	17	1	1	0	1	18
accept	3	1	1	5	10	3	1	1	5	12
vivid	1	1	1	5	12	1	1	1	6	12
energi	1	0	4	6	10	1	0	4	6	11
center	3	1	3	7	7	4	1	3	8	7
final	6	2	2	4	7	6	3	3	4	7
text	1	2	4	6	8	2	3	4	9	9
sleek	0	1	4	4	12	0	1	4	4	13
lightweight	2	0	3	5	11	2	0	3	5	11
direct	1	2	4	3	11	2	2	4	4	11
ghost	0	1	1	5	14	0	2	1	6	15
burn	0	2	0	3	16	0	3	0	5	21
real	2	0	1	4	14	2	0	1	4	15
regular	2	0	1	5	13	2	0	2	5	14
pick	7	1	2	3	9	8	1	2	3	9
minor	1	0	2	2	17	1	0	2	2	19
glare	1	1	1	3	16	1	1	1	3	19
three	3	2	3	5	9	4	3	3	6	9
manufactur	8	2	1	2	9	8	2	1	2	9
allow	0	3	2	6	11	0	4	3	7	13
detail	0	1	3	1	17	0	1	3	1	18
interfac	1	1	2	6	12	1	1	2	6	12
frame	1	1	5	4	11	1	1	5	4	11
send	7	0	5	7	3	7	0	5	7	3
blur	1	1	1	4	15	1	1	1	4	15
menus	0	1	1	6	14	0	1	1	8	15
incred	0	2	0	6	14	0	2	0	6	15
hous	1	0	0	6	15	1	0	0	7	18
offer	5	0	2	2	13	5	0	2	2	15
experi	2	2	1	3	14	3	3	2	3	16
impress	1	1	0	7	13	1	1	0	9	13
navig	1	3	0	7	11	1	3	0	8	12
firmwar	1	1	4	7	10	2	1	8	9	13
drop	4	1	2	4	12	7	1	2	4	12
soni	2	2	2	2	15	2	2	2	2	22
dvi	0	2	1	5	16	0	2	1	6	20
averag	3	0	4	2	15	3	0	4	2	16
extern	1	2	4	9	8	1	2	4	9	8
outstand	1	0	0	6	17	1	0	0	6	17
repair	16	2	4	1	1	19	2	4	1	1
consid	3	2	4	5	10	4	2	4	6	10
paid	2	1	3	3	16	2	1	3	3	16
wireless	1	1	4	10	9	2	1	10	14	10
mention	4	0	5	5	11	4	0	5	5	13
appear	6	3	4	7	5	7	3	4	7	5
bedroom	3	0	2	3	17	4	0	2	4	20
damag	13	0	1	7	4	19	0	1	9	4
antenna	3	1	3	5	13	4	1	5	5	15
live	0	0	3	5	17	0	0	3	5	18
extra	1	4	2	7	11	1	4	2	8	11
onlin	7	1	1	6	10	7	1	1	6	11
swivel	1	1	0	7	16	1	1	0	8	17
annoy	1	1	3	9	11	1	1	3	11	11
fact	3	3	2	3	14	3	3	2	3	16
network	2	1	3	4	15	2	4	6	5	17
care	5	1	2	6	11	6	1	3	6	12
higher	2	2	2	4	15	2	2	2	4	15
flat	1	0	1	6	17	1	0	1	6	17
super	2	0	2	2	20	2	0	2	2	23
blue	6	3	2	7	8	7	3	2	8	9
program	2	2	1	5	16	2	2	1	6	18
requir	4	2	3	5	12	4	4	3	6	13
simpl	3	3	1	5	14	3	3	1	5	14
card	0	0	2	2	22	0	0	2	6	26
sit	1	3	1	6	15	1	3	1	7	16
sport	2	1	0	6	18	2	1	0	9	18
surpris	3	1	2	6	15	3	1	2	6	16
lack	0	4	4	5	14	0	5	4	6	14
basic	3	2	4	7	11	3	3	4	7	11
coupl	1	1	2	7	16	1	1	2	7	16
hope	3	1	4	7	12	3	1	4	7	12
true	0	1	2	6	18	0	1	2	6	20
manual	3	1	4	6	13	3	1	6	7	14
simpli	4	1	2	5	15	4	1	2	5	15
deep	0	0	3	5	19	0	0	3	5	19
friend	3	2	1	2	19	3	2	1	2	21
store	4	1	0	4	18	5	1	0	4	26
half	5	4	5	2	12	6	4	5	2	13
capabl	2	2	6	10	8	2	3	6	10	8
white	5	3	3	8	9	6	3	4	9	11
fair	1	1	3	8	15	1	1	3	8	15
backlight	3	2	4	10	9	4	2	6	12	12
rma	12	3	1	5	7	13	3	1	5	8
bar	1	2	1	12	12	1	2	2	12	16
switch	4	3	2	9	10	6	3	2	11	12
horribl	8	5	3	9	3	8	5	4	10	3
deliv	4	3	1	3	17	4	3	1	3	18
easili	2	4	3	5	15	2	4	3	7	17
process	7	1	6	5	10	8	2	6	5	12
heavi	1	2	1	7	18	1	2	1	7	18
bottom	7	1	5	8	8	8	1	5	9	11
move	2	2	7	5	13	2	2	8	5	13
select	4	1	5	7	12	4	1	8	8	13
save	3	1	3	7	16	4	1	3	7	18
definit	0	1	2	4	23	0	1	2	4	26
long	5	3	4	8	10	5	3	4	8	10
updat	3	4	5	6	12	3	4	8	8	13
absolut	3	1	0	1	25	3	1	0	2	28
ps3	0	1	0	4	25	0	1	0	5	27
number	5	1	2	3	19	5	1	2	3	23
bezel	1	3	1	7	18	1	3	1	9	20
optic	0	0	3	11	16	0	0	6	14	16
extrem	4	1	2	8	15	4	1	2	8	15
panason	4	1	1	6	18	5	1	1	8	22
plenti	1	0	3	5	23	1	0	3	5	23
glass	3	2	0	9	18	4	2	0	10	25
tweak	0	2	1	6	23	0	2	1	6	27
mine	1	1	0	9	21	1	1	0	9	26
xbox	0	2	1	8	21	0	2	1	10	21
user	1	2	5	5	19	1	2	6	5	21
60hz	2	2	6	9	13	2	3	7	14	16
point	3	1	7	8	13	3	1	7	9	14
terribl	10	4	3	8	7	10	7	3	8	7
complet	9	6	6	3	8	9	7	7	3	8
level	2	4	4	9	13	2	4	4	10	16
sale	7	0	4	6	16	7	0	4	6	16
feel	2	3	6	8	14	2	4	7	8	16
packag	7	0	2	5	19	9	0	2	5	20
fantast	1	0	1	5	27	1	0	1	5	29
signal	5	2	6	9	12	6	3	10	12	16
standard	1	2	3	9	19	1	3	3	10	25
worth	1	3	1	4	25	1	3	1	4	27
left	8	2	4	7	14	9	2	4	7	17
slow	3	3	4	12	13	3	3	4	15	14
sourc	7	2	2	8	16	10	3	2	9	17
refresh	2	3	6	9	15	2	4	6	10	17
weight	1	3	1	12	18	1	3	1	12	19
angl	1	1	3	12	19	1	1	4	15	24
stream	1	3	2	11	19	1	3	3	15	29
wait	9	2	3	5	17	9	2	3	5	19
digit	1	1	1	9	24	2	3	6	10	30
function	2	5	5	10	15	3	7	6	11	16
inch	4	0	4	4	25	5	0	4	5	29
dvd	2	0	4	8	23	4	0	5	9	31
money	7	0	2	4	24	9	0	2	4	25
vga	3	2	7	8	17	3	2	9	9	19
limit	1	2	9	9	16	1	2	10	9	18
devic	3	3	3	11	17	4	4	3	14	24
surround	0	0	2	9	27	0	0	3	9	31
120hz	2	1	6	13	16	2	4	7	13	17
tuner	5	6	2	7	18	7	6	4	8	19
top	7	1	6	5	20	7	1	6	5	24
panel	4	1	2	9	23	8	1	2	16	27
pay	7	2	5	4	21	8	2	7	6	22
thought	9	1	2	7	20	11	1	2	8	22
720p	3	1	7	5	24	3	2	8	5	28
egg	2	3	1	9	25	2	3	1	9	26
volum	7	3	5	11	14	7	3	7	13	20
minut	11	2	2	11	14	13	6	2	12	14
output	1	2	5	11	21	1	2	6	15	26
lag	1	7	2	10	21	1	10	5	11	24
cost	15	1	2	10	13	17	1	2	10	18
reason	6	5	3	4	23	6	6	4	4	25
usb	3	2	5	9	23	3	3	8	9	27
deliveri	1	1	1	4	35	1	3	2	4	41
plug	6	2	4	11	19	8	3	4	13	22
free	1	0	2	10	29	1	0	2	11	31
player	5	1	4	7	25	7	2	4	7	33
motion	1	4	2	8	27	1	4	2	9	31
wo	6	2	5	15	15	6	2	5	16	15
wifi	1	1	4	13	24	1	4	4	17	31
help	9	2	6	10	16	11	3	6	11	16
compon	2	3	4	9	25	2	3	5	9	31
refurbish	13	1	4	7	18	13	2	5	9	20
week	16	1	5	5	16	21	1	6	5	18
start	14	7	7	3	13	15	9	9	3	13
bluray	2	2	5	6	29	3	2	5	7	33
vizio	13	3	5	12	12	27	5	5	17	22
built	2	0	1	14	28	2	0	1	18	33
peopl	7	1	3	12	22	7	1	3	14	26
return	26	2	3	6	8	26	2	3	6	9
call	18	5	3	6	13	33	7	7	6	17
respons	5	5	6	13	18	5	5	7	14	19
crisp	1	3	2	9	32	1	3	2	9	34
wall	0	1	2	11	33	0	1	2	13	42
read	4	5	3	8	27	4	5	3	8	27
warranti	25	6	4	3	9	33	9	6	4	9
full	3	4	5	12	24	3	4	5	13	27
rate	2	4	5	9	28	2	4	5	10	33
happi	2	1	1	12	32	2	1	1	12	32
hour	8	5	1	9	25	9	6	1	10	29
dark	5	4	6	13	21	7	4	6	15	23
compar	3	1	5	11	29	4	1	5	12	30
recommend	6	1	2	7	34	6	1	2	7	38
hdtv	0	5	2	10	33	0	7	2	12	39
4k	8	6	4	17	16	10	12	6	27	21
base	9	3	7	11	21	9	3	8	15	21
small	1	2	5	20	23	1	2	6	25	26
find	5	3	2	9	32	5	3	2	10	38
internet	8	4	4	12	24	9	9	4	17	27
televis	10	4	1	7	30	14	4	1	8	38
includ	4	6	3	14	25	6	7	4	16	26
mode	2	3	7	10	30	2	5	10	11	42
resolut	5	2	7	16	23	7	2	13	19	26
tvs	7	2	4	7	33	7	4	4	9	38
sharp	4	3	5	5	36	5	3	5	5	37
design	10	3	9	9	22	12	5	10	9	23
decent	5	5	12	12	19	5	6	12	12	21
netflix	3	2	7	15	26	4	2	15	19	29
order	11	0	0	10	33	12	0	0	11	38
side	6	4	2	11	31	9	6	2	14	34
brand	12	1	3	9	31	12	1	3	10	34
chang	7	3	7	14	25	8	3	7	16	28
dead	12	3	3	11	27	13	3	3	13	28
love	1	2	2	11	41	1	2	2	13	44
lg	10	3	2	13	29	26	4	3	14	44
view	4	4	4	18	27	4	4	7	23	35
custom	27	4	5	7	15	35	4	5	7	19
second	15	5	5	10	23	19	9	6	10	27
servic	25	3	4	7	20	32	3	6	8	26
arriv	17	1	3	13	25	21	1	4	16	27
fast	2	2	1	13	41	2	2	1	13	42
unit	16	2	3	12	26	21	2	4	18	29
mount	2	3	1	15	38	2	4	1	21	56
deal	9	1	2	13	34	12	1	2	13	38
model	6	4	5	11	33	6	5	5	16	42
contrast	3	4	6	13	34	3	5	6	14	39
notic	2	3	6	20	30	2	5	8	25	34
support	14	9	11	15	12	22	13	16	17	19
fine	8	3	8	14	29	8	4	8	15	32
system	1	2	4	13	42	1	2	5	14	48
channel	5	4	6	17	31	9	10	9	26	40
product	13	5	5	8	33	14	6	6	8	37
replac	23	3	7	10	21	35	3	8	13	21
plasma	4	3	2	9	47	6	3	3	12	68
pixel	9	6	6	16	30	12	6	6	22	33
bit	4	4	7	20	32	4	4	7	22	33
review	10	4	3	10	40	14	4	4	10	50
3d	4	5	4	6	49	5	6	4	16	101
button	9	3	6	20	30	9	3	13	25	47
receiv	14	6	2	17	29	22	7	2	23	37
pretti	6	4	7	20	31	6	4	9	25	36
hook	6	3	7	15	37	9	3	8	20	41
perfect	3	0	2	12	51	3	0	2	13	61
imag	2	6	10	14	37	3	15	11	15	46
room	4	0	3	16	46	4	0	3	19	56
menu	5	3	5	17	40	5	3	6	21	50
cheap	18	3	6	21	24	23	3	8	24	27
led	9	4	6	18	35	10	4	7	22	47
low	3	7	5	15	43	4	8	5	18	47
adjust	2	2	12	16	41	5	2	16	19	48
awesom	3	2	1	8	60	3	2	1	9	64
beauti	5	3	6	17	43	5	3	6	17	45
month	23	9	6	8	29	32	13	6	9	29
lcd	3	5	3	18	47	3	7	3	19	58
play	3	5	4	20	44	3	6	7	29	55
size	6	2	2	25	42	7	2	2	26	49
app	3	1	8	21	44	6	3	18	35	56
high	4	7	6	12	48	5	7	6	12	54
option	9	2	7	17	44	10	3	8	23	53
bad	15	9	15	19	21	19	9	18	20	21
big	3	6	4	18	48	3	6	5	20	54
thin	6	5	13	18	38	6	5	13	21	41
audio	5	4	9	24	38	7	5	12	38	47
comput	2	3	10	20	47	3	3	14	31	60
1080p	4	6	8	19	46	4	8	11	21	54
smart	12	4	10	15	42	16	5	14	20	49
video	9	6	4	20	45	10	8	5	27	62
expect	4	5	5	17	53	4	6	5	20	59
con	2	3	2	15	63	2	3	2	16	68
power	20	5	9	21	30	32	7	11	26	32
thing	8	8	7	19	46	10	8	8	25	53
display	11	10	9	17	42	18	14	10	24	56
control	9	8	8	22	43	12	9	11	28	51
year	23	8	5	9	46	32	11	5	9	51
best	4	2	6	18	61	5	2	6	22	70
purchas	23	7	5	12	47	27	8	5	12	53
pc	3	7	12	20	52	7	9	16	29	65
setup	2	4	7	30	51	2	4	9	37	55
hd	1	5	5	21	64	1	5	5	26	74
samsung	12	4	10	13	57	22	13	12	15	74
clear	3	5	7	19	62	3	8	7	21	70
bright	5	7	9	24	52	6	7	11	26	57
port	4	5	8	23	57	4	5	14	25	82
stand	9	3	3	27	57	9	4	3	37	68
day	17	5	7	19	52	21	6	7	23	63
bought	12	3	3	20	65	13	3	3	26	76
movi	5	3	11	16	68	7	5	14	19	83
amaz	3	2	3	15	84	3	2	3	17	100
lot	8	5	11	25	60	9	6	13	28	66
excel	2	5	3	17	83	2	7	3	18	96
