water	3	1	5	3	9	3	1	5	3	9
dot	4	6	6	3	2	4	6	12	4	2
benefit	3	2	5	6	5	3	2	6	6	5
suit	1	4	3	6	7	1	4	3	6	8
combin	3	6	5	2	5	3	6	5	2	5
ultra	1	3	2	2	13	1	3	2	5	15
till	6	6	2	2	5	6	6	3	2	6
hey	4	2	6	2	7	4	2	7	2	7
hot	2	2	4	2	11	4	2	4	2	11
awhil	3	5	4	5	4	3	5	4	6	4
worthless	10	3	4	1	3	10	3	4	1	3
sensit	2	3	4	6	6	2	5	4	6	8
needless	5	6	2	3	5	5	6	2	3	6
doubl	4	2	4	5	6	4	2	4	6	6
chromecast	4	4	8	3	2	4	7	11	4	2
cnet	2	6	2	3	8	2	6	2	3	9
copi	2	6	2	6	5	3	6	2	7	5
elimin	2	4	2	7	6	2	4	3	11	6
headach	8	3	3	5	2	9	3	4	5	2
tabl	1	2	6	7	5	1	2	7	8	6
consist	2	7	2	7	3	3	8	2	7	3
event	0	5	2	4	9	0	5	2	4	10
crap	6	6	8	0	1	7	7	9	0	1
situat	5	3	4	7	2	5	3	5	7	2
filter	2	2	5	7	5	2	3	5	7	6
mediocr	2	2	2	6	9	2	2	2	6	9
cancel	7	8	1	1	5	11	12	1	1	8
shape	2	2	1	6	11	3	2	1	6	12
extens	2	4	6	5	5	2	4	7	5	5
ir	0	6	5	8	3	0	9	5	10	3
suspect	4	4	3	6	5	4	5	3	6	5
circuit	3	8	2	4	5	3	12	2	4	7
tint	3	5	2	7	5	3	5	2	9	6
earli	3	3	3	4	9	3	4	3	4	11
smarttv	4	4	6	1	7	6	11	11	2	7
logitech	2	4	7	6	3	2	6	9	6	5
parti	5	6	3	4	4	5	6	3	4	4
bunch	2	5	3	4	8	2	5	3	4	10
advis	5	8	2	4	3	5	8	2	5	3
paus	3	3	6	4	6	5	3	8	4	9
andor	6	2	2	5	7	6	2	2	5	7
brighter	2	4	5	3	8	3	4	6	3	8
satur	1	5	3	5	8	1	5	3	5	8
core	1	4	1	6	10	1	4	2	9	11
nativ	0	2	7	8	5	0	2	11	8	5
hole	8	3	4	6	1	9	3	4	6	1
dual	0	0	3	8	11	0	0	4	11	11
drawback	1	1	8	9	3	1	1	10	9	3
horizont	6	5	2	2	8	6	5	2	2	10
capacitor	8	10	3	1	1	12	20	4	2	1
credit	5	4	6	5	3	5	5	11	6	3
seller	3	6	7	3	4	4	6	8	6	4
mark	7	4	3	4	5	7	4	3	4	5
appreci	2	2	4	6	9	2	2	4	6	9
form	5	2	2	3	11	7	6	2	4	11
flicker	4	5	3	6	5	4	9	6	6	6
walk	5	3	4	4	7	5	3	4	4	7
paper	11	3	3	2	4	11	3	3	3	4
reach	6	6	3	3	5	7	6	3	3	5
practic	5	2	3	4	9	5	2	3	4	9
lan	0	4	3	8	8	0	6	3	9	9
convers	1	3	6	6	7	1	3	6	8	9
altern	2	3	8	7	3	2	3	9	7	3
breaker	1	2	6	8	6	1	2	7	8	7
tool	1	5	3	6	8	1	5	3	6	9
cobi	11	5	3	4	0	22	22	3	6	0
uniform	2	4	6	6	5	4	4	7	7	7
finger	4	1	4	6	8	4	2	5	7	8
troubleshoot	7	8	5	2	1	9	9	6	2	1
exit	5	8	3	5	2	7	9	3	5	2
profil	1	0	3	12	7	1	0	3	14	7
moment	4	5	4	8	3	4	6	4	9	3
flashlight	4	4	5	6	5	4	9	8	8	7
tinni	2	4	4	7	7	2	4	4	7	8
backlit	1	2	3	7	11	1	2	3	11	14
fun	1	4	2	7	10	1	6	2	7	10
sturdi	1	1	2	8	12	1	1	2	8	13
onoff	5	5	7	1	6	5	5	7	1	7
shot	3	9	4	6	2	3	9	4	6	2
comfort	1	2	1	7	13	2	2	1	7	18
confirm	11	5	6	1	1	11	6	7	1	2
lead	6	8	5	1	3	10	8	5	1	3
object	1	5	4	7	7	2	7	4	11	7
smarthub	10	6	6	1	1	21	17	7	1	1
onscreen	1	5	2	8	8	1	7	2	8	8
invest	0	4	7	6	7	0	5	7	6	8
sweet	0	2	1	6	15	0	2	1	6	16
ipad	6	5	2	6	4	8	6	2	7	4
ota	2	3	3	4	12	2	4	3	4	15
kinda	2	2	4	7	9	2	2	4	9	9
terrif	1	1	6	5	11	1	1	6	5	13
pleasant	2	2	3	11	6	2	2	3	11	6
favor	3	6	5	5	5	3	6	5	6	5
icon	2	3	9	3	7	2	6	9	4	7
son	2	2	5	4	9	3	2	7	4	10
block	4	3	7	7	4	5	3	7	8	4
soundbar	2	2	2	8	11	3	2	3	10	16
eas	1	2	7	6	9	1	2	7	6	9
facebook	3	1	5	5	11	3	1	6	5	12
visual	1	5	5	3	11	1	5	5	4	11
factor	0	4	6	5	10	0	4	6	5	11
folk	6	3	4	4	8	6	3	4	7	8
desktop	2	0	7	8	8	2	0	9	11	14
earlier	8	4	3	7	3	8	4	3	7	3
tini	2	8	5	4	6	2	9	5	4	6
engin	2	7	4	6	6	2	7	4	8	6
materi	4	5	5	3	7	4	6	5	4	8
lcds	2	5	5	7	6	2	6	5	7	8
ridicul	5	7	2	6	5	5	7	2	6	6
min	8	5	4	4	3	9	6	4	5	3
clunki	2	7	12	3	1	2	7	12	3	1
edit	6	1	8	5	5	7	1	9	6	6
determin	10	5	3	3	4	11	5	3	3	5
pro	2	5	3	5	10	2	5	3	6	12
tast	0	3	2	7	12	0	3	2	7	12
depart	7	7	3	6	2	11	7	3	7	2
discov	4	7	5	4	5	4	8	7	4	5
weekend	3	5	6	6	5	5	5	6	8	5
tax	4	0	1	8	12	4	0	1	8	13
budget	0	3	3	9	11	0	3	3	11	11
visit	8	8	2	5	3	9	9	2	5	3
heat	2	3	5	3	13	2	4	6	5	14
profession	0	8	5	8	5	0	9	5	9	5
rear	2	4	1	9	10	2	4	1	11	11
attract	0	3	9	3	11	0	3	9	3	11
lucki	7	9	3	3	4	7	9	4	3	4
premium	5	5	8	4	2	6	5	11	4	3
man	5	3	5	2	11	5	3	5	3	11
failur	8	13	3	0	2	10	14	4	0	3
playback	6	10	7	2	1	6	14	8	4	1
project	0	4	3	11	8	0	4	3	12	8
vudu	2	3	4	8	9	2	4	4	11	15
modern	2	1	5	8	10	2	2	5	8	10
carri	4	2	4	6	10	4	4	5	8	11
coax	3	2	4	7	10	3	2	4	9	18
unaccept	9	10	5	0	2	9	10	5	0	2
describ	2	4	10	1	9	2	4	10	1	10
imagin	2	5	4	4	11	2	5	4	5	11
secur	4	6	5	5	6	4	8	5	5	7
static	5	3	12	6	1	6	4	14	6	1
virtual	3	5	5	3	11	4	5	5	4	14
bang	1	3	4	7	12	1	4	4	7	13
scan	3	5	6	8	5	7	12	8	11	5
handi	1	2	5	13	6	1	2	5	13	6
mute	3	3	5	10	6	4	3	7	12	8
tilt	3	1	3	11	9	5	2	4	12	9
hbo	5	5	6	5	6	5	5	11	5	8
chat	7	6	6	3	5	10	8	7	4	5
costco	5	6	6	5	5	7	12	10	6	5
style	2	3	5	7	10	2	5	5	7	10
graphic	2	5	6	5	9	4	6	8	7	12
liter	5	5	5	5	6	5	5	5	7	6
confus	2	5	5	8	6	2	5	5	11	6
vibrant	0	4	1	4	18	0	5	1	4	20
stock	5	2	5	5	10	6	2	6	5	13
began	10	8	2	2	5	10	11	2	3	6
advantag	0	4	7	4	12	0	4	8	4	12
artifact	1	6	6	9	5	1	8	6	9	5
glitch	4	7	9	4	3	4	9	12	7	3
sad	12	3	6	3	3	14	3	8	4	3
reboot	8	9	5	4	1	12	13	7	8	1
respond	8	6	2	8	4	8	7	3	9	4
kitchen	4	3	6	7	8	4	3	8	8	10
blown	3	3	4	6	12	4	5	4	6	13
thick	4	3	3	9	9	4	4	6	9	13
disconnect	5	9	7	3	4	5	12	9	6	4
lc	4	3	4	9	8	4	3	4	11	10
dish	5	6	4	5	8	9	8	4	7	8
releas	10	5	4	4	5	12	7	4	4	7
mistak	10	8	3	5	2	11	10	3	5	2
enhanc	2	6	3	5	12	2	7	4	6	14
lit	2	3	4	8	11	7	7	5	11	13
awar	2	5	10	6	5	2	6	11	7	5
crack	12	5	1	4	6	13	5	1	4	6
rich	1	3	3	7	14	1	3	3	7	14
gift	7	3	3	4	10	9	4	3	5	10
accur	2	4	2	8	11	2	4	2	8	11
glossi	1	5	2	6	14	1	7	2	6	17
pic	3	4	5	4	12	4	4	5	4	16
unbeliev	1	1	1	4	20	1	1	1	4	20
trust	10	2	3	4	9	10	2	4	5	9
240hz	2	4	5	1	16	2	4	5	1	19
morn	3	9	3	4	8	3	10	3	4	8
rock	3	1	2	9	13	3	1	2	9	13
cabinet	1	3	4	4	17	1	5	4	6	21
def	2	4	0	7	16	3	4	0	12	19
occasion	3	2	9	10	5	3	2	10	11	5
logo	7	5	6	4	7	10	7	8	4	8
admit	7	3	7	3	9	9	3	7	3	9
bass	0	1	2	9	17	0	1	3	9	19
ip	2	5	5	6	11	4	9	6	7	14
blueray	2	3	7	10	7	2	4	8	16	7
forev	4	12	9	3	0	4	13	10	3	0
warn	4	7	8	2	8	4	9	9	2	9
blame	9	5	6	8	1	11	5	6	8	1
blank	10	12	2	2	3	13	14	3	2	3
consol	3	6	5	10	4	3	7	7	10	4
doubt	6	2	7	5	8	6	2	7	5	9
log	8	9	6	3	3	10	10	6	6	3
max	2	6	6	5	10	3	6	6	5	12
opera	1	7	3	13	5	1	8	4	19	9
processor	2	1	3	6	17	2	1	3	7	17
request	13	5	6	3	2	16	6	7	3	3
solv	3	6	10	5	5	4	6	11	6	5
assembl	6	2	4	6	11	8	2	7	8	11
occur	7	10	3	5	4	10	13	3	5	4
hesit	1	4	2	8	14	1	6	2	9	14
subscrib	10	3	6	6	3	10	4	8	6	3
