Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1543,2,0,"light weight  good response time.",0,0,2,1.000000,1.000000
1543,2,1,"so far no problems.",0,1,30,0.509716,0.091251
1543,2,2,"the proprietary usb port is a bit sketchy so if you connect it to your computer to retrieve files  best to not touch the tablet during the process or the cable might come loose.",1,1,30,0.648423,0.204779
1543,2,3,"seems to have very slow usb transfer rate too.",1,1,30,0.448566,0.148030
1543,2,4,"tablet cannot be reasonably charged off a computer usb port.",1,1,30,0.379302,0.116700
1543,2,5,"while it will charge it slowly  it is a very slow process and it ll take days to get a full charge.",1,1,30,0.242592,0.038092
1555,2,0,"the size of this tablet is perfect i think.",0,1,31,1.000000,1.000000
1555,2,1,"i installed launcher pro which allows many options.you can set backgrounds through quickpic and several other options.",0,1,31,0.533235,0.087991
1555,2,2,"i find this is perfect as a e reader and the wifi is flawless 99  of the time.",0,1,28,0.550030,0.091251
1555,2,3,"i enjoy it very much for the price.",0,1,38,0.575402,0.082954
1555,2,4,"i wish a lot more android apps worked on this.",1,1,31,0.623248,0.064146
1555,2,5,"setting a background is a pain getting the resolution right is interesting.",1,1,31,0.645982,0.065356
1568,2,0,"nice display and user friendly.",0,0,1,1.000000,1.000000
1568,2,1,"great price for this.",0,0,19,0.577877,0.061527
1570,2,0,"lightweight  big screen  really fast  except on boot   kindle apps  am azon android store capable.",0,1,31,1.000000,1.000000
1570,2,1,"doesn t recognize jumpdrives  have to use flash storage.",1,1,35,0.526857,0.062691
1570,2,2,"getting android store   different browser took awhile.",1,1,31,0.588962,0.064146
1570,2,3," see youtube ",1,1,31,0.620476,0.065356
1576,2,0,"it has a nice big display and bright backlight.",0,0,6,1.000000,1.000000
1576,2,1,"it s pretty light and sturdy feeling.",0,0,6,0.525242,0.082954
1576,2,2,"is not compatible with google play so many apps are not available for it easily.",1,0,12,0.569436,0.064146
1576,2,3,"the screen resolution is low and the touch response is spotty at times.",1,0,6,0.606278,0.062691
1576,2,4,"can not be updated to android 4.0 can t even seem to get an actual facebook app for it.",1,0,12,0.635400,0.065356
1578,2,0,"lightweight  nice feel  beautiful display  good camera  everything i wanted.",0,0,2,1.000000,1.000000
1578,2,1,"i found the ui to be a bit more sluggish than i expected  even for the low price point.",1,0,2,0.585277,0.089608
1579,2,0,"small with nice assortment of colors to choose from.",0,0,2,1.000000,1.000000
1579,2,1,"it runs most anything google play has to throw so far.",0,0,11,0.505232,0.082954
1579,2,2,"i own an older 10  asus transformer 300 with jellybean 4.2.2 on it as well and this seems to have a slightly different ui  which i like better.",0,1,26,0.535845,0.060384
1579,2,3,"this was a good gift for our 12 year old.",0,1,25,0.539889,0.086045
1579,2,4,"runs youtube without a problem and took a 32gb micro sd easily.",0,1,35,0.573904,0.087991
1579,2,5,"it s a bit thick.",1,1,26,0.575402,0.086045
1579,2,6,"one of our daughters has a 2 year old 7 inch galaxy tab 2 and this is a little thicker than that.",1,1,25,0.612551,0.062691
1579,2,7,"it s still small enough and because it does everything you want... the thickness isn t a huge deal.",1,1,26,0.619277,0.060384
1579,2,8,"the built in sound is a bit lacking but so are most tablets of this size.",1,1,26,0.642881,0.064146
1579,2,9,"get some bluetooth stereo headphones and it kicks.",1,1,26,0.654900,0.065356
1581,2,0,"asus memo pad hd 7 inch 16 gb green tablet is a great tablet for the money.",0,1,26,1.000000,1.000000
1581,2,1,"this tablet has a beautiful display  7 inches  and displays images at 1280 x 800 pixels  800p .",0,1,26,0.505109,0.082954
1581,2,2,"the tablet has 170 degree wide viewing angles.",0,0,16,0.514660,0.066587
